Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_15sd40cap_2_norm_15sd40cap_2____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:33:56 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |6.0003863A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |9.8200216A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |3.4294183A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |23.649477A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |13.462260A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |0.2786921A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |19.993726A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |23.896175A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |15.596305A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |1.6964556A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |7.0946616A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |6.1748084A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |20.811088A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |0.2636006A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |8.4187955A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |0.7687957A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |16.181807A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |2.1558597A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |4.1268096A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |3.5039354A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |14.781510A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |31.874701A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |18.274268A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |10.708102A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |32.481683A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |7.4059714A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |3.7933722A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |29.656152A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |16.975546A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |13.370435A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |23.158396A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |14.045582A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |8.0687386A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |34.877082A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |7.0699176A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |6.3774738A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |30.168067A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |6.7910515A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |27.255081A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |16.905719A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |7.1433222A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |11.196653A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |1.6018920A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |5.9556566A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |19.680989A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |6.7790945A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |26.404787A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |11.650342A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |19.135427A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |7.1972252A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.949830332258529	-1.0000643786666668	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2133333333016102e-006	1.3319397314516257	1.342389672912462	                0	1.3433897372911288	-1.0183643897577512	0.018300011091084565	               50	0.008580218289496221	1.2148333333546664e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.949830332522239	-1.0000643786666668	                0	                1	-2.7779566074074078e-013	-2.7779566074074078e-013	-2.7779566074074078e-013	-1.3320254799592802e-011	-1.3320254799592802e-011	-1.3320254799592802e-011	                0	1.0000000000000001e-009	               25	                0	1.5583333379254327e-006	1.3319397314589512	1.3423896729174554	4.9932197653488366e-012	1.3433897372961221	-1.018364389754024	0.018300011087357224	50.000000000002416	0.0085802182894962591	4.1633333338116549e-005
                2	                0	                1	C	               -1	                1	                1	47.949830332786021	-1.0000643786666668	                0	                1	-0.016667739644444447	-0.016667739644444447	-0.016667739644444447	-0.79921528797996411	-0.79921528797996411	-0.79921528797996411	                0	59.999999999000003	               25	-1.2513884262479216	1.7050000072534506e-006	1.3319397314662784	1.3423896729224505	9.9864395301990302e-012	1.3433897373011172	-1.0183643897502968	0.018300011083629882	50.131865494346279	0.0085802182894966737	4.467000000355862e-005
                3	                0	                1	C	               -1	                2	                2	47.953452551976142	-1.0000643786666668	                0	                1	-0.033335479288888893	-0.033335479288888893	-0.033335479288888893	-1.5984607630653245	-1.5984607630653245	-1.5984607630653245	                0	               60	               25	-16565.497439708317	1.8300000040956851e-006	1.332040348666004	1.3424902901198439	1.4979772438023167e-011	1.3434903544985106	-1.0183643897465693	0.018300011079902537	50.26373061154743	0.0086028469840231259	4.6941666672258485e-005
                4	                0	                1	C	               -1	                3	                3	 47.9570720807234	-1.0000643786666668	                0	                1	-0.050003218933333343	-0.050003218933333343	-0.050003218933333343	-2.3977665899352805	-2.3977665899352805	-2.3977665899352805	                0	               60	               25	-16577.810789721203	1.9400000079864793e-006	1.3321408911312056	1.3425908325827134	1.9973218488497614e-011	1.3435908969613801	-1.018364389742842	0.0183000110761752	50.395595351604754	0.0086254756138302458	4.9098333336890693e-005
                5	                0	                1	C	               -1	                4	                4	47.960689012883826	-1.0000643786666668	                0	                1	-0.066670958577777786	-0.066670958577777786	-0.066670958577777786	-3.1971327245284145	-3.1971327245284145	-3.1971327245284145	                0	               60	               25	-16589.711959908236	2.0450000041212963e-006	1.3322413614689952	1.3426913029181708	2.4966777681298742e-011	1.3436913672968376	-1.0183643897391148	0.018300011072447855	50.527459714519324	0.0086481041789178339	5.1223333336262537e-005
                6	                0	                1	C	               -1	                5	                5	47.964303442051765	-1.0000643786666668	                0	                1	-0.083338698222222229	-0.083338698222222229	-0.083338698222222229	-3.9965591243454965	-3.9965591243454965	-3.9965591243454965	                0	               60	               25	-16601.200336763519	2.1483333360568698e-006	1.3323417622792157	1.3427917037260593	2.9960450016102926e-011	1.343791768104726	-1.0183643897353873	0.018300011068720513	50.659323700292219	0.0086707326792860827	5.3323333334750106e-005
                7	                0	                1	C	               -1	                6	                6	47.967915461569547	-1.0000643786666668	                0	                1	-0.10000643786666667	-0.10000643786666667	-0.10000643786666667	-4.7960457484452022	-4.7960457484452022	-4.7960457484452022	                0	               60	               25	-16612.275328139232	2.2500000037931991e-006	1.3324420961547097	1.342892037599221	3.4954235492586522e-011	1.3438921019778878	-1.0183643897316601	0.018300011064993172	50.791187308924528	0.0086933611149351726	5.5430000005192898e-005
                8	                0	                1	C	               -1	                7	                7	47.971525164537255	-1.0000643786666668	                0	                1	-0.11667417751111112	-0.11667417751111112	-0.11667417751111112	-5.5955925574399945	-5.5955925574399945	-5.5955925574399945	                0	               60	               25	-16622.936362572651	2.3533333357287726e-006	1.3325423656815905	1.3429923071237697	3.9948134110425908e-011	1.3439923715024364	-1.0183643897279326	0.018300011061265831	50.923050540417314	0.0087159894858652893	5.7546666668410276e-005
                9	                0	                1	C	               -1	                8	                8	47.975132643822285	-1.0000643786666668	                0	                1	-0.13334191715555557	-0.13334191715555557	-0.13334191715555557	-6.3951995134921642	-6.3951995134921642	-6.3951995134921642	                0	               60	               25	-16633.182890057986	2.4600000036419564e-006	1.332642573439508	1.3430925148793551	4.4942145869297463e-011	1.3440925792580218	-1.0183643897242054	0.018300011057538486	51.054913394771667	0.0087386177920766184	5.9676666667958972e-005
               10	                0	                1	C	               -1	                9	                9	  47.978737992069	-1.0000643786666668	                0	                1	-0.15000965680000003	-0.15000965680000003	-0.15000965680000003	-7.194866580310034	-7.194866580310034	-7.194866580310034	                0	               60	               25	-16643.014381389352	2.5666666715551401e-006	1.3327427220019166	1.3431926634394316	4.9936270768877552e-011	1.3441927278180983	-1.0183643897204779	0.018300011053811148	51.186775871988658	0.0087612460335693473	6.1796666667153965e-005
               11	                0	                1	C	               -1	               10	               10	47.982341301708182	-1.0000643786666668	                0	                1	-0.16667739644444449	-0.16667739644444449	-0.16667739644444449	-7.9945937231443178	-7.9945937231443178	-7.9945937231443178	                0	               60	               25	-16652.430328919447	2.6683333392914694e-006	1.3328428139363384	1.3432927553715213	5.4930508808842549e-011	1.344292819750188	-1.0183643897167507	0.018300011050083803	51.318637972069375	0.0087838742103436562	6.3891666665464683e-005
               12	                0	                1	C	               -1	               10	               10	47.982341301708182	-1.0000643786666668	                0	                1	-0.16667739644444449	-0.16667739644444449	-0.16667739644444449	-7.9945937231443178	-7.9945937231443178	-7.9945937231443178	                0	                0	               25	                0	2.6683333392914694e-006	1.3328428139363384	1.3432927553715213	5.4930508808842549e-011	1.344292819750188	-1.0183643897167507	0.018300011050083803	51.318637972069375	0.0087838742103436562	6.5828333337473544e-005
               13	                0	                2	D	                1	               10	                0	47.891020217530809	      1.636670265	                0	                1	                0	-0.16667739644444449	-0.16667739644444449	                0	-7.9945937231443178	-7.9945937231443178	                0	1.0000000000000001e-009	               25	                0	3.428333328277707e-006	1.3303061171536337	1.3433927932324832	5.4930508808842549e-011	1.3417561229674833	1.6183702539499163	0.018300011050083803	51.318637972069375	0.0088065023223996997	6.9566666669137095e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.891020217104369	      1.636670265	                0	                1	4.5463062916666673e-013	-0.16667739644398985	-0.16667739644398985	2.1772724652832651e-011	-7.994593723122545	-7.994593723122545	                0	1.0000000000000001e-009	               25	                0	3.5333333244125244e-006	1.330306117141788	1.3433927932243437	4.6791189987837578e-011	1.3417561229593438	1.618370253943993	0.018300011056007166	51.318637972065375	0.0088065023223996355	7.1678333332177616e-005
