Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_15sd40cap_6_norm_15sd40cap_6____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:09 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |23.398184A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |4.3819657A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |13.145794A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |2.4540556A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |9.7166795A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |7.8971197A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |2.9022538A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |6.5244912A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |3.3189277A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |3.9113020A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |20.252617A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |12.440770A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |3.5259373A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |8.3703566A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |5.1341677A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |14.467218A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |5.9295215A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |0.2169026A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |6.9320829A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |20.189481A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |36.187492A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |15.553433A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |2.9300680A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |38.191083A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |1.4658932A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |1.3298270A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |10.413691A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |9.9794308A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |11.801163A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |24.058188A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |19.550759A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |5.0702031A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |2.1914223A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |15.737814A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |8.3257176A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |5.0527218A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |10.705087A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |22.171676A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |9.2598219A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |2.2199453A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |7.3118007A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |18.666890A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |2.4008124A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |4.1211692A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |2.1259564A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |8.8374058A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |25.447798A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |8.3941383A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |10.025665A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |8.0294089A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.77343890858652	       3.89969739	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0366666629124666e-006	1.3270399696829589	1.342389672912462	                0	1.338489975522462	3.8813973789089156	0.018300011091084565	               50	0.008580218289496221	1.1341666671190372e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.77343890756611	       3.89969739	                0	                1	1.0832492750000002e-012	1.0832492750000002e-012	1.0832492750000002e-012	5.175054306143047e-011	5.175054306143047e-011	5.175054306143047e-011	                0	1.0000000000000001e-009	               25	                0	1.3533333306744074e-006	1.3270399696546142	1.3423896728930058	-1.9455585850982128e-011	1.3384899755030057	3.8813973788947096	0.018300011105290552	49.999999999990465	0.0085802182894960735	3.5316666670344904e-005
                2	                0	                1	D	                1	                1	                1	47.773438906545465	       3.89969739	                0	                1	0.064994956499999992	0.064994956499999992	0.064994956499999992	3.1050325836194985	3.1050325836194985	3.1050325836194985	                0	59.999999999000003	               25	4.8977391779104753	1.4766666633173979e-006	1.3270399696262629	1.3423896728735429	-3.891117169439386e-011	1.3384899754835429	3.8813973788805036	0.018300011119496539	49.479897344360111	0.0085802182894944359	3.781833333960094e-005
                3	                0	                1	D	                1	                2	                2	47.759124229233159	       3.89969739	                0	                1	0.12998991300000001	0.12998991300000001	0.12998991300000001	6.2095999762912157	6.2095999762912157	6.2095999762912157	                0	               60	               25	-16345.58979536651	1.574999995076117e-006	1.326642339700921	1.3419920429570895	-5.8367203789666326e-011	1.3380923455670894	3.8813973788662977	0.01830001113370253	48.959796176252524	0.0084909664031293346	3.9661666672448819e-005
                4	                0	                1	D	                1	                3	                3	47.744760611813142	       3.89969739	                0	                1	0.19498486950000002	0.19498486950000002	0.19498486950000002	9.3132353967036234	9.3132353967036234	9.3132353967036234	                0	               60	               25	-16289.896657504152	1.6666666624587378e-006	1.3262433503281428	1.3415930535931997	-7.7823682135522688e-011	1.3376933562031996	3.8813973788520917	0.018300011147908517	48.439696495672123	0.0084017147720296323	4.1425000002467032e-005
                5	                0	                1	D	                1	                4	                4	47.730342158617624	       3.89969739	                0	                1	0.25997982600000002	0.25997982600000002	0.25997982600000002	12.415935472402213	12.415935472402213	12.415935472402213	                0	               60	               25	-16227.943471269175	1.7549999938637483e-006	1.3258428377393785	1.3411925410133239	-9.7280606730686078e-011	1.3372928436233238	3.8813973788378857	0.018300011162114507	47.919598302614652	0.0083124633961960907	4.3156666667224881e-005
                6	                0	                1	D	                1	                5	                5	47.715862886755573	       3.89969739	                0	                1	     0.3249747825	     0.3249747825	     0.3249747825	15.517696444909269	15.517696444909269	15.517696444909269	                0	               60	               25	-16159.779692599808	1.839999996870271e-006	1.3254406357432105	1.3407903390260443	-1.1673797757387965e-010	1.3368906416360442	3.8813973788236797	0.018300011176320494	47.399501597075862	0.0082232122756279776	4.4878333339208137e-005
                7	                0	                1	D	                1	                6	                6	47.701316715830181	       3.89969739	                0	                1	0.38996973899999998	0.38996973899999998	0.38996973899999998	18.618514163720643	18.618514163720643	18.618514163720643	                0	               60	               25	-16085.459506842057	1.9249999922976713e-006	1.3250365754397273	1.3403862787314496	-1.3619579466382658e-010	1.3364865813414495	3.8813973788094738	0.018300011190526485	46.879406379051488	0.0081339614103245646	4.6585000003081704e-005
                8	                0	                1	D	                1	                7	                7	47.686697457257488	       3.89969739	                0	                1	0.45496469549999996	0.45496469549999996	0.45496469549999996	21.718384079621252	21.718384079621252	21.718384079621252	                0	               60	               25	-16005.041721954316	2.009999995304194e-006	1.3246304849238191	1.3399801882244298	-1.5565405799925001e-010	1.3360804908344297	3.8813973787952678	0.018300011204732472	46.359312648537284	0.0080447108002851195	4.8315000003640304e-005
                9	                0	                1	D	                1	                8	                8	47.671998803137384	       3.89969739	                0	                1	0.51995965199999994	0.51995965199999994	0.51995965199999994	24.81730123729179	24.81730123729179	24.81730123729179	                0	               60	               25	-15918.589653728055	2.0949999907315942e-006	1.3242221889760384	1.3395718922855375	-1.7511276757887312e-010	1.3356721948955375	3.8813973787810614	0.018300011218938459	45.839220405528991	0.0079554604455089137	5.0051666668575005e-005
               10	                0	                1	D	                1	                9	                9	47.657214314624262	       3.89969739	                0	                1	0.58495460849999992	0.58495460849999992	0.58495460849999992	27.915260267175864	27.915260267175864	27.915260267175864	                0	               60	               25	-15826.171002962168	2.1799999861589945e-006	1.3238115087395628	1.3391612120579504	-1.9457192340141903e-010	1.3352615146679503	3.8813973787668554	0.01830001123314445	45.319129650022354	0.0078662103459952171	5.1786666669310456e-005
               11	                0	                1	D	                1	               10	               10	47.642337409740747	       3.89969739	                0	                1	0.6499495649999999	0.6499495649999999	0.6499495649999999	31.012255376573165	31.012255376573165	31.012255376573165	                0	               60	               25	-15727.857725250053	2.2649999815863947e-006	1.3233982613816875	1.3387479647089635	-2.1403152546561092e-010	1.3348482673189634	3.8813973787526495	0.018300011247350437	44.799040382013125	0.0077769605017432965	5.3496666669161638e-005
               12	                0	                1	D	                1	               10	               10	47.642337409740747	       3.89969739	                0	                1	0.6499495649999999	0.6499495649999999	0.6499495649999999	31.012255376573165	31.012255376573165	31.012255376573165	                0	                0	               25	                0	2.2649999815863947e-006	1.3233982613816875	1.3387479647089635	-2.1403152546561092e-010	1.3348482673189634	3.8813973787526495	0.018300011247350437	44.799040382013125	0.0077769605017432965	5.5073333336016124e-005
               13	                0	                2	D	                1	               10	                0	47.741458663211972	0.7303276228333333	                0	                1	                0	0.6499495649999999	0.6499495649999999	                0	31.012255376573165	31.012255376573165	                0	1.0000000000000001e-009	               25	                0	2.8949999811326657e-006	1.3261516295336659	1.3383319630937753	-2.1403152546561092e-010	1.3376016354709419	0.71202761158598282	0.01830001124735044	44.799040382013125	0.0076877109127525762	5.8135000002342471e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.741458663023195	0.7303276228333333	                0	                1	2.0286878412037037e-013	0.64994956500020273	0.64994956500020273	9.6852516711195866e-012	31.01225537658285	31.01225537658285	                0	1.0000000000000001e-009	               25	                0	2.9799999841391885e-006	1.3261516295284221	1.338331963090162	-2.1764472500948594e-010	1.3376016354673286	0.71202761158337691	0.018300011249956349	44.799040382011334	0.0076877109127525484	5.9861666666923456e-005
