Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_15sd40cap_8_norm_15sd40cap_8____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:15 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |6.0469436A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |7.8449841A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |11.605000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |14.481697A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |18.259075A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |12.605550A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |13.977138A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |21.341936A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |14.167191A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |18.394440A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |4.0862106A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |0.6416769A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |8.7910825A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |5.3217094A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |15.191518A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |0.7209420A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |13.664567A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |26.616080A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |12.060679A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |23.404297A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |0.2305544A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |6.5911199A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |0.7646131A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |2.7996642A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |1.9796867A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |15.843153A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |3.3720938A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |29.871002A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |5.9904805A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |15.231023A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |12.898946A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |11.315067A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |3.2615242A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |8.1087389A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |21.586308A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |12.917860A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |19.727214A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |11.725316A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |1.8195167A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |0.8110297A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |21.561529A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |14.266923A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |5.7759115A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |30.545124A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |14.844656A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |5.9325713A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |4.4656117A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |13.015961A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |11.323981A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |19.881635A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.95010967625052	-1.0078239339999999	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0466666632661752e-006	1.3319474910069589	1.342389672912462	                0	1.3433974968464619	-1.0261239450910844	0.018300011091084565	               50	0.008580218289496221	1.1625000001913578e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.950109676516256	-1.0078239339999999	                0	                1	-2.7995109277777779e-013	-2.7995109277777779e-013	-2.7995109277777779e-013	-1.3423685602717827e-011	-1.3423685602717827e-011	-1.3423685602717827e-011	                0	1.0000000000000001e-009	               25	                0	1.3749999955810685e-006	1.3319474910143405	1.3423896729174938	5.0316295642411354e-012	1.3433974968514937	-1.0261239450873287	0.018300011087328833	50.000000000002437	0.0085802182894962591	3.7054999999478848e-005
                2	                0	                1	C	               -1	                1	                1	47.950109676782063	-1.0078239339999999	                0	                1	-0.016797065566666665	-0.016797065566666665	-0.016797065566666665	-0.80542113616753375	-0.80542113616753375	-0.80542113616753375	                0	59.999999999000003	               25	-1.2610906720881205	1.4966666640248149e-006	1.3319474910217239	1.3423896729225273	1.0063259127975926e-011	1.3433974968565272	-1.0261239450835731	0.018300011083573101	50.132889755650282	0.0085802182894966772	3.9624999999432475e-005
                3	                0	                1	C	               -1	                2	                2	47.953760020840676	-1.0078239339999999	                0	                1	-0.03359413113333333	-0.03359413113333333	-0.03359413113333333	-1.6108729298715465	-1.6108729298715465	-1.6108729298715465	                0	               60	               25	-16565.407279163373	1.5950000033626566e-006	1.3320488894677966	1.3424910713662501	1.5095002713515516e-011	 1.34349889530025	-1.0261239450798174	0.018300011079817369	50.265779131225976	0.0086030227517346035	4.1493333333164629e-005
                4	                0	                1	C	               -1	                3	                3	47.957407633320273	-1.0078239339999999	                0	                1	-0.050391196699999995	-0.050391196699999995	-0.050391196699999995	-2.4163860157027965	-2.4163860157027965	-2.4163860157027965	                0	               60	               25	-16577.812576922814	1.6866666707452775e-006	1.3321502120366742	1.3425923939327777	2.0126860320533757e-011	1.3436002178667776	-1.0261239450760615	0.018300011076061634	50.398668126728381	0.0086258271487504902	4.3276666663890261e-005
                5	                0	                1	C	               -1	                4	                4	47.961052610277633	-1.0078239339999999	                0	                1	-0.06718826226666666	-0.06718826226666666	-0.06718826226666666	-3.2219603485855086	-3.2219603485855086	-3.2219603485855086	                0	               60	               25	-16589.799262759763	1.7733333379510441e-006	1.332251461396601	1.3426936432903547	2.5158831948704506e-011	1.3437014672243546	-1.0261239450723059	0.018300011072305902	50.531556742158592	0.0086486314805441396	4.5028333336934644e-005
                6	                0	                1	C	               -1	                5	                5	47.964695047499845	-1.0078239339999999	                0	                1	-0.083985327833333318	-0.083985327833333318	-0.083985327833333318	-4.0275958850551135	-4.0275958850551135	-4.0275958850551135	                0	               60	               25	-16601.366708878122	1.8566666691792003e-006	1.332352640208329	1.3427948220997328	3.0190917597701622e-011	1.3438026460337327	-1.0261239450685502	0.01830001106855017	50.664444977517697	0.0086714357471157424	4.6765000001869338e-005
                7	                0	                1	C	               -1	                6	                6	47.968335040514276	-1.0078239339999999	                0	                1	-0.10078239339999998	-0.10078239339999998	-0.10078239339999998	-4.8332925832538027	-4.8332925832538027	-4.8332925832538027	                0	               60	               25	-16612.514309851656	1.9400000079864793e-006	1.3324537511253967	1.3428959330144505	3.5223117267198956e-011	1.3439037569484504	-1.0261239450647943	0.018300011064794435	50.797332832806774	0.0086942399484654827	4.8493333330649573e-005
                8	                0	                1	C	               -1	                7	                7	47.971972684598754	-1.0078239339999999	                0	                1	-0.11757945896666663	-0.11757945896666663	-0.11757945896666663	-5.6390504029262525	-5.6390504029262525	-5.6390504029262525	                0	               60	               25	-16623.241481493995	2.0266666751922459e-006	1.3325547967944098	1.3429969786811138	4.0255430956870361e-011	1.3440048026151137	-1.0261239450610387	0.018300011061038703	50.930220308026918	0.0087170440845935494	5.0248333332092442e-005
                9	                0	                1	C	               -1	                8	                8	47.975608074791509	-1.0078239339999999	                0	                1	-0.13437652453333329	-0.13437652453333329	-0.13437652453333329	-6.4448693054155139	-6.4448693054155139	-6.4448693054155139	                0	               60	               25	-16633.547661679295	2.1133333423980125e-006	1.3326557798553198	1.3430979617396739	4.5287858666389701e-011	1.3441057856736738	-1.026123945057283	0.018300011057282971	51.063107403179217	0.0087398481555001264	5.1996666669159217e-005
               10	                0	                1	C	               -1	                9	                9	47.979241305901212	-1.0078239339999999	                0	                1	-0.15117359009999995	-0.15117359009999995	-0.15117359009999995	-7.2507492536590741	-7.2507492536590741	-7.2507492536590741	                0	               60	               25	-16643.432309745909	2.1983333454045352e-006	1.3327567029417002	1.3431988848237044	5.0320400395430834e-011	1.3442067087577043	-1.0261239450535273	0.01830001105352724	51.19599411826475	0.0087626521611854028	5.3739999998470012e-005
               11	                0	                1	C	               -1	               10	               10	47.982872472516753	-1.0078239339999999	                0	                1	-0.16797065566666661	-0.16797065566666661	-0.16797065566666661	-8.0566902121850816	-8.0566902121850816	-8.0566902121850816	                0	               60	               25	-16652.894907436166	2.2816666766326912e-006	1.3328575686810209	1.3432997505606752	5.5353056143667625e-011	1.3443075744946751	-1.0261239450497714	0.018300011049771508	51.328880453284611	0.0087854561016495625	5.5449999998321194e-005
               12	                0	                1	C	               -1	               10	               10	47.982872472516753	-1.0078239339999999	                0	                1	-0.16797065566666661	-0.16797065566666661	-0.16797065566666661	-8.0566902121850816	-8.0566902121850816	-8.0566902121850816	                0	                0	               25	                0	2.2816666766326912e-006	1.3328575686810209	1.3432997505606752	5.5353056143667625e-011	1.3443075744946751	-1.0261239450497714	0.018300011049771508	51.328880453284611	0.0087854561016495625	5.7030000001153287e-005
               13	                0	                2	C	               -1	               10	                0	47.997289911985433	-1.3074973571666666	                0	                1	                0	-0.16797065566666661	-0.16797065566666661	                0	-8.0566902121850816	-8.0566902121850816	                0	1.0000000000000001e-009	               25	                0	2.9033333400244979e-006	1.3332580531107066	1.343400561567194	5.5353056143667625e-011	1.3447080589243607	-1.3257973682164381	0.018300011049771504	51.328880453284611	0.0088082599768927548	6.0123333332740005e-005
