Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_25sd40cap_8_norm_25sd40cap_8____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:11:55 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |0.1721174A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |2.4521235A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |1.0633077A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |3.9169211A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |3.2982948A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |0.7708139A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |0.4899286A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |1.1347331A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |0.7120809A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |2.9219983A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |1.2107837A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |0.0453640A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |2.2438795A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |1.3568974A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |4.6556855A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |1.0693348A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |1.2221369A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |1.0946791A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |0.7999373A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |3.2447276A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |4.6687049A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |0.9263415A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |0.4940536A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |0.8132993A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |0.8913175A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |1.5241054A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |2.7399890A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |3.5541450A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |1.7568788A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |0.3894840A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |0.0001372A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |2.2353761A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |0.8579617A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |0.6826186A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |0.9413983A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |1.2186588A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |2.4852913A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |0.5654366A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |1.2034168A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |1.8847985A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |3.9765395A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |4.4890812A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |0.7142664A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |0.2471045A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |1.8034741A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |0.4967085A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |0.5052664A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |0.2977625A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |2.1756190A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |1.2385274A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.91486071917052	-0.028686237333333333	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2749999920439829e-006	1.3309683533102923	1.342389672912462	                0	1.3424183591497953	-0.046986248424417898	0.018300011091084565	               50	0.008580218289496221	1.2158333333900373e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.914860719181057	-0.028686237333333333	                0	                1	-7.9683992592592604e-015	-7.9683992592592604e-015	-7.9683992592592604e-015	-3.8180474066219103e-013	-3.8180474066219103e-013	-3.8180474066219103e-013	                0	1.0000000000000001e-009	               25	                0	1.6166666606901952e-006	1.3309683533105849	1.342389672912647	1.8489796624679739e-013	1.3424183591499803	-0.046986248424245779	0.018300011090912446	50.000000000000071	0.0085802182894962227	4.1475000004235577e-005
                2	                0	                1	C	               -1	                1	                1	47.914860719191594	-0.028686237333333333	                0	                1	-0.00047810395555555559	-0.00047810395555555559	-0.00047810395555555559	-0.022908284439736495	-0.022908284439736495	-0.022908284439736495	                0	59.999999999000003	               25	-0.035921511909600995	1.7649999942174569e-006	1.3309683533108776	1.342389672912832	3.6979593249291109e-013	1.3424183591501653	-0.046986248424073659	0.018300011090740326	50.003643579689857	0.0085802182894962348	4.4556666671269342e-005
                3	                0	                1	C	               -1	                2	                2	47.914960841683396	-0.028686237333333333	                0	                1	-0.00095620791111111119	-0.00095620791111111119	-0.00095620791111111119	-0.045816592813955198	-0.045816592813955198	-0.045816592813955198	                0	               60	               25	-17190.685220008283	1.8799999907059829e-006	1.3309711344912054	1.3423924540930521	5.5469702500925029e-013	1.3424211403303854	-0.04698624842390154	0.018300011090568207	50.007287148958802	0.0085808435436781055	4.6813333331859518e-005
                4	                0	                1	C	               -1	                3	                3	47.915060961772824	-0.028686237333333333	                0	                1	-0.0014343118666666668	-0.0014343118666666668	-0.0014343118666666668	-0.068724949056558973	-0.068724949056558973	-0.068724949056558973	                0	               60	               25	-17191.097709103437	1.988333330397533e-006	1.3309739156048006	1.3423952352065396	7.3960124378687377e-013	1.3424239214438729	-0.046986248423729421	0.018300011090396088	50.010930707806878	0.0085814687960717156	4.897333333246934e-005
                5	                0	                1	C	               -1	                4	                4	47.915161079461882	-0.028686237333333333	                0	                1	-0.0019124158222222224	-0.0019124158222222224	-0.0019124158222222224	-0.091633353166399728	-0.091633353166399728	-0.091633353166399728	                0	               60	               25	-17191.509873927742	2.0933333265323504e-006	1.3309766966517189	1.3423980162533502	9.2450858881684009e-013	1.3424267024906835	-0.046986248423557309	0.018300011090223972	50.014574256234106	0.0085820940466770565	5.1105000003796401e-005
                6	                0	                1	C	               -1	                5	                5	47.915261194752595	-0.028686237333333333	                0	                1	-0.0023905197777777778	-0.0023905197777777778	-0.0023905197777777778	-0.11454180514233031	-0.11454180514233031	-0.11454180514233031	                0	               60	               25	-17191.921710772669	2.1933333300694358e-006	1.3309794776320165	1.3424007972335401	1.109419060090208e-012	1.3424294834708734	-0.046986248423385189	0.018300011090051853	50.01821779424052	0.0085827192954941369	5.3198333337907876e-005
                7	                0	                1	C	               -1	                6	                6	47.915361307646947	-0.028686237333333333	                0	                1	-0.0028686237333333331	-0.0028686237333333331	-0.0028686237333333331	-0.13745030498320454	-0.13745030498320454	-0.13745030498320454	                0	               60	               25	-17192.333226910923	2.2966666695841318e-006	1.3309822585457485	1.3424035781471644	1.2943326575980361e-012	1.3424322643844977	-0.04698624842321307	0.018300011089879734	50.021861321826151	0.0085833445425229585	5.5293333336218593e-005
                8	                0	                1	C	               -1	                7	                7	47.915461418146954	-0.028686237333333333	                0	                1	-0.0033467276888888885	-0.0033467276888888885	-0.0033467276888888885	-0.1603588526878772	-0.1603588526878772	-0.1603588526878772	                0	               60	               25	-17192.74441619368	2.3966666731212172e-006	1.330985039392971	1.3424063589942792	1.4792493813313832e-012	1.3424350452316125	-0.046986248423040951	0.018300011089707618	50.025504838991026	0.0085839697877635283	5.7421666671568046e-005
                9	                0	                1	C	               -1	                8	                8	47.915561526254628	-0.028686237333333333	                0	                1	-0.0038248316444444439	-0.0038248316444444439	-0.0038248316444444439	-0.183267448255204	-0.183267448255204	-0.183267448255204	                0	               60	               25	-17193.155279792947	2.5000000050567907e-006	1.3309878201737397	1.3424091397749403	1.6641692312813076e-012	1.3424378260122736	-0.046986248422868832	0.018300011089535499	50.02914834573518	0.0085845950312158515	5.9558333335492836e-005
               10	                0	                1	C	               -1	                9	                9	47.915661631971972	-0.028686237333333333	                0	                1	-0.0043029355999999993	-0.0043029355999999993	-0.0043029355999999993	-0.20617609168404166	-0.20617609168404166	-0.20617609168404166	                0	               60	               25	-17193.565818881001	2.6033333369923638e-006	1.3309906008881103	1.3424119204892031	1.8490922074388686e-012	1.3424406067265364	-0.046986248422696712	0.018300011089363379	50.032791842058643	0.0085852202728799332	6.1671666670311728e-005
               11	                0	                1	C	               -1	               10	               10	47.915761735300983	-0.028686237333333333	                0	                1	-0.0047810395555555546	-0.0047810395555555546	-0.0047810395555555546	-0.2290847829732478	-0.2290847829732478	-0.2290847829732478	                0	               60	               25	-17193.976034630385	2.704999997149571e-006	1.3309933815361383	1.3424147011371235	2.0340183097951247e-012	1.3424433873744568	-0.046986248422524593	0.01830001108919126	50.036435327961435	0.0085858455127557787	6.3766666668622446e-005
               12	                0	                1	C	               -1	               10	               10	47.915761735300983	-0.028686237333333333	                0	                1	-0.0047810395555555546	-0.0047810395555555546	-0.0047810395555555546	-0.2290847829732478	-0.2290847829732478	-0.2290847829732478	                0	                0	               25	                0	2.704999997149571e-006	1.3309933815361383	1.3424147011371235	2.0340183097951247e-012	1.3424433873744568	-0.046986248422524593	0.01830001108919126	50.036435327961435	0.0085858455127557787	6.5693333332698475e-005
               13	                0	                2	C	               -1	               10	                0	47.929541872389123	-0.4086872416666667	                0	                1	                0	-0.0047810395555555546	-0.0047810395555555546	                0	-0.2290847829732478	-0.2290847829732478	                0	1.0000000000000001e-009	               25	                0	3.4750000016477618e-006	1.3313761631219201	1.3424174817185719	2.0340183097951247e-012	1.3428261689602385	-0.42698725275585797	0.01830001108919126	50.036435327961435	0.0085864707508433915	6.9424999999985939e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	47.929541872498717	-0.4086872416666667	                0	                1	-1.1352423379629632e-013	-0.0047810395556690793	-0.0047810395556690793	-5.4411645172766982e-012	-0.22908478297868898	-0.22908478297868898	                0	1.0000000000000001e-009	               25	                0	3.5783333335833353e-006	1.3313761631249643	1.3424174817206382	4.0999525096299381e-012	1.3428261689623049	-0.42698725275429505	0.018300011087628354	50.036435327962423	0.0085864707508434071	7.1533333334627974e-005
               15	                0	                2	C	               -1	               11	1.0000000000000002	47.929541872608318	-0.4086872416666667	                0	                1	-0.0068114540277777798	-0.011592493583333335	-0.011592493583333335	-0.32646987103734837	-0.55555465401059623	-0.55555465401059623	                0	59.999999999000011	               25	-1779.4622762240151	3.6833333372972752e-006	1.3313761631280088	1.3424174817227048	6.1658867093793899e-012	1.3428261689643715	-0.42698725275273214	0.018300011086065448	50.090238936015773	0.0085864707508435771	7.3636666669093151e-005
               16	                0	                2	C	               -1	               12	                2	47.931019826914039	-0.4086872416666667	                0	                1	-0.013622908055555558	-0.018403947611111113	-0.018403947611111113	-0.65294477558397424	-0.88202955855722209	-0.88202955855722209	                0	               60	               25	-16591.334661088415	3.8083333341395093e-006	1.3314172174142789	1.342458536007997	8.2318670737136563e-012	1.3428672232496637	-0.42698725275116922	0.018300011084502542	50.144042390187785	0.008595703684880782	7.6523333336808716e-005
               17	                0	                2	C	               -1	               13	                3	47.932497325876774	-0.4086872416666667	                0	                1	-0.020434362083333338	-0.025215401638888892	-0.025215401638888892	-0.97942974559763485	-1.2085145285708827	-1.2085145285708827	                0	               60	               25	-16596.447861188357	3.9166666662519374e-006	1.3314582590521327	1.3424995776448729	1.0297893602500699e-011	1.3429082648865396	-0.42698725274960631	0.018300011082939632	50.197845690478005	0.0086049365925112767	7.8701666666347592e-005
               18	                0	                2	C	               -1	               14	                4	47.933974375885221	-0.4086872416666667	                0	                1	-0.027245816111111116	-0.032026855666666673	-0.032026855666666673	-1.3059247779985403	-1.5350095609717882	-1.5350095609717882	                0	               60	               25	-16601.492407009049	4.0216666623867548e-006	1.331499288219034	1.3425406068107963	1.2363966295608479e-011	1.342949294052463	-0.42698725274804344	0.018300011081376726	50.251648836886865	0.0086141694737349849	8.0813333336967241e-005
               19	                0	                2	C	               -1	               15	                5	47.935450983320536	-0.4086872416666667	                0	                1	-0.034057270138888894	-0.038838309694444448	-0.038838309694444448	-1.6324298697503918	-1.8615146527236397	-1.8615146527236397	                0	               60	               25	-16606.468255236137	4.1233333301230836e-006	1.3315403050922372	1.3425816236830217	1.4430085152904953e-011	1.3429903109246883	-0.42698725274648053	0.01830001107981382	50.305451829414814	0.0086234023285519795	8.2913333335454803e-005
               20	                0	                2	C	               -1	               16	                6	47.936927154556422	-0.4086872416666667	                0	                1	-0.040868724166666676	-0.045649763722222222	-0.045649763722222222	-1.95894501786033	-2.1880298008335779	-2.1880298008335779	                0	               60	               25	-16611.375363427604	4.2249999978594133e-006	1.3315813098487894	1.342622628438596	1.6496250174258086e-011	1.3430313156802627	-0.42698725274491761	0.018300011078250911	50.359254668062292	0.0086326351569623386	8.5001666669389433e-005
               21	                0	                2	C	               -1	               17	                7	47.938402895959229	-0.4086872416666667	                0	                1	-0.04768017819444445	-0.052461217749999997	-0.052461217749999997	-2.2854702193788845	-2.5145550023521324	-2.5145550023521324	                0	               60	               25	-16616.213689851968	4.3266666655957429e-006	1.3316223026655341	1.3426636212543628	1.8562461359535837e-011	1.3430723084960294	-0.42698725274335469	0.018300011076688005	50.413057352829732	0.0086418679589661367	8.710500000385461e-005
               22	                0	                2	C	               -1	               18	                8	47.939878213888086	-0.4086872416666667	                0	                1	-0.054491632222222225	-0.059272671777777772	-0.059272671777777772	-2.6120054713999243	-2.8410902543731722	-2.8410902543731722	                0	               60	               25	-16620.983193085831	4.4333333259298042e-006	1.3316632837191136	1.3427046023069644	2.0628718708606172e-011	1.3431132895486311	-0.42698725274179178	0.018300011075125099	50.466859883717582	0.0086511007345634484	8.9241666667779407e-005
               23	                0	                2	C	               -1	               19	                9	47.941353114695005	-0.4086872416666667	                0	                1	   -0.06130308625	-0.066084125805555546	-0.066084125805555546	-2.9385507710606094	-3.1676355540338572	-3.1676355540338572	                0	               60	               25	-16625.683832410996	4.5399999938429875e-006	1.3317042531859724	1.3427455717728454	2.2695022221337048e-011	1.343154259014512	-0.42698725274022886	0.018300011073562189	50.520662260726276	0.00866033348375435	9.1383333331881048e-005
               24	                0	                2	C	               -1	               20	               10	47.942827604724975	-0.4086872416666667	                0	                1	-0.068114540277777774	-0.072895579833333321	-0.072895579833333321	-3.2651061155413421	-3.49419089851459	-3.49419089851459	                0	               60	               25	-16630.315567812293	4.6449999899778049e-006	1.3317452112423604	1.3427865298282555	2.476137189759643e-011	1.3431952170699222	-0.42698725273866595	0.018300011071999283	50.574464483856261	0.008669566206538918	9.3520000003384973e-005
               25	                0	                2	C	               -1	               20	               10	47.942827604724975	-0.4086872416666667	                0	                1	-0.068114540277777774	-0.072895579833333321	-0.072895579833333321	-3.2651061155413421	-3.49419089851459	-3.49419089851459	                0	                0	               25	                0	4.6449999899778049e-006	1.3317452112423604	1.3427865298282555	2.476137189759643e-011	1.3431952170699222	-0.42698725273866595	0.018300011071999283	50.574464483856261	0.008669566206538918	9.5453333331837104e-005
               26	                0	                3	D	                1	               20	                0	47.923209103090471	0.17721795600000001	                0	                1	                0	-0.072895579833333321	-0.072895579833333321	                0	-3.49419089851459	-3.49419089851459	                0	1.0000000000000001e-009	               25	                0	5.4166666435169946e-006	1.3312002528636242	1.3428274766471859	2.476137189759643e-011	1.3426502586911859	0.15891794492800074	0.018300011071999283	50.574464483856261	0.0086787989029172112	9.9201666671433486e-005
               27	                0	                3	D	                1	20.000000000016666	1.6666666666666667e-011	47.923209103047043	0.17721795600000001	                0	                1	4.9227210000000006e-014	-0.072895579833284097	-0.072895579833284097	2.3591258783906775e-012	-3.494190898512231	-3.494190898512231	                0	1.0000000000000001e-009	               25	                0	5.5233333114301788e-006	1.3312002528624178	1.3428274766463435	2.3918676111707893e-011	1.3426502586903435	0.15891794492741909	0.018300011072580936	50.57446448385582	0.0086787989029172043	0.00010129833333394345
