Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_30sd40cap_7_norm_30sd40cap_7____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:06:20 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |21.219014A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |20.428812A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |12.124540A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |18.006213A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |4.9949379A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |27.835349A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |3.3941431A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |10.406363A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |7.7180201A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |28.245775A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |34.788888A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |12.576599A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |31.321844A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |18.736906A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |24.436238A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |1.9669527A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |14.181234A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |29.028479A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |38.172618A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |38.517962A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |33.976364A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |1.5739402A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |6.7697634A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |22.410310A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |36.935151A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |30.130315A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |16.324641A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |2.0569391A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |21.521012A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |39.525174A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |37.707158A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |18.780243A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |18.014662A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |12.925734A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |13.124841A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |29.665907A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |4.1120738A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |12.072120A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |1.0913324A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	48.041142099946526	-3.5365023699999996	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.1183333337309401e-006	1.334476169442959	1.342389672912462	                0	1.3459261752824621	-3.554802381091084	0.018300011091084565	               50	0.008580218289496221	1.0566666666515327e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	48.041142100871362	-3.5365023699999996	                0	                1	-9.8236176944444446e-013	-9.8236176944444446e-013	-9.8236176944444446e-013	-4.7193781359889727e-011	-4.7193781359889727e-011	-4.7193781359889727e-011	                0	1.0000000000000001e-009	               25	                0	1.4383333336809302e-006	1.3344761694686489	1.3423896729300113	1.7548587816788425e-011	1.3459261753000114	-3.5548023810780731	0.018300011078073823	50.000000000008555	0.0085802182894963545	3.468833333499788e-005
                2	                0	                1	C	               -1	                1	                1	48.041142101796403	-3.5365023699999996	                0	                1	-0.058941706166666663	-0.058941706166666663	-0.058941706166666663	-2.8316268816479009	-2.8316268816479009	-2.8316268816479009	                0	59.999999999000003	               25	-4.416842167216692	1.5550000019478223e-006	1.3344761694943446	1.3423896729475664	3.5097175627417798e-011	1.3459261753175664	-3.5548023810650626	0.018300011065063081	50.466675309203396	0.0085802182894978221	3.7174999999933791e-005
                3	                0	                1	C	               -1	                2	                2	48.053949401794334	-3.5365023699999996	                0	                1	-0.11788341233333333	-0.11788341233333333	-0.11788341233333333	-5.663631205379696	-5.663631205379696	-5.663631205379696	                0	               60	               25	-16567.905978174924	1.6550000016953466e-006	1.3348319278276204	1.3427454312727016	5.2646163849489863e-011	1.3462819336427017	-3.5548023810520517	0.018300011052052343	50.93334928368067	0.0086603018099620198	3.901833333278167e-005
                4	                0	                1	C	               -1	                3	                3	48.066726072618636	-3.5365023699999996	                0	                1	-0.17682511849999999	-0.17682511849999999	-0.17682511849999999	-8.496389510556881	-8.496389510556881	-8.496389510556881	                0	               60	               25	-16607.623779146659	1.7433333368899183e-006	1.3351868353505176	1.3431003387874583	7.0195552481859001e-011	1.3466368411574583	-3.5548023810390408	0.018300011039041601	51.40002192343642	0.0087403851013828551	4.0771666666235738e-005
                5	                0	                1	C	               -1	                4	                4	48.07947623270362	-3.5365023699999996	                0	                1	-0.23576682466666665	-0.23576682466666665	-0.23576682466666665	-11.329900113217477	-11.329900113217477	-11.329900113217477	                0	               60	               25	-16642.155140459687	1.8300000040956851e-006	1.3355410064639894	1.3434545098927895	8.7745341523379559e-011	1.3469910122627895	-3.5548023810260303	0.018300011026030859	51.866693228474468	0.0088204681637596514	4.249666666661748e-005
                6	                0	                1	C	               -1	                5	                5	48.092203967262748	-3.5365023699999996	                0	                1	-0.29470853083333332	-0.29470853083333332	-0.29470853083333332	-14.164161571168002	-14.164161571168002	-14.164161571168002	                0	               60	               25	-16671.477647042902	1.9150000033126466e-006	1.3358945546461873	1.3438080580668468	1.0529553097290589e-010	1.3473445604368468	-3.5548023810130194	0.018300011013020121	52.333363198798622	0.0089005509970930628	4.4213333334634321e-005
                7	                0	                1	C	               -1	                6	                6	48.104913333509565	-3.5365023699999996	                0	                1	-0.35365023699999998	-0.35365023699999998	-0.35365023699999998	-16.999172682179246	-16.999172682179246	-16.999172682179246	                0	               60	               25	-16695.572232261598	2.0000000025296079e-006	1.3362475925974879	1.3441610960100068	1.2284612082929236e-010	1.3476975983800068	-3.5548023810000089	0.018300011000009379	52.800031834412707	0.0089806336013837414	4.5921666666496702e-005
                8	                0	                1	C	               -1	                7	                7	48.117608365791135	-3.5365023699999996	                0	                1	-0.41259194316666664	-0.41259194316666664	-0.41259194316666664	-19.83493248248719	-19.83493248248719	-19.83493248248719	                0	               60	               25	-16714.42320852097	2.0883333377241798e-006	1.336600232383087	1.3445137357874652	1.4039711109139337e-010	1.3480502381574653	-3.554802380986998	0.018300010986998638	53.266699135320536	0.0090607159766323449	4.7666666667585862e-005
                9	                0	                1	C	               -1	                8	                8	48.130293080650112	-3.5365023699999996	                0	                1	-0.4715336493333333	-0.4715336493333333	-0.4715336493333333	-22.671440245594404	-22.671440245594404	-22.671440245594404	                0	               60	               25	-16728.018292805726	2.1733333369411411e-006	1.3369525855736142	1.3448660889698518	1.5794850175806325e-010	1.3484025913398519	-3.5548023809739875	0.018300010973987896	53.733365101525933	0.0091407981228395288	4.9415000000863073e-005
               10	                0	                1	C	               -1	                9	                9	48.142971481831502	-3.5365023699999996	                0	                1	-0.53047535549999991	-0.53047535549999991	-0.53047535549999991	-25.508695481368179	-25.508695481368179	-25.508695481368179	                0	               60	               25	-16736.348626628853	2.2583333361581028e-006	1.3373047633842083	1.3452182667723054	1.7550029282815638e-010	1.3487547691423054	-3.5548023809609766	0.018300010960977157	54.200029733032707	0.0092208800400059489	5.1150000001598531e-005
               11	                0	                1	C	               -1	               10	               10	48.155647565249737	-3.5365023699999996	                0	                1	-0.58941706166666652	-0.58941706166666652	-0.58941706166666652	-28.346697935432594	-28.346697935432594	-28.346697935432594	                0	               60	               25	-16739.408790475343	2.3433333353750641e-006	1.3376568768124928	1.3455703801924492	1.9305248430052716e-010	1.3491068825624493	-3.5548023809479656	0.018300010947966416	54.66669302984468	0.0093009617281322576	5.2883333334345174e-005
               12	                0	                1	C	               -1	               10	               10	48.155647565249737	-3.5365023699999996	                0	                1	-0.58941706166666652	-0.58941706166666652	-0.58941706166666652	-28.346697935432594	-28.346697935432594	-28.346697935432594	                0	                0	               25	                0	2.3433333353750641e-006	1.3376568768124928	1.3455703801924492	1.9305248430052716e-010	1.3491068825624493	-3.5548023809479656	0.018300010947966416	54.66669302984468	0.0093009617281322576	5.4481666666106321e-005
               13	                0	                2	C	               -1	               10	                0	48.163584111186552	-3.4048020416666667	                0	                1	                0	-0.58941706166666652	-0.58941706166666652	                0	-28.346697935432594	-28.346697935432594	                0	1.0000000000000001e-009	               25	                0	2.9716666669325302e-006	1.3378773364218486	1.3459225401301385	1.9305248430052716e-010	1.3493273421718051	-3.4231020526146332	0.018300010947966416	54.66669302984468	0.0093810431872189785	5.7553333332786377e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	48.163584112077189	-3.4048020416666667	                0	                1	-9.4577834490740752e-013	-0.58941706166761232	-0.58941706166761232	-4.5552074865907899e-011	-28.346697935478147	-28.346697935478147	                0	1.0000000000000001e-009	               25	                0	3.0549999981606866e-006	1.3378773364465886	1.3459225401470396	2.0995315955174625e-010	1.3493273421887062	-3.4231020526021045	0.018300010935437962	54.666693029852915	0.0093810431872191069	5.9291666669499436e-005
               15	                0	                2	C	               -1	               11	1.0000000000000002	48.163584112968039	-3.4048020416666667	                0	                1	-0.056746700694444457	-0.64616376236111095	-0.64616376236111095	-2.7331244920050208	-31.079822427437616	-31.079822427437616	                0	59.999999999000011	               25	-25740.174411791737	3.1383333293888425e-006	1.3378773364713343	1.3459225401639465	2.2685383479725268e-010	1.3493273422056131	-3.4231020525895759	0.018300010922909508	55.115970548626386	0.0093810431872205207	6.1016666666091621e-005
               16	                0	                2	C	               -1	               12	                2	48.175794900066151	-3.4048020416666667	                0	                1	-0.1134934013888889	-0.70291046305555538	-0.70291046305555538	-5.4665954449756677	-33.813293380408261	-33.813293380408261	                0	               60	               25	-16730.135482550326	3.2433333293132214e-006	1.3382165250018376	1.346261728686611	2.437548955269628e-010	1.3496665307282776	-3.4231020525770477	0.018300010910381054	55.565246782440951	0.0094581411708933114	6.3346666668924925e-005
