Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_30sd40cap_norm_30sd40cap____0_NiMH_36s6p.out
The present date and time are: Tuesday, December 03, 2019, 11:43:19 AM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |2.1674235A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |11.629534A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |32.289905A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |12.573885A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |29.293457A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |29.812399A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |2.3333086A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |1.0137445A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |11.514632A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |33.917720A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |19.632432A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |15.732979A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |28.889571A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |35.166093A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |4.0648101A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |12.813199A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |7.2273499A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |5.5169764A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |1.9259715A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |14.332363A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |2.2335411A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |3.4852402A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |2.9414154A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |6.5610647A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |27.561605A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |25.513443A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |21.768337A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |20.215397A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |10.143380A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |8.3722875A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |38.095810A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |29.828325A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |23.182464A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |16.777016A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |6.4031091A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |37.769917A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |16.604611A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |2.9565755A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |13.238325A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |8.4203554A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |20.462572A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |7.1415277A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |16.072059A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |10.314978A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |20.123574A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.673828014626523	6.666666666666667	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.366666765534319e-006	1.3242730004062924	1.342389672912462	                0	1.3357230062457954	6.6483666555755825	0.018300011091084565	               50	0.008580218289496221	1.254666664560015e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.673828012879937	6.666666666666667	                0	                1	1.8518518518518521e-012	1.8518518518518521e-012	1.8518518518518521e-012	8.8284866692135618e-011	8.8284866692135618e-011	8.8284866692135618e-011	                0	1.0000000000000001e-009	               25	                0	1.7650001003251721e-006	1.3242730003577761	1.3423896728791704	-3.32904322197208e-011	1.3357230062125038	6.6483666555512499	0.01830001111541751	 49.9999999999837	0.008580218289495966	4.4811666642393294e-005
                2	                0	                1	D	                1	                1	                1	47.673828011132954	6.666666666666667	                0	                1	0.11111111111111112	0.11111111111111112	0.11111111111111112	5.2970920013340503	5.2970920013340503	5.2970920013340503	                0	59.999999999000003	               25	8.3903478424246529	1.9200000679120421e-006	1.3242730003092487	1.3423896728458677	-6.6580864417276558e-011	1.3357230061792011	6.6483666555269165	0.018300011139750456	49.110968107469986	0.0085802182894931696	4.8115000026882626e-005
                3	                0	                1	D	                1	                2	                2	47.649330020928609	6.666666666666667	                0	                1	0.22222222222222221	0.22222222222222221	0.22222222222222221	10.592823003115249	10.592823003115249	10.592823003115249	                0	               60	               25	-16327.870027846157	2.0616667219049607e-006	1.3235925005813503	1.341709173133194	-9.987205940143563e-011	1.3350425064665274	6.648366655502584	0.018300011164083401	48.221938757637353	0.0084276565354113372	5.0674999996166056e-005
                4	                0	                1	D	                1	                3	                3	47.624676751287922	6.666666666666667	                0	                1	0.33333333333333331	0.33333333333333331	0.33333333333333331	 15.8858233793495	 15.8858233793495	 15.8858233793495	                0	               60	               25	-16225.028397038512	2.185000024231461e-006	1.3229076875357757	1.3410243601028442	-1.3316401717001482e-010	1.3343576934361776	6.6483666554782515	0.018300011188416346	47.332911950493354	0.0082750952176646794	5.2931666626439737e-005
                5	                0	                1	D	                1	                4	                4	47.599838277866219	6.666666666666667	                0	                1	0.44444444444444442	0.44444444444444442	0.44444444444444442	21.176074214302506	21.176074214302506	21.176074214302506	                0	               60	               25	-16104.049279071214	2.2966666923214992e-006	1.3222177299407283	1.3403344025230215	-1.6645673772083094e-010	1.3336677358563549	6.648366655453918	0.018300011212749292	46.443887686030706	0.008122534336254492	5.5109999933241247e-005
                6	                0	                1	D	                1	                5	                5	47.574783804625483	6.666666666666667	                0	                1	0.55555555555555558	0.55555555555555558	0.55555555555555558	26.46355321888538	26.46355321888538	26.46355321888538	                0	               60	               25	-15965.212924518266	2.4100000397690263e-006	1.3215217723507078	1.3396384449482257	-1.9975022105170075e-010	1.3329717782815591	6.6483666554295855	0.018300011237082237	45.554865964242147	0.007969973891179526	5.7256666574782379e-005
                7	                0	                1	D	                1	                6	                6	47.549481502649797	6.666666666666667	                0	                1	0.66666666666666674	0.66666666666666674	0.66666666666666674	31.748234624845118	31.748234624845118	31.748234624845118	                0	               60	               25	-15808.838278208341	2.5283334252890199e-006	1.3208189306291611	1.3389356032419037	-2.3304446716044107e-010	1.3322689365752372	6.6483666554052521	0.018300011261415183	44.665846785120401	0.0078174138824385325	5.9454999912607795e-005
                8	                0	                1	D	                1	                7	                7	47.523898336251342	6.666666666666667	                0	                1	0.7777777777777779	0.7777777777777779	0.7777777777777779	37.030089060339627	37.030089060339627	37.030089060339627	                0	               60	               25	-15635.281175521503	2.6400000933790578e-006	1.3201082871180929	1.3382249597460603	-2.6633947604486872e-010	1.3315582930793937	6.6483666553809195	0.018300011285748128	43.776830148658192	0.0076648543100302667	6.1813333256092548e-005
                9	                0	                1	D	                1	                8	                8	47.497999873848414	6.666666666666667	                0	                1	0.88888888888888906	0.88888888888888906	0.88888888888888906	42.30908340534517	42.30908340534517	42.30908340534517	                0	               60	               25	-15444.932358408079	2.7583333576330916e-006	1.3193888853846782	1.3375055580278703	-2.9963524770280058e-010	1.3308388913612037	6.6483666553565861	0.018300011310081073	42.887816054848251	0.0075122951739534771	6.4165000003413292e-005
               10	                0	                1	D	                1	                9	                9	47.471750080725378	6.666666666666667	                0	                1	1.0000000000000002	1.0000000000000002	1.0000000000000002	47.585180625043712	47.585180625043712	47.585180625043712	                0	               60	               25	-15238.215330884939	2.8716667050806183e-006	1.3186597244645939	1.3367763971230107	-3.3293178213205335e-010	1.3301097304563441	6.6483666553322536	0.018300011334414022	41.99880450368331	0.0073597364742069181	6.6386666609711628e-005
               11	                0	                1	D	                1	               10	               10	47.44511109032765	6.666666666666667	                0	                1	1.1111111111111114	1.1111111111111114	1.1111111111111114	52.858339578991099	52.858339578991099	52.858339578991099	                0	               60	               25	-15015.584075367544	2.9850000525281454e-006	1.3179197525091013	1.3360364251827428	-3.66229079330444e-010	1.3293697585160762	6.6483666553079201	0.018300011358746968	41.109795495156092	0.0072071782107893416	6.8543333327397704e-005
               12	                0	                1	D	                1	               10	               10	47.44511109032765	6.666666666666667	                0	                1	1.1111111111111114	1.1111111111111114	1.1111111111111114	52.858339578991099	52.858339578991099	52.858339578991099	                0	                0	               25	                0	2.9850000525281454e-006	1.3179197525091013	1.3360364251827428	-3.66229079330444e-010	1.3293697585160762	6.6483666553079201	0.018300011358746968	41.109795495156092	0.0072071782107893416	7.0514999970328068e-005
               13	                0	                2	C	               -1	               10	                0	47.671047492713747	-0.36123724400000001	                0	                1	                0	1.1111111111111114	1.1111111111111114	                0	52.858339578991099	52.858339578991099	                0	1.0000000000000001e-009	               25	                0	4.6433335228357466e-006	1.3241957636864929	1.3352845324494678	-3.66229079330444e-010	1.3356457696934678	-0.37953725535874699	0.018300011358746968	41.109795495156092	0.0070546203836997536	7.533333324924266e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	47.671047492810679	-0.36123724400000001	                0	                1	-1.003436788888889e-013	1.111111111111011	1.111111111111011	-4.7834882819107039e-012	52.858339578986318	52.858339578986318	                0	1.0000000000000001e-009	               25	                0	4.7583335496407621e-006	1.3241957636891855	1.3352845324512912	-3.6440568185743637e-010	1.3356457696952913	-0.37953725535735799	0.01830001135735795	41.109795495156966	0.0070546203836997674	7.756666661104342e-005
               15	                0	                2	C	               -1	               11	1.0000000000000002	47.67104749290764	-0.36123724400000001	                0	                1	-0.006020620733333335	1.1050904903777781	1.1050904903777781	-0.28700929691522598	52.571330282075877	52.571330282075877	                0	59.999999999000011	               25	-95.930688424435289	4.8666668590158222e-006	1.3241957636918789	1.3352845324531155	-3.6258228438449521e-010	1.3356457696971156	-0.37953725535596894	0.01830001135596894	41.157361234357857	0.0070546203836999166	7.9711666694493038e-005
               16	                0	                2	C	               -1	               12	                2	47.672507305457735	-0.36123724400000001	                0	                1	-0.012041241466666668	1.0990698696444448	1.0990698696444448	-0.57402298831959664	52.284316590671509	52.284316590671509	                0	               60	               25	-14847.272438221569	4.9933335200573007e-006	1.3242363140404927	1.3353250828008603	-3.6075884609917774e-010	1.3356863200448603	-0.37953725535457994	0.018300011354579922	41.204926837518066	0.0070627828722088139	8.2653333326258383e-005
               17	                0	                2	C	               -1	               13	                3	47.673965771230115	-0.36123724400000001	                0	                1	-0.018061862200000001	1.0930492489111114	1.0930492489111114	-0.86104546464745435	51.997294114343653	51.997294114343653	                0	               60	               25	-14860.982719277801	5.1050001881473385e-006	1.3242768269786143	1.3353655957381128	-3.5893536700160062e-010	1.3357268329821128	-0.37953725535319094	0.018300011353190909	41.252492304637187	0.0070709453373725374	8.4834999991774873e-005
               18	                0	                2	C	               -1	               14	                4	47.675422896879411	-0.36123724400000001	                0	                1	-0.024082482933333337	1.0870286281777781	1.0870286281777781	-1.1480767178103937	51.710262861180716	51.710262861180716	                0	               60	               25	-14874.650412252759	5.210000138807421e-006	1.3243173026910948	1.3354060714497242	-3.5711184709188065e-010	1.3357673086937243	-0.37953725535180194	0.018300011351801895	41.300057635715611	0.0070791077791910158	8.6964999961007081e-005
