Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_5sd40cap_3_norm_5sd40cap_3____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:39 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |7.1200051A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |9.4289341A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |0.3457941A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |4.6147395A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |2.9823179A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |3.7361101A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |5.8616484A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |5.5420260A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |7.4771528A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |0.1932574A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |3.5393742A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |5.1793445A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |12.042783A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |0.3764702A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |1.2439026A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |3.9562208A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |3.3807878A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |5.9030872A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |3.2073318A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |3.4100029A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |1.6350778A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |2.6420925A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |3.9603968A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |0.4851016A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |0.1819331A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |9.2462765A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |5.7581960A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |1.3117069A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |0.0360404A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |5.4060957A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |6.2285224A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |5.8931861A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |2.9829047A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |1.8084311A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |3.3837475A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |5.0606239A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |7.8870532A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |4.3241135A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |0.6778151A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |6.5764751A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |11.336184A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |0.4982255A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |5.2100961A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |3.8463714A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |2.3171160A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |0.2541564A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |3.6682704A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |0.5610394A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |6.7664247A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |4.5621797A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.871107984206517	1.1866675116666667	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.6766666552333239e-006	1.3297529995612922	1.342389672912462	                0	1.3412030054007953	1.1683675005755823	0.018300011091084565	               50	0.008580218289496221	1.499166667144891e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.871107983898135	1.1866675116666667	                0	                1	3.2962986435185191e-013	3.2962986435185191e-013	3.2962986435185191e-013	1.5779746831156025e-011	1.5779746831156025e-011	1.5779746831156025e-011	                0	1.0000000000000001e-009	               25	                0	2.0549999893167599e-006	1.329752999552726	1.3423896729065714	-5.8904364661919087e-012	1.3412030053949047	1.1683675005713059	0.018300011095360912	49.999999999997101	0.0085802182894961759	5.1646666671937659e-005
                2	                0	                1	D	                1	                1	                1	47.871107983589681	1.1866675116666667	                0	                1	0.019777791861111112	0.019777791861111112	0.019777791861111112	0.94678480986326152	0.94678480986326152	0.94678480986326152	                0	59.999999999000003	               25	1.4873282382187785	2.2099999872201198e-006	1.3297529995441577	1.3423896729006788	-1.1780872931689876e-011	1.341203005389012	1.1683675005670295	0.018300011099637258	49.841634661472433	0.008580218289495678	5.5016666669871485e-005
                3	                0	                1	D	                1	                2	                2	47.866754164169542	1.1866675116666667	                0	                1	0.039555583722222225	0.039555583722222225	0.039555583722222225	1.8935265652563265	1.8935265652563265	1.8935265652563265	                0	               60	               25	-16353.468949736191	2.328333319686256e-006	1.3296320601158207	1.3422687334750174	-1.7671445277411238e-011	1.3410820659633507	1.1683675005627532	0.018300011103913605	49.683269775881513	0.008553042106015046	5.7260000001709459e-005
                4	                0	                1	D	                1	                3	                3	47.862396192417833	1.1866675116666667	                0	                1	0.059333375583333334	0.059333375583333334	0.059333375583333334	2.8401821706531245	2.8401821706531245	2.8401821706531245	                0	               60	               25	-16337.887154059186	2.436666651798684e-006	1.3295110053449397	1.3421476787068121	-2.356215350296732e-011	1.3409610111951453	1.1683675005584768	0.018300011108189951	49.52490534322569	0.0085258660002598217	5.9398333337412621e-005
                5	                0	                1	D	                1	                4	                4	47.858033904226751	1.1866675116666667	                0	                1	0.07911116744444445	0.07911116744444445	0.07911116744444445	3.7867515423068605	3.7867515423068605	3.7867515423068605	                0	               60	               25	-16321.720982477889	2.541666647933501e-006	1.3293898306729652	1.3420265040375132	-2.9452997607969437e-011	1.3408398365258465	1.1683675005542005	0.018300011112466298	49.366541363503664	0.0084986899722302393	6.1508333336253898e-005
                6	                0	                1	D	                1	                5	                5	47.853667134859037	1.1866675116666667	                0	                1	0.098888959305555565	0.098888959305555565	0.098888959305555565	4.7332345932188264	4.7332345932188264	4.7332345932188264	                0	               60	               25	-16304.971640230957	2.6433333156698307e-006	1.3292685315238622	1.3419052048910858	-3.5343977592028925e-011	1.340718537379419	1.1683675005499241	0.018300011116742645	49.20817783671415	0.0084715140219260715	6.3616666670895933e-005
                7	                0	                1	D	                1	                6	                6	47.849295718922676	1.1866675116666667	                0	                1	0.11866675116666668	0.11866675116666668	0.11866675116666668	5.679631233125698	5.679631233125698	5.679631233125698	                0	               60	               25	-16287.640374770497	2.7483333193837706e-006	1.3291471033034077	1.3417837766733069	-4.1235093454757104e-011	1.3405971091616402	1.1683675005456478	0.018300011121018991	49.049814762855839	0.0084443381493471015	6.5698333332875333e-005
                8	                0	                1	D	                1	                7	                7	47.844919490345319	1.1866675116666667	                0	                1	0.13844454302777778	0.13844454302777778	0.13844454302777778	6.6259413684863357	6.6259413684863357	6.6259413684863357	                0	               60	               25	-16269.728475427322	2.8516666513193437e-006	1.3290255413984811	1.341662214771056	-4.7126345195765313e-011	1.3404755472593892	1.1683675005413714	0.018300011125295338	48.891452141927445	0.0084171623544931039	6.7831666668401644e-005
                9	                0	                1	D	                1	                8	                8	47.840538282348426	1.1866675116666667	                0	                1	0.1582223348888889	0.1582223348888889	0.1582223348888889	7.5721649024680726	7.5721649024680726	7.5721649024680726	                0	               60	               25	-16251.237273028906	2.9566666550332836e-006	1.3289038411763452	1.3415405145515957	-5.3017732814664863e-011	1.340353847039929	1.168367500537095	0.018300011129571685	48.733089973927669	0.0083899866373638565	6.9970000004104799e-005
               10	                0	                1	D	                1	                9	                9	47.836151927421156	1.1866675116666667	                0	                1	0.17800012675000002	0.17800012675000002	0.17800012675000002	8.5183017349324874	8.5183017349324874	8.5183017349324874	                0	               60	               25	-16232.168139734535	3.0683333231233214e-006	1.328781997983921	1.3414186713618472	-5.8909256311067102e-011	1.3402320038501805	1.1683675005328187	0.018300011133848031	48.574728258855217	0.0083628109979591372	7.209500000347665e-005
               11	                0	                1	D	                1	               10	               10	47.831760257294036	1.1866675116666667	                0	                1	0.19777791861111113	0.19777791861111113	0.19777791861111113	9.4643517624206641	9.4643517624206641	9.4643517624206641	                0	               60	               25	-16212.522488953706	3.1733333268372613e-006	1.3286600071470565	1.3412966805276583	-6.4800915684583338e-011	1.3401100130159915	1.1683675005285423	0.018300011138124378	48.416366996708796	0.0083356354362787242	7.4186666665809753e-005
               12	                0	                1	D	                1	               10	               10	47.831760257294036	1.1866675116666667	                0	                1	0.19777791861111113	0.19777791861111113	0.19777791861111113	9.4643517624206641	9.4643517624206641	9.4643517624206641	                0	                0	               25	                0	3.1733333268372613e-006	1.3286600071470565	1.3412966805276583	-6.4800915684583338e-011	1.3401100130159915	1.1683675005285423	0.018300011138124378	48.416366996708796	0.0083356354362787242	7.6108333337288053e-005
               13	                0	                2	D	                1	               10	                0	47.813509529106639	1.5714890148333334	                0	                1	                0	0.19777791861111113	0.19777791861111113	                0	9.4643517624206641	9.4643517624206641	                0	1.0000000000000001e-009	               25	                0	3.9399999953578423e-006	1.3281530424751844	1.3411745373589528	-6.4800915684583338e-011	1.3396030483441195	1.553189003695209	0.018300011138124378	48.416366996708796	0.0083084599523224403	7.9856666669305321e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.81350952869721	1.5714890148333334	                0	                1	4.3652472634259263e-013	0.19777791861154764	0.19777791861154764	2.0871779162582857e-011	9.4643517624415363	9.4643517624415363	                0	1.0000000000000001e-009	               25	                0	4.0449999990717817e-006	1.3281530424638115	1.3411745373511366	-7.2616818447637075e-011	1.3396030483363033	1.5531890036895244	0.018300011143808904	48.416366996704951	0.0083084599523223814	8.1978333332699543e-005
