Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_5sd40cap_7_norm_5sd40cap_7____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:49 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |5.0286685A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |2.8461476A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |4.2959310A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |3.8267798A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |2.7579561A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |7.7860530A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |3.4509566A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |5.0605199A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |1.1052214A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |1.0398528A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |6.4414419A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |0.6880586A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |1.1747854A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |3.6558756A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |1.9149180A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |0.5363475A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |7.2203520A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |4.1426207A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |5.5138081A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |0.3878164A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |1.3094238A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |4.4407467A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |4.7314904A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |1.0238626A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |0.7001410A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |0.6084921A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |1.8936999A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |3.9399778A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |4.4888651A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |0.0138146A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |8.2216628A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |2.7307758A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |8.5485365A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |0.4095052A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |5.8439425A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |7.4381041A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |2.1641727A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |11.704673A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |3.2120417A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |1.1306227A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |5.9208632A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |8.9631624A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |2.1404345A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |6.1754706A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |2.7406381A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |10.243073A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |3.1122346A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |8.0003216A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |2.2769355A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |5.4055159A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.944000025644527	-0.83811141716666659	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2833333206193251e-006	1.3317777784901257	1.342389672912462	                0	1.3432277843296287	-0.85641142825775118	0.018300011091084565	               50	0.008580218289496221	1.3178333332083032e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.944000025866025	-0.83811141716666659	                0	                1	-2.3280872699074072e-013	-2.3280872699074072e-013	-2.3280872699074072e-013	-1.1161781612840125e-011	-1.1161781612840125e-011	-1.1161781612840125e-011	                0	1.0000000000000001e-009	               25	                0	1.6049999809789975e-006	1.3317777784962785	1.3423896729166538	4.1915526060710987e-012	1.3432277843338205	-0.8564114282546168	0.018300011087950232	50.000000000002025	0.0085802182894962522	3.8671666667748163e-005
                2	                0	                1	C	               -1	                1	                1	47.944000026087579	-0.83811141716666659	                0	                1	-0.013968523619444444	-0.013968523619444444	-0.013968523619444444	-0.66970689677350204	-0.66970689677350204	-0.66970689677350204	                0	59.999999999000003	               25	-1.0488629443058484	1.7233333134451337e-006	1.3317777785024327	1.3423896729208469	8.3831052117908185e-012	1.3432277843380136	-0.85641142825148242	0.018300011084815899	50.110487703428213	0.0085802182894966009	4.1146666664341565e-005
                3	                0	                1	C	               -1	                2	                2	47.947035202277796	-0.83811141716666659	                0	                1	-0.027937047238888887	-0.027937047238888887	-0.027937047238888887	-1.3394349920137025	-1.3394349920137025	-1.3394349920137025	                0	               60	               25	-16567.962410909902	1.8199999810046089e-006	1.3318620889521611	1.3424739833686141	1.2574752618020493e-011	1.3433120947857808	-0.85641142824834815	0.018300011081681569	50.220975090853365	0.0085991784617706363	4.2976666668437248e-005
                4	                0	                1	C	               -1	                3	                3	47.950068477553096	-0.83811141716666659	                0	                1	-0.041905570858333331	-0.041905570858333331	-0.041905570858333331	-2.0092054709077178	-2.0092054709077178	-2.0092054709077178	                0	               60	               25	-16578.345341581626	1.9083333124096193e-006	1.3319463465986972	1.3425582410131891	1.6766494824488966e-011	1.3433963524303558	-0.85641142824521377	0.018300011078547236	50.331462162276551	0.0086181385798175161	4.4729999998101752e-005
                5	                0	                1	C	               -1	                4	                4	47.953099907163121	-0.83811141716666659	                0	                1	-0.055874094477777775	-0.055874094477777775	-0.055874094477777775	-2.6790183072884508	-2.6790183072884508	-2.6790183072884508	                0	               60	               25	-16588.438954243873	1.9949999796153859e-006	1.3320305529767533	1.3426424473892842	2.0958331830925076e-011	1.3434805588064509	-0.8564114282420795	0.018300011075412907	50.441948917698674	0.0086370986436370787	4.6469999999014061e-005
                6	                0	                1	C	               -1	                5	                5	47.956129546226833	-0.83811141716666659	                0	                1	-0.069842618097222212	-0.069842618097222212	-0.069842618097222212	-3.3488734757596479	-3.3488734757596479	-3.3488734757596479	                0	               60	               25	-16598.242883886312	2.0833333110203968e-006	1.332114709617412	1.3427266040279817	2.5150263637057661e-011	1.3435647154451484	-0.85641142823894512	0.018300011072278573	50.552435357120636	0.0086560586532294786	4.8198333335373418e-005
                7	                0	                1	C	               -1	                6	                6	47.95915744973653	-0.83811141716666659	                0	                1	-0.083811141716666648	-0.083811141716666648	-0.083811141716666648	-4.0187709516941013	-4.0187709516941013	-4.0187709516941013	                0	               60	               25	-16607.75677592073	2.1699999782261634e-006	1.3321988180482369	1.3428107124568456	2.9342290242615566e-011	1.3436488238740123	-0.85641142823581085	0.018300011069144244	50.662921480543346	0.0086750186085948703	4.9923333328176038e-005
                8	                0	                1	C	               -1	                7	                7	47.962183672561835	-0.83811141716666659	                0	                1	-0.097779665336111085	-0.097779665336111085	-0.097779665336111085	-4.6887107112319075	-4.6887107112319075	-4.6887107112319075	                0	               60	               25	-16616.980286284987	2.25666664543193e-006	1.3322828797933843	1.3428947742000319	3.3534411647327623e-011	1.3437328856171986	-0.85641142823267646	0.018300011066009911	 50.7734072879677	0.0086939785097334132	5.1671666665242813e-005
                9	                0	                1	C	               -1	                8	                8	47.965208269453704	-0.83811141716666659	                0	                1	-0.11174818895555552	-0.11174818895555552	-0.11174818895555552	-5.358692731278782	-5.358692731278782	-5.358692731278782	                0	               60	               25	-16625.91308123813	2.3433333126376966e-006	1.3323668963737141	1.3429787907784005	3.7726627850922686e-011	1.3438169021955673	-0.85641142822954208	0.018300011062875581	50.883892779394607	0.0087129383566452549	5.3411666666155115e-005
               10	                0	                1	C	               -1	                9	                9	47.968231295048426	-0.83811141716666659	                0	                1	-0.12571671257499997	-0.12571671257499997	-0.12571671257499997	-6.0287169895044288	-6.0287169895044288	-6.0287169895044288	                0	               60	               25	-16634.554837313521	2.4316666516218295e-006	1.3324508693069008	1.3430627637096262	4.1918938853129595e-011	1.3439008751267929	-0.85641142822640781	0.018300011059741248	50.994377954824969	0.0087318981493305584	5.5146666666890573e-005
               11	                0	                1	C	               -1	               10	               10	47.971252803871536	-0.83811141716666659	                0	                1	-0.13968523619444442	-0.13968523619444442	-0.13968523619444442	-6.6987834643409681	-6.6987834643409681	-6.6987834643409681	                0	               60	               25	-16642.905241705153	2.5149999828499859e-006	1.3325348001075428	1.343146694508307	4.6111344653677188e-011	1.3439848059254738	-0.85641142822327343	0.018300011056606915	51.10486281425969	0.0087508578877894729	5.6858333330940998e-005
               12	                0	                1	C	               -1	               10	               10	47.971252803871536	-0.83811141716666659	                0	                1	-0.13968523619444442	-0.13968523619444442	-0.13968523619444442	-6.6987834643409681	-6.6987834643409681	-6.6987834643409681	                0	                0	               25	                0	2.5149999828499859e-006	1.3325348001075428	1.343146694508307	4.6111344653677188e-011	1.3439848059254738	-0.85641142822327343	0.018300011056606915	51.10486281425969	0.0087508578877894729	5.8434999997795484e-005
               13	                0	                2	D	                1	               10	                0	47.92702395320228	0.47435794166666662	                0	                1	                0	-0.13968523619444442	-0.13968523619444442	                0	-6.6987834643409681	-6.6987834643409681	                0	1.0000000000000001e-009	               25	                0	3.149999974993989e-006	1.3313062209222855	1.3432305846818831	4.6111344653677188e-011	1.3427562267402164	0.45605793061005973	0.018300011056606919	51.10486281425969	0.0087698175720221268	6.1525000000983715e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.927023953080877	0.47435794166666662	                0	                1	1.317660949074074e-013	-0.13968523619431267	-0.13968523619431267	6.3151567868392411e-012	-6.6987834643346531	-6.6987834643346531	                0	1.0000000000000001e-009	               25	                0	3.2383333139781219e-006	1.3313062209189133	1.3432305846795551	4.3783404031165461e-011	1.3427562267378885	0.45605793060839067	0.018300011058275934	51.104862814258524	0.0087698175720221094	6.3263333330117652e-005
