Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_5sd40cap_8_norm_5sd40cap_8____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:52 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |2.8573557A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |0.6397998A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |5.7167207A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |6.4033136A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |7.1115094A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |3.5192945A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |9.9228973A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |3.4250994A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |8.3931049A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |3.3559995A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |0.0411624A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |0.3134434A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |3.4759260A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |7.2204981A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |3.0012193A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |1.9025599A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |5.6036091A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |0.3507857A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |11.074915A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |7.0694361A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |3.1129939A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |1.5293201A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |4.5981741A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |3.9100551A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |1.3355916A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |0.5276332A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |4.2525428A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |0.1398945A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |9.7427215A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |1.4661872A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |0.7563416A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |0.2131397A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |7.5189624A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |3.5514541A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |0.9490998A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |6.6904322A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |0.6713017A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |2.3617113A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |10.355751A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |0.0270794A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |3.9958724A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |1.9904030A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |0.8131683A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |0.8862235A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |2.7189375A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |0.4279417A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |4.1486671A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |3.0209545A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |9.1852659A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |6.5858152A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.896683880432519	0.47622594983333338	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2233333260761961e-006	1.3304634411231255	1.342389672912462	                0	1.3419134469626286	0.45792593874224879	0.018300011091084565	               50	0.008580218289496221	1.3786666666722643e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.896683880310583	0.47622594983333338	                0	                1	1.3228498606481485e-013	1.3228498606481485e-013	1.3228498606481485e-013	6.3360121596657931e-012	6.3360121596657931e-012	6.3360121596657931e-012	                0	1.0000000000000001e-009	               25	                0	1.5716666590985065e-006	1.3304634411197385	1.3423896729101237	-2.3382286576098397e-012	1.3419134469602902	0.45792593874057269	0.018300011092760679	49.999999999998835	0.0085802182894962036	4.323833333425379e-005
                2	                0	                1	D	                1	                1	                1	47.896683880188625	0.47622594983333338	                0	                1	0.0079370991638888898	0.0079370991638888898	0.0079370991638888898	0.38016072957897956	0.38016072957897956	0.38016072957897956	                0	59.999999999000003	               25	0.59656649844484499	1.7183333208474019e-006	1.3304634411163507	1.3423896729077847	-4.6764573151103341e-012	1.3419134469579512	0.45792593873889659	0.018300011094436793	49.936360203050519	0.0085802182894960024	4.6239999998457883e-005
                3	                0	                1	D	                1	                2	                2	47.894934769063909	0.47622594983333338	                0	                1	0.01587419832777778	0.01587419832777778	0.01587419832777778	0.76031451772325243	0.76031451772325243	0.76031451772325243	                0	               60	               25	-16336.044397766314	1.831666653136684e-006	1.3304148546962198	1.3423410864887024	-7.0147405768364427e-012	1.341864860538869	0.45792593873722048	0.018300011096112911	49.872720588115591	0.0085692974225016882	4.8468333337344426e-005
                4	                0	                1	D	                1	                3	                3	47.893185006198479	0.47622594983333338	                0	                1	0.023811297491666668	0.023811297491666668	0.023811297491666668	1.1404544204126144	1.1404544204126144	1.1404544204126144	                0	               60	               25	-16329.959650265386	1.9333333208730135e-006	 1.33036625017218	1.3422924819657114	-9.3530784426319891e-012	1.341816256015878	0.45792593873554438	0.018300011097789025	49.809081155194598	0.0085583765867416652	5.0588333336539412e-005
                5	                0	                1	D	                1	                4	                4	47.89143458098161	0.47622594983333338	                0	                1	0.031748396655555559	0.031748396655555559	0.031748396655555559	1.5205804324320256	1.5205804324320256	1.5205804324320256	                0	               60	               25	-16323.78048181154	2.0366666528085866e-006	1.3303176272494892	1.3422438590440693	-1.1691470912340791e-011	1.3417676330942359	0.45792593873386828	0.018300011099465139	49.745441904287013	0.008547455782216027	5.2684999999049373e-005
                6	                0	                1	D	                1	                5	                5	47.889683482787021	0.47622594983333338	                0	                1	0.039685495819444451	0.039685495819444451	0.039685495819444451	1.9006925484821662	1.9006925484821662	1.9006925484821662	                0	               60	               25	-16317.506966939172	2.1399999847441602e-006	1.3302689856329728	1.3421952174286016	-1.4029917985806671e-011	1.3417189914787682	0.45792593873219212	0.018300011101141253	49.681802835392311	0.0085365350089246853	5.4776666668961598e-005
                7	                0	                1	D	                1	                6	                6	47.887931700972651	0.47622594983333338	                0	                1	0.047622594983333343	0.047622594983333343	0.047622594983333343	2.2807907631793114	2.2807907631793114	2.2807907631793114	                0	               60	               25	-16311.139181606883	2.2433333166797337e-006	1.3302203250270181	1.3421465568236957	-1.6368419662873449e-011	1.3416703308738622	0.45792593873051601	0.018300011102817371	49.618163948509981	0.008525614266867548	5.6855000002542512e-005
                8	                0	                1	D	                1	                7	                7	47.886179224880408	0.47622594983333338	                0	                1	0.055559694147222234	0.055559694147222234	0.055559694147222234	2.6608750710552065	2.6608750710552065	2.6608750710552065	                0	               60	               25	-16304.677203004372	2.3466666486153068e-006	1.330171645135567	1.3420978769332932	-1.8706975943384949e-011	1.3416216509834598	0.45792593872883991	0.018300011104493485	49.554525243639496	0.0085146935560445301	5.8973333337538256e-005
                9	                0	                1	D	                1	                8	                8	47.88442604383588	0.47622594983333338	                0	                1	0.063496793311111119	0.063496793311111119	0.063496793311111119	3.0409454665569369	3.0409454665569369	3.0409454665569369	                0	               60	               25	-16298.121109162166	2.4499999881300028e-006	1.3301229456621078	1.3420491774608827	-2.104558682718499e-011	1.3415729515110493	0.45792593872716381	0.018300011106169599	49.490886720780338	0.0085037728764555381	6.110166666530858e-005
               10	                0	                1	D	                1	                9	                9	47.882672147148078	0.47622594983333338	                0	                1	0.07143389247500001	0.07143389247500001	0.07143389247500001	3.4210019440467989	3.4210019440467989	3.4210019440467989	                0	               60	               25	-16291.470979289328	2.5566666560431866e-006	1.3300742263096688	1.3420004581094924	-2.3384252314117395e-011	1.341524232159659	0.4579259387254877	0.018300011107845713	49.427248379931989	0.0084928522281004833	6.3226666664680431e-005
               11	                0	                1	D	                1	               10	               10	47.880917524109172	0.47622594983333338	                0	                1	0.079370991638888902	0.079370991638888902	0.079370991638888902	3.8010444978021662	3.8010444978021662	3.8010444978021662	                0	               60	               25	-16284.726893713992	2.6616666597571265e-006	1.3300254867808103	1.3419517185816827	-2.5722972404025988e-011	1.3414754926318493	0.45792593872381154	0.018300011109521827	49.363610221093921	0.0084819316109792809	6.530999999843819e-005
               12	                0	                1	D	                1	               10	               10	47.880917524109172	0.47622594983333338	                0	                1	0.079370991638888902	0.079370991638888902	0.079370991638888902	3.8010444978021662	3.8010444978021662	3.8010444978021662	                0	                0	               25	                0	2.6616666597571265e-006	1.3300254867808103	1.3419517185816827	-2.5722972404025988e-011	1.3414754926318493	0.45792593872381154	0.018300011109521827	49.363610221093921	0.0084819316109792809	6.7239999998491834e-005
               13	                0	                2	C	               -1	               10	                0	47.900145097350197	-0.10663330666666666	                0	                1	                0	0.079370991638888902	0.079370991638888902	                0	3.8010444978021662	3.8010444978021662	                0	1.0000000000000001e-009	               25	                0	3.4300000076351958e-006	1.3305595860375055	1.3419029585818778	-2.5722972404025988e-011	1.3420095918885444	-0.12493331777618849	0.018300011109521831	49.363610221093921	0.0084710110250918527	7.099000000228746e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	47.900145097381021	-0.10663330666666666	                0	                1	-2.9620362962962963e-014	0.079370991638859287	0.079370991638859287	-1.4188196837625603e-012	3.8010444978007474	3.8010444978007474	                0	1.0000000000000001e-009	               25	                0	3.5350000037700132e-006	1.3305595860383617	1.341902958582448	-2.515278248061369e-011	1.3420095918891146	-0.1249333177757314	0.018300011109064741	49.363610221094177	0.0084710110250918562	7.3106666665504838e-005
