Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_15sd40cap_1_norm_15sd40cap_1____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:33:51 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |3.1815025A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |18.582070A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |24.401336A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |9.4734610A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |1.3041276A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |13.627280A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |1.4461034A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |3.1910350A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |24.040402A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |13.086423A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |13.650736A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |13.806060A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |15.018188A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |31.649794A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |0.7242303A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |12.559407A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |14.209956A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |24.561581A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |18.555550A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |0.7573071A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |10.471831A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |13.501447A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |13.355967A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |8.6470410A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |0.8043138A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |32.654382A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |21.599367A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |9.6712232A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |12.146823A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |8.9685751A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |10.707782A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |3.0460442A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |14.161331A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |14.776502A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |5.7234128A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |6.7652991A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |4.3817168A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |13.719930A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |19.164039A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |35.374593A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |20.486339A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |2.7829562A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |4.8210065A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |0.7503828A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |10.357329A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |8.6918395A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |1.7705399A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |3.9605287A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.932917029836524	-0.53025042249999998	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	5.958333326816501e-006	1.331469917495459	1.342389672912462	                0	1.342919923334962	-0.54855043359108457	0.018300011091084565	               50	0.008580218289496221	4.8918333330523937e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.932917029977787	-0.53025042249999998	                0	                1	-1.4729178402777778e-013	-1.4729178402777778e-013	-1.4729178402777778e-013	-7.0601248629904769e-012	-7.0601248629904769e-012	-7.0601248629904769e-012	                0	1.0000000000000001e-009	               25	                0	6.7316666597131794e-006	1.3314699174993829	1.3423896729151299	2.6676406826801548e-012	1.3429199233376299	-0.54855043358907696	0.01830001108907699	50.000000000001279	0.00858021828949624	0.00016382000000400392
                2	                0	                1	C	               -1	                1	                1	47.932917030119071	-0.53025042249999998	                0	                1	-0.0088375070416666663	-0.0088375070416666663	-0.0088375070416666663	-0.42360749178067708	-0.42360749178067708	-0.42360749178067708	                0	59.999999999000003	               25	-0.66374064673507138	7.283333328208149e-006	1.3314699175033076	1.3423896729177984	5.3352813652179845e-012	1.3429199233402984	-0.54855043358706934	0.018300011087069412	50.069850052132068	0.0085802182894964604	0.00017457333333368297
                3	                0	                1	C	               -1	                2	                2	47.934836083909147	-0.53025042249999998	                0	                1	-0.017675014083333333	-0.017675014083333333	-0.017675014083333333	-0.84722346338767007	-0.84722346338767007	-0.84722346338767007	                0	               60	               25	-16578.49587881962	7.709999999860884e-006	1.331523224553032	1.3424429799662667	8.0029819804829568e-012	1.3429732303887667	-0.54855043358506184	0.018300011085061837	50.139699904487792	0.0085922048633927574	0.0001824050000019876
                4	                0	                1	C	               -1	                3	                3	47.936754367804298	-0.53025042249999998	                0	                1	-0.026512521125000001	-0.026512521125000001	-0.026512521125000001	-1.2708563912440702	-1.2708563912440702	-1.2708563912440702	                0	               60	               25	-16585.149586265401	8.0933333341211732e-006	1.331576510216786	1.3424962656287647	1.0670742528303651e-011	1.3430265160512647	-0.54855043358305422	0.018300011083054259	50.209549557067852	0.0086041914030067813	0.00018986000000040804
                5	                0	                1	C	               -1	                4	                4	47.938671895785497	-0.53025042249999998	                0	                1	-0.035350028166666665	-0.035350028166666665	-0.035350028166666665	-1.6945062686077041	-1.6945062686077041	-1.6945062686077041	                0	               60	               25	-16591.687663461227	8.4683333322269998e-006	1.3316297748829304	1.342549530293653	1.3338563008508645e-011	1.343079780716153	-0.5485504335810466	0.018300011081046685	50.279399009872826	0.0086161779083384297	0.00019725166666830773
                6	                0	                1	C	               -1	                5	                5	47.940588681812308	-0.53025042249999998	                0	                1	-0.04418753520833333	-0.04418753520833333	-0.04418753520833333	-2.1181730888598609	-2.1181730888598609	-2.1181730888598609	                0	               60	               25	-16598.110015924762	8.8333333299791174e-006	1.3316830189392308	1.3426027743486972	1.6006443420926516e-011	1.3431330247711972	-0.5485504335790391	0.01830001107903911	50.349248262903281	0.0086281643793877996	0.00020456166666917852
                7	                0	                1	C	               -1	                6	                6	47.942504739823256	-0.53025042249999998	                0	                1	-0.053025042249999994	-0.053025042249999994	-0.053025042249999994	-2.5418568455051043	-2.5418568455051043	-2.5418568455051043	                0	               60	               25	-16604.416551172377	9.1983333277312333e-006	1.3317362427728683	1.3426559981810786	1.8674383765385848e-011	1.3431862486035786	-0.54855043357703148	0.018300011077031532	50.419097316159792	0.00864015081615499	0.00021185499999774038
                8	                0	                1	C	               -1	                7	                7	47.944420083736247	-0.53025042249999998	                0	                1	-0.061862549291666659	-0.061862549291666659	-0.061862549291666659	-2.965557532171089	-2.965557532171089	-2.965557532171089	                0	               60	               25	-16610.607178279508	9.5633333254833509e-006	1.3317894467704514	1.3427092021774056	2.1342384041715216e-011	1.3432394525999056	-0.54855043357502387	0.018300011075023957	50.488946169642929	0.0086521372186400998	0.00021915333333405823
                9	                0	                1	C	               -1	                8	                8	47.946334727448971	-0.53025042249999998	                0	                1	-0.07070005633333333	-0.07070005633333333	-0.07070005633333333	-3.3892751426083794	-3.3892751426083794	-3.3892751426083794	                0	               60	               25	-16616.68180799418	9.9249999948369808e-006	1.3318426313180269	1.3427623867237251	2.4010444249743205e-011	1.343292637146225	-0.54855043357301636	0.018300011073016379	50.55879482335326	0.0086641235868432295	0.0002266000000039033
               10	                0	                1	C	               -1	                9	                9	47.948248684839271	-0.53025042249999998	                0	                1	-0.079537563374999995	-0.079537563374999995	-0.079537563374999995	-3.8130096706902736	-3.8130096706902736	-3.8130096706902736	                0	               60	               25	-16622.640353036357	1.0286666664190609e-005	1.3318957968010909	1.3428155522055329	2.6678564389298393e-011	1.3433458026280329	-0.54855043357100874	0.018300011071008804	50.62864327729136	0.0086761099207644694	0.00023403166666563873
               11	                0	                1	C	               -1	               10	               10	47.950161969765624	-0.53025042249999998	                0	                1	-0.08837507041666666	-0.08837507041666666	-0.08837507041666666	-4.2367611104126297	-4.2367611104126297	-4.2367611104126297	                0	               60	               25	-16628.4827271637	1.0648333325965117e-005	1.3319489436046006	1.3428686990077865	2.9346744460209361e-011	1.3433989494302865	-0.54855043356900113	0.018300011069001226	50.698491531457798	0.0086880962204039253	0.00024138166666792433
               12	                0	                1	C	               -1	               10	               10	47.950161969765624	-0.53025042249999998	                0	                1	-0.08837507041666666	-0.08837507041666666	-0.08837507041666666	-4.2367611104126297	-4.2367611104126297	-4.2367611104126297	                0	                0	               25	                0	1.0648333325965117e-005	1.3319489436046006	1.3428686990077865	2.9346744460209361e-011	1.3433989494302865	-0.54855043356900113	0.018300011069001226	50.698491531457798	0.0086880962204039253	0.00024813666666432253
               13	                0	                2	C	               -1	               10	                0	48.044478000956182	-3.0970116733333337	                0	                1	                0	-0.08837507041666666	-0.08837507041666666	                0	-4.2367611104126297	-4.2367611104126297	                0	1.0000000000000001e-009	               25	                0	1.4979999991737714e-005	1.334568833359894	1.3429218275122465	2.9346744460209361e-011	1.3460188391855799	-3.115311684402335	0.018300011069001226	50.698491531457798	0.0087000824857616683	0.00026657500000055735
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	48.044478001766485	-3.0970116733333337	                0	                1	-8.6028102037037051e-013	-0.088375070417526944	-0.088375070417526944	-4.1331752558172945e-011	-4.2367611104539611	-4.2367611104539611	                0	1.0000000000000001e-009	               25	                0	1.5486666658640994e-005	1.3345688333824024	1.3429218275276209	4.4720452641887791e-011	1.3460188392009542	-3.115311684390933	0.018300011057599173	50.698491531465294	0.008700082485761788	0.00027493833333664953
