Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_15sd40cap_3_norm_15sd40cap_3____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:33:59 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |15.555729A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |8.8055602A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |0.8434828A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |0.0700675A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |3.0156258A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |22.550170A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |17.527527A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |10.936071A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |15.859604A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |9.8918536A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |2.8504718A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |23.147126A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |6.1931319A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |16.105615A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |7.2231117A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |12.427854A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |4.6604945A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |3.0580566A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |8.0118607A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |5.3405432A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |26.622988A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |33.072515A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |7.0240413A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |7.6522114A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |9.0858322A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |30.317444A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |2.7909543A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |17.851689A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |14.594325A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |17.831721A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |0.0298544A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |0.5386310A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |2.3765512A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |0.1702352A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |14.472275A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |8.4119158A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |6.5586069A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |22.606147A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |5.6623546A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |24.029806A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |1.6483027A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |2.7768538A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |19.491435A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |1.7731000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |15.162160A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |11.175455A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |23.363872A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |13.005903A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |9.4624993A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	48.007162390006528	-2.5926215383333333	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2533333347164443e-006	1.3335322886112924	1.342389672912462	                0	1.3449822944507954	-2.6109215494244178	0.018300011091084565	               50	0.008580218289496221	1.2386666662678181e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	48.007162390685338	-2.5926215383333333	                0	                1	-7.2017264953703711e-013	-7.2017264953703711e-013	-7.2017264953703711e-013	-3.457344533541023e-011	-3.457344533541023e-011	-3.457344533541023e-011	                0	1.0000000000000001e-009	               25	                0	1.7766666739286545e-006	1.3335322886301482	1.3423896729253388	1.2876377702881459e-011	1.3449822944636722	-2.6109215494148619	0.018300011081528615	50.000000000006267	0.0085802182894963181	4.5211666664120763e-005
                2	                0	                1	C	               -1	                1	                1	48.007162391364304	-2.5926215383333333	                0	                1	-0.043210358972222224	-0.043210358972222224	-0.043210358972222224	-2.0744067201539482	-2.0744067201539482	-2.0744067201539482	                0	59.999999999000003	               25	-3.2402934176628104	1.9233333432566724e-006	1.3335322886490084	1.3423896729382201	2.5752755402446903e-011	1.3449822944765535	-2.610921549405306	0.018300011071972665	50.342083039422974	0.0085802182894973936	4.8993333333176752e-005
                3	                0	                1	C	               -1	                2	                2	 48.0165535822876	-2.5926215383333333	                0	                1	-0.086420717944444447	-0.086420717944444447	-0.086420717944444447	-4.1490163386880523	-4.1490163386880523	-4.1490163386880523	                0	               60	               25	-16564.170994982644	2.0683333408063237e-006	1.3337931550635445	1.3426505393467771	3.8629426613411155e-011	1.3452431608851105	-2.6109215493957501	0.018300011062416716	50.684165100462998	0.008638921232523987	5.1363333333635335e-005
                4	                0	                1	C	               -1	                3	                3	48.025927715030633	-2.5926215383333333	                0	                1	-0.12963107691666667	-0.12963107691666667	-0.12963107691666667	-6.2240313854080824	-6.2240313854080824	-6.2240313854080824	                0	               60	               25	-16594.312942240067	2.1750000087195074e-006	1.3340535476397397	1.3429109319169934	5.1506391334934525e-011	1.3455035534553268	-2.6109215493861941	0.018300011052860766	51.02624618312344	0.008697624007656871	5.3504999997736982e-005
                5	                0	                1	C	               -1	                4	                4	48.035286417445732	-2.5926215383333333	                0	                1	-0.17284143588888889	-0.17284143588888889	-0.17284143588888889	-8.2994511583939872	-8.2994511583939872	-8.2994511583939872	                0	               60	               25	-16621.673112399265	2.2833333408319351e-006	1.3343135115957148	1.3431708958669895	6.438364956617731e-011	1.3457635174053229	-2.6109215493766382	0.018300011043304816	51.368326287407093	0.008756326614895546	5.5609999996401409e-005
                6	                0	                1	C	               -1	                5	                5	48.044631306972271	-2.5926215383333333	                0	                1	-0.21605179486111112	-0.21605179486111112	-0.21605179486111112	-10.375275025840827	-10.375275025840827	-10.375275025840827	                0	               60	               25	-16646.241976241483	2.3850000085682647e-006	1.3345730918603409	1.3434304761256366	7.72612013062998e-011	 1.34602309766397	-2.6109215493670823	0.018300011033748866	51.710405413316757	0.0088150290542404943	5.7713333330866592e-005
                7	                0	                1	C	               -1	                6	                6	48.053963991755481	-2.5926215383333333	                0	                1	-0.25926215383333334	-0.25926215383333334	-0.25926215383333334	-12.451502425632993	-12.451502425632993	-12.451502425632993	                0	               60	               25	-16668.010965060308	2.486666676304594e-006	1.3348323331043188	1.3436897173636355	9.0139046554462322e-011	1.3462823389019689	-2.6109215493575264	0.01830001102419292	52.052483560855229	0.008873731325692193	5.9805000000778817e-005
                8	                0	                1	C	               -1	                7	                7	48.063286071749872	-2.5926215383333333	                0	                1	-0.30247251280555554	-0.30247251280555554	-0.30247251280555554	-14.528132864966452	-14.528132864966452	-14.528132864966452	                0	               60	               25	-16686.972477558862	2.5883333440409237e-006	1.3350912797708299	1.3439486640241676	1.0301718530982518e-010	1.346541285562501	-2.6109215493479705	0.01830001101463697	52.394560730025312	0.008932433429251126	6.1930000000150662e-005
                9	                0	                1	C	               -1	                8	                8	48.072599139808773	-2.5926215383333333	                0	                1	-0.34568287177777779	-0.34568287177777779	-0.34568287177777779	-16.605165920018351	-16.605165920018351	-16.605165920018351	                0	               60	               25	-16703.119886611414	2.6950000043749849e-006	1.3353499761057992	1.3442073603531579	1.158956175715487e-010	1.3467999818914913	-2.6109215493384146	0.01830001100508102	52.736636920829795	0.0089911353649177721	6.4064999999876215e-005
               10	                0	                1	C	               -1	                9	                9	48.081904782761953	-2.5926215383333333	                0	                1	-0.38889323075000004	-0.38889323075000004	-0.38889323075000004	-18.682601235663466	-18.682601235663466	-18.682601235663466	                0	               60	               25	-16716.447545071878	2.8016666722881687e-006	1.335608466187832	1.3444658504292117	1.2877434333879316e-010	1.3470584719675451	-2.6109215493288582	0.018300010995525071	53.078712133271488	0.0090498371326926084	6.6193333335225668e-005
               11	                0	                1	C	               -1	               10	               10	48.091204582483243	-2.5926215383333333	                0	                1	-0.43210358972222229	-0.43210358972222229	-0.43210358972222229	-20.760438525236982	-20.760438525236982	-20.760438525236982	                0	               60	               25	-16726.9507905504	2.9050000042237418e-006	1.3358667939578679	1.3447241781932686	1.4165336261071891e-010	1.347316799731602	-2.6109215493193023	0.018300010985969121	53.42078636735318	0.0091085387325761189	6.8284999997558771e-005
               12	                0	                1	C	               -1	               10	               10	48.091204582483243	-2.5926215383333333	                0	                1	-0.43210358972222229	-0.43210358972222229	-0.43210358972222229	-20.760438525236982	-20.760438525236982	-20.760438525236982	                0	                0	               25	                0	2.9050000042237418e-006	1.3358667939578679	1.3447241781932686	1.4165336261071891e-010	1.347316799731602	-2.6109215493193023	0.018300010985969121	53.42078636735318	0.0091085387325761189	7.0213333333413172e-005
               13	                0	                2	D	                1	               10	                0	47.954332379792888	1.4675933638333334	                0	                1	                0	-0.43210358972222229	-0.43210358972222229	                0	-20.760438525236982	-20.760438525236982	                0	1.0000000000000001e-009	               25	                0	3.675000008721933e-006	1.3320647883275802	1.3449823874651476	1.4165336261071891e-010	1.3435147941013144	1.4492933528473642	0.018300010985969121	53.42078636735318	0.0091672401645686834	7.3966666665607284e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.954332379410893	1.4675933638333334	                0	                1	4.0766482328703705e-013	-0.43210358972181462	-0.43210358972181462	1.9549294435378246e-011	-20.760438525217431	-20.760438525217431	                0	1.0000000000000001e-009	               25	                0	3.7783333406575065e-006	1.3320647883169692	1.3449823874578555	1.3436123197277948e-010	1.3435147940940222	1.4492933528420597	0.018300010991273565	53.420786367349592	0.0091672401645686279	7.6068333328294102e-005
