Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_15sd40cap_4_norm_15sd40cap_4____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:01 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |10.123366A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |6.2995275A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |9.2962071A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |5.8248797A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |6.5398753A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |5.1930551A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |11.273555A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |11.586850A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |9.2866191A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |19.902701A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |0.6973666A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |22.669545A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |6.3238496A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |16.306743A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |11.397126A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |15.433640A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |14.110448A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |5.7595812A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |10.375296A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |15.736273A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |4.7263997A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |17.018564A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |9.0993895A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |11.751420A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |6.7651272A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |13.934848A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |5.1399735A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |6.4805708A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |0.6075914A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |6.3649759A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |2.9557684A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |23.868142A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |4.4877990A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |2.7042087A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |8.4547273A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |24.110187A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |12.671637A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |10.759611A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |5.9197378A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |17.947988A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |7.8101345A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |5.7852016A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |31.370090A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |10.604136A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |3.8468232A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |26.435666A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |27.625623A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |7.0456831A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |0.5261792A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |5.7068712A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.853087820786527	1.6872276066666665	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2499999911597114e-006	1.3292524394662923	1.342389672912462	                0	1.3407024453057954	1.668927595575582	0.018300011091084565	               50	0.008580218289496221	1.2438333328645967e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.853087820346772	1.6872276066666665	                0	                1	4.6867433518518518e-013	4.6867433518518518e-013	4.6867433518518518e-013	2.2427514120862358e-011	2.2427514120862358e-011	2.2427514120862358e-011	                0	1.0000000000000001e-009	               25	                0	1.6249999892655372e-006	1.329252439454077	1.3423896729040685	-8.3932369404769238e-012	1.3407024452974019	1.6689275955694738	0.018300011097192821	49.999999999995872	0.0085802182894961568	4.4339999999465365e-005
                2	                0	                1	D	                1	                1	                1	47.853087819906918	1.6872276066666665	                0	                1	0.02812046011111111	0.02812046011111111	0.02812046011111111	1.345650847239374	1.345650847239374	1.345650847239374	                0	59.999999999000003	               25	2.1155093852940352	1.7799999871688973e-006	1.3292524394418588	1.3423896728956721	-1.6786473879544923e-011	1.3407024452890055	1.6689275955633653	0.018300011103301077	49.774893315472198	0.008580218289495449	4.7511666662103383e-005
                3	                0	                1	D	                1	                2	                2	47.846897892745645	1.6872276066666665	                0	                1	0.056240920222222213	0.056240920222222213	0.056240920222222213	2.6912146626726487	2.6912146626726487	2.6912146626726487	                0	               60	               25	-16354.57958752121	1.9016666556126439e-006	1.3290804970207124	1.3422177304783476	-2.5179903963653028e-011	1.340530502871681	1.6689275955572571	0.01830001110940933	49.549787274766274	0.0085415889996626904	4.9779999994825633e-005
                4	                0	                1	D	                1	                3	                3	47.840699428662532	1.6872276066666665	                0	                1	0.084361380333333319	0.084361380333333319	0.084361380333333319	4.0366042944750093	4.0366042944750093	4.0366042944750093	                0	               60	               25	-16332.055012757664	2.0099999877250715e-006	1.3289083174628482	1.3420455509243052	-3.357352719224873e-011	1.3403583233176386	1.6689275955511489	0.01830001111551759	49.324681877880003	0.0085029598203118697	5.1916666666329545e-005
                5	                0	                1	D	                1	                4	                4	47.834491955161717	1.6872276066666665	                0	                1	0.11248184044444443	0.11248184044444443	0.11248184044444443	5.3818194959408849	5.3818194959408849	5.3818194959408849	                0	               60	               25	-16308.35095577997	2.1183333198374991e-006	1.328735887643381	1.3418731211086599	-4.1967343564779525e-011	1.3401858935019932	1.6689275955450407	0.018300011121625843	49.099577124811546	0.0084643307514433129	5.4011666664640262e-005
                6	                0	                1	D	                1	                5	                5	47.82827499708695	1.6872276066666665	                0	                1	0.14060230055555553	0.14060230055555553	0.14060230055555553	6.7268600070404982	6.7268600070404982	6.7268600070404982	                0	               60	               25	-16283.470980911134	2.223333323551439e-006	1.3285631943635263	1.341700427832627	-5.0361353080692904e-011	1.3400132002259604	1.6689275955389324	0.018300011127734099	48.874473015559062	0.0084257017930567009	5.6093333334198785e-005
                7	                0	                1	D	                1	                6	                6	47.822048076473152	1.6872276066666665	                0	                1	0.16872276066666664	0.16872276066666664	0.16872276066666664	8.0717255543429669	8.0717255543429669	8.0717255543429669	                0	               60	               25	-16257.418823627542	2.3249999837086458e-006	1.3283902243464765	1.341527457819399	-5.8755555739436355e-011	1.3398402302127324	1.6689275955328242	0.018300011133842355	48.64936955012071	0.0083870729451517231	5.8179999996355036e-005
                8	                0	                1	D	                1	                7	                7	47.81581071239566	1.6872276066666665	                0	                1	0.19684322077777774	0.19684322077777774	0.19684322077777774	9.4164158509351985	9.4164158509351985	9.4164158509351985	                0	               60	               25	-16230.198388660045	2.4299999798434632e-006	1.3282169642332127	1.341354197709957	-6.7149951540457375e-011	1.3396669701032904	1.668927595526716	0.018300011139950612	48.424266728494651	0.0083484442077280605	6.0274999994665754e-005
                9	                0	                1	D	                1	                8	                8	47.809562420817215	1.6872276066666665	                0	                1	0.22496368088888885	0.22496368088888885	0.22496368088888885	10.760930596336513	10.760930596336513	10.760930596336513	                0	               60	               25	-16201.813748455861	2.5333333117790363e-006	1.328043400578256	1.3411806340588222	-7.5544540483203463e-011	1.3394934064521555	1.6689275955206075	0.018300011146058864	48.199164550679036	0.0083098155807853989	6.2395000001439863e-005
               10	                0	                1	D	                1	                9	                9	47.803302714432739	1.6872276066666665	                0	                1	0.25308414099999998	0.25308414099999998	0.25308414099999998	12.105269476408933	12.105269476408933	12.105269476408933	                0	               60	               25	-16172.269142056581	2.6383333154929762e-006	1.3278695198453538	1.3410067533297418	-8.3939322567122129e-011	1.3393195257230752	1.6689275955144993	0.018300011152167124	47.974063016672034	0.0082711870643234191	6.4501666664303539e-005
               11	                0	                1	D	                1	               10	               10	47.797031102511433	1.6872276066666665	                0	                1	0.28120460111111112	0.28120460111111112	0.28120460111111112	13.449432163263076	13.449432163263076	13.449432163263076	                0	               60	               25	-16141.568973054722	2.7399999832293059e-006	1.3276953084030954	1.3408325418913052	-9.2334297791660868e-011	1.3391453142846386	1.6689275955083911	0.018300011158275377	47.748962126471795	0.0082325586583418091	6.6571666661729981e-005
               12	                0	                1	D	                1	               10	               10	47.797031102511433	1.6872276066666665	                0	                1	0.28120460111111112	0.28120460111111112	0.28120460111111112	13.449432163263076	13.449432163263076	13.449432163263076	                0	                0	               25	                0	2.7399999832293059e-006	1.3276953084030954	1.3408325418913052	-9.2334297791660868e-011	1.3391453142846386	1.6689275955083911	0.018300011158275377	47.748962126471795	0.0082325586583418091	6.8484999997053822e-005
               13	                0	                2	C	               -1	               10	                0	47.88928444990821	-1.0499212470000001	                0	                1	                0	0.28120460111111112	0.28120460111111112	                0	13.449432163263076	13.449432163263076	                0	1.0000000000000001e-009	               25	                0	3.5016666515730323e-006	1.3302579013863391	1.3406579860208823	-9.2334297791660868e-011	1.3417079072678824	-1.0682212581582755	0.018300011158275377	47.748962126471795	0.0081939303628403137	7.2228333328894218e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	47.889284450184867	-1.0499212470000001	                0	                1	-2.9164479083333339e-013	0.28120460111081946	0.28120460111081946	-1.3966660346591828e-011	13.449432163249108	13.449432163249108	                0	1.0000000000000001e-009	               25	                0	3.6066666477078493e-006	1.3302579013940241	1.340657986026121	-8.7096217958072324e-011	1.3417079072731211	-1.0682212581543657	0.018300011154365626	47.748962126474332	0.0081939303628403536	7.4346666663889968e-005
