Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_15sd40cap_5_norm_15sd40cap_5____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:03 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |7.9035116A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |10.214166A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |8.2761864A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |8.4000447A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |7.6013072A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |1.2291529A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |13.115341A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |17.301441A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |34.486810A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |4.4017321A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |1.7831637A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |0.6540254A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |8.8501627A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |9.9505005A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |7.2879963A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |6.0678326A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |6.4925664A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |8.2097996A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |11.148477A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |4.7685897A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |8.2324721A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |0.4866103A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |18.372258A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |17.696244A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |8.8474368A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |4.6187226A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |25.458361A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |25.722997A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |13.344421A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |7.5268574A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |14.330158A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |3.1487457A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |16.700899A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |6.8493287A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |12.739666A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |2.9802358A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |9.3028588A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |9.7122802A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |0.8994517A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |4.4558888A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |34.570808A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |4.7363837A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |0.0820775A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |7.4789484A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |13.108956A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |31.016849A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |26.887923A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |20.370082A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |2.4403539A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |4.5223953A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.866406945314523	1.3172519253333335	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2550000064948109e-006	1.3296224151476257	1.342389672912462	                0	1.3410724209871288	1.298951914242249	0.018300011091084565	               50	0.008580218289496221	1.3518333328950879e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.866406944971878	1.3172519253333335	                0	                1	3.6590331259259266e-013	3.6590331259259266e-013	3.6590331259259266e-013	1.7514476863132979e-011	1.7514476863132979e-011	1.7514476863132979e-011	                0	1.0000000000000001e-009	               25	                0	1.5733333384559956e-006	1.3296224151381077	1.3423896729059186	-6.543358534362876e-012	1.3410724209805853	1.298951914237495	0.018300011095838585	49.999999999996781	0.0085802182894961707	3.8318333334548997e-005
                2	                0	                1	D	                1	                1	                1	47.866406944629148	1.3172519253333335	                0	                1	0.021954198755555557	0.021954198755555557	0.021954198755555557	1.0508686117804553	1.0508686117804553	1.0508686117804553	                0	59.999999999000003	               25	1.6511603975228164	1.6966666710989861e-006	1.3296224151285874	1.3423896728993727	-1.3086717067869446e-011	1.3410724209740394	1.2989519142327408	0.018300011100592605	49.824223406316818	0.008580218289495619	4.0931666664315953e-005
                3	                0	                1	D	                1	                2	                2	47.861574199483769	1.3172519253333335	                0	                1	0.043908397511111114	0.043908397511111114	0.043908397511111114	2.1016841740334202	2.1016841740334202	2.1016841740334202	                0	               60	               25	-16354.083060965349	1.7966666746360715e-006	1.3294881722078824	1.3422554299816423	-1.9630226420674022e-011	1.340938178056309	1.2989519142279868	0.018300011105346625	49.648447315367775	0.008550054258616456	4.2791666669472764e-005
                4	                0	                1	D	                1	                3	                3	47.856736315041303	1.3172519253333335	                0	                1	0.06586259626666667	0.06586259626666667	0.06586259626666667	3.1523935808243535	3.1523935808243535	3.1523935808243535	                0	               60	               25	-16336.710076462987	1.8883333420186923e-006	1.3293537865289251	1.3421210443056595	-2.6173886592345186e-011	1.3408037923803262	1.2989519142232329	0.018300011110100645	49.472671727151138	0.0085198903140081134	4.455666666369022e-005
                5	                0	                1	D	                1	                4	                4	47.851893066751217	1.3172519253333335	                0	                1	0.087816795022222227	0.087816795022222227	0.087816795022222227	4.2029967168591922	4.2029967168591922	4.2029967168591922	                0	               60	               25	-16318.617338238862	1.9783333376229469e-006	1.3292192518542005	1.3419865096339094	-3.2717697582451531e-011	1.3406692577085761	1.2989519142184789	0.018300011114854665	49.296896641665477	0.0084897264556708461	4.630166666477938e-005
                6	                0	                1	D	                1	                5	                5	47.847044229098742	1.3172519253333335	                0	                1	0.10977099377777778	0.10977099377777778	0.10977099377777778	5.2534934619034619	5.2534934619034619	5.2534934619034619	                0	               60	               25	-16299.806507167097	2.0650000048287135e-006	1.3290845619194096	1.341851819702093	-3.9261659390561646e-011	1.3405345677767597	1.2989519142137249	0.018300011119608686	49.12112205890935	0.0084595626836044095	4.8286666666778427e-005
                7	                0	                1	D	                1	                6	                6	47.842189575562124	1.3172519253333335	                0	                1	0.13172519253333334	0.13172519253333334	0.13172519253333334	6.303883690760637	6.303883690760637	6.303883690760637	                0	               60	               25	-16280.279308057799	2.2000000096037791e-006	1.3289497104322812	1.3417169682179391	-4.5805772016244112e-011	1.3403997162926058	1.2989519142089707	0.018300011124362706	48.945347978881315	0.0084293989978085557	5.0585000000561804e-005
                8	                0	                1	D	                1	                7	                7	47.837328878569366	1.3172519253333335	                0	                1	0.15367939128888891	0.15367939128888891	0.15367939128888891	7.3541672732495611	7.3541672732495611	7.3541672732495611	                0	               60	               25	-16260.037529136616	2.2900000052080334e-006	1.3288146910713712	1.3415819488600036	-5.235003545906752e-011	1.3402646969346703	1.2989519142042167	0.018300011129116726	48.769574401579945	0.0083992353982830382	5.2403333332525413e-005
                9	                0	                1	D	                1	                8	                8	47.832461909454487	1.3172519253333335	                0	                1	0.17563359004444445	0.17563359004444445	0.17563359004444445	8.4043440741809086	8.4043440741809086	8.4043440741809086	                0	               60	               25	-16239.083021583492	2.3766666724138e-006	1.3286794974848468	1.3414467552764537	-5.8894449718600458e-011	1.3401295033511205	1.2989519141994628	0.018300011133870746	48.593801327003789	0.008369071885027609	5.4159999998167525e-005
               10	                0	                1	D	                1	                9	                9	47.827588438413208	1.3172519253333335	                0	                1	     0.1975877888	     0.1975877888	     0.1975877888	9.4544139533326774	9.4544139533326774	9.4544139533326774	                0	               60	               25	-16217.417698918256	2.4650000038188105e-006	1.3285441232892559	1.3413113810838373	-6.5439014794411525e-011	1.339994129158504	1.2989519141947088	0.018300011138624766	48.418028755151418	0.0083389084580420235	5.5903333335057442e-005
               11	                0	                1	D	                1	               10	               10	47.82270823445824	1.3172519253333335	                0	                1	0.21954198755555554	0.21954198755555554	0.21954198755555554	10.504376765424714	10.504376765424714	10.504376765424714	                0	               60	               25	-16195.043536968469	3.2166666718088283e-006	1.3284085620682844	1.3411758198658403	-7.1983730686069301e-011	1.3398585679405071	1.2989519141899548	0.018300011143378786	48.242256686021392	0.0083087451173260336	5.8323333329705442e-005
               12	                0	                1	D	                1	               10	               10	47.82270823445824	1.3172519253333335	                0	                1	0.21954198755555554	0.21954198755555554	0.21954198755555554	10.504376765424714	10.504376765424714	10.504376765424714	                0	                0	               25	                0	3.2166666718088283e-006	1.3284085620682844	1.3411758198658403	-7.1983730686069301e-011	1.3398585679405071	1.2989519141899548	0.018300011143378786	48.242256686021392	0.0083087451173260336	5.995333333430608e-005
               13	                0	                2	D	                1	               10	                0	47.803957141248581	1.7023609383333334	                0	                1	                0	0.21954198755555554	0.21954198755555554	                0	10.504376765424714	10.504376765424714	                0	1.0000000000000001e-009	               25	                0	3.8716666949767385e-006	1.3278876983680161	1.3410400651785721	-7.1983730686069301e-011	1.3393377042402388	1.6840609271899545	0.018300011143378786	48.242256686021392	0.0082785818628794416	7.1119999999306555e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.803957140804805	1.7023609383333334	                0	                1	4.7287803842592598e-013	0.21954198755602841	0.21954198755602841	2.260544148184574e-011	10.50437676544732	10.50437676544732	                0	1.0000000000000001e-009	               25	                0	4.2216666997774155e-006	1.3278876983556891	1.3410400651701015	-8.0454142454791983e-011	1.3393377042317682	1.684060927183791	0.018300011149542404	48.242256686017228	0.0082785818628793775	7.467666666798323e-005
