Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_15sd40cap_7_norm_15sd40cap_7____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:12 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |4.8538383A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |24.129992A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |16.458362A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |29.724386A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |35.968260A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |0.5270292A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |6.7412252A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |7.1204378A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |17.034362A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |23.485369A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |5.3913546A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |10.900935A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |15.197688A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |4.5810659A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |22.606543A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |13.508104A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |29.039280A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |17.676075A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |19.047526A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |0.3245566A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |4.9691602A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |6.5818038A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |21.172264A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |2.9896587A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |14.358213A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |5.8794290A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |25.678561A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |15.378478A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |2.9138816A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |5.5574290A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |5.0870924A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |28.890643A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |26.683444A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |15.329751A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |3.3342841A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |11.300669A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |5.8211253A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |10.201134A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |14.987500A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |4.7628068A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |25.411674A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |2.2394403A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |19.537668A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |18.095031A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |2.9545064A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |1.9151380A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |2.3380464A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |9.4040908A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |6.8354785A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |11.178371A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.88470498458652	0.80897305666666675	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0466666632661752e-006	1.3301306940162922	1.342389672912462	                0	1.3415806998557953	0.79067304557558216	0.018300011091084565	               50	0.008580218289496221	1.1790000000170646e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.884704984377265	0.80897305666666675	                0	                1	2.2471473796296299e-013	2.2471473796296299e-013	2.2471473796296299e-013	1.0760398933021636e-011	1.0760398933021636e-011	1.0760398933021636e-011	                0	1.0000000000000001e-009	               25	                0	1.3866666677131434e-006	1.3301306940104796	1.3423896729084599	-4.0019641915655386e-012	1.3415806998517932	0.79067304557268847	0.018300011093978285	49.999999999998025	0.0085802182894961915	3.7048333327523625e-005
                2	                0	                1	D	                1	                1	                1	47.884704984167961	0.80897305666666675	                0	                1	0.013482884277777779	0.013482884277777779	0.013482884277777779	0.64562393597847656	0.64562393597847656	0.64562393597847656	                0	59.999999999000003	               25	1.0136510899511482	1.50833333615689e-006	1.3301306940046655	1.3423896729044564	-8.0039283828107645e-012	1.3415806998477897	0.79067304556979479	0.018300011096872005	49.891993922139264	0.0085802182894958515	3.9566666661509471e-005
                3	                0	                1	D	                1	                2	                2	47.881736097930045	0.80897305666666675	                0	                1	0.026965768555555561	0.026965768555555561	0.026965768555555561	1.2912278573807523	1.2912278573807523	1.2912278573807523	                0	               60	               25	-16349.020983057597	1.6083333321148529e-006	1.3300482249425012	1.3423072038441026	-1.2005985245308109e-011	1.3414982307874359	0.7906730455669011	0.018300011099765725	49.783988153183948	0.0085616839750034431	4.1411666666135714e-005
                4	                0	                1	D	                1	                3	                3	47.878765307240755	0.80897305666666675	                0	                1	0.040448652833333341	0.040448652833333341	0.040448652833333341	1.9367917367946994	1.9367917367946994	1.9367917367946994	                0	               60	               25	-16338.54030006008	1.6966666635198636e-006	1.3299657029789098	1.3422246818823218	-1.6008134778792502e-011	1.3414157088256551	0.7906730455640073	0.018300011102659445	49.675982693132987	0.0085431497135202115	4.3166666667578584e-005
                5	                0	                1	D	                1	                4	                4	47.875792560139864	0.80897305666666675	                0	                1	0.053931537111111122	0.053931537111111122	0.053931537111111122	2.5823155481925335	2.5823155481925335	2.5823155481925335	                0	               60	               25	-16327.78764983065	1.7833333307256302e-006	1.3298831266705518	1.3421421055757743	-2.0010376982998878e-011	1.3413331325191076	0.79067304556111362	0.018300011105553168	49.567977541985506	0.0085246155050463183	4.4898333332336433e-005
                6	                0	                1	D	                1	                5	                5	47.872817804534684	0.80897305666666675	                0	                1	0.067414421388888895	0.067414421388888895	0.067414421388888895	3.2277992648450038	3.2277992648450038	3.2277992648450038	                0	               60	               25	-16316.76340586613	1.8666666695329088e-006	1.3298004945704078	1.3420594734774409	-2.4012711857662164e-011	1.3412505004207742	0.79067304555821993	0.018300011108446888	49.459972699740611	0.0085060813495816089	4.6618333332541324e-005
                7	                0	                1	D	                1	                6	                6	47.869840988196366	0.80897305666666675	                0	                1	0.080897305666666669	0.080897305666666669	0.080897305666666669	3.873242859319582	3.873242859319582	3.873242859319582	                0	               60	               25	-16305.467950845583	1.9500000083401875e-006	1.3297178052276768	1.3419767841365204	-2.8015139402517294e-011	1.3411678110798537	0.79067304555532614	0.018300011111340608	49.351968166397427	0.0084875472471259341	4.8333333332569357e-005
                8	                0	                1	D	                1	                7	                7	47.866862058756219	0.80897305666666675	                0	                1	0.094380189944444443	0.094380189944444443	0.094380189944444443	4.5186463034786009	4.5186463034786009	4.5186463034786009	                0	               60	               25	-16293.901676841506	2.0333333471474663e-006	1.3296350571876727	1.3418940360983269	-3.2017659617299205e-011	1.3410850630416602	0.79067304555243245	0.018300011114234328	49.243963941955066	0.0084690131976791396	5.0069999997504058e-005
                9	                0	                1	D	                1	                8	                8	47.863880963701931	0.80897305666666675	                0	                1	0.10786307422222222	0.10786307422222222	0.10786307422222222	5.1640095684773435	5.1640095684773435	5.1640095684773435	                0	               60	               25	-16282.064984872113	2.1216666785524768e-006	1.3295522489917202	1.3418112279041849	-3.6020272501742832e-011	1.3410022548475182	0.79067304554953877	0.018300011117128048	49.135960026412647	0.0084504792012410762	5.1819999998770069e-005
               10	                0	                1	D	                1	                9	                9	47.860897650373744	0.80897305666666675	                0	                1	0.12134595849999999	0.12134595849999999	0.12134595849999999	5.8093326247620833	5.8093326247620833	5.8093326247620833	                0	               60	               25	-16269.958284770213	2.2066666815589995e-006	1.3294693791770484	1.3417283580913237	-4.00229780555831e-011	1.340919385034657	0.79067304554664497	0.018300011120021768	49.027956419769282	0.0084319452578115895	5.3549999999328669e-005
               11	                0	                1	D	                1	               10	               10	47.857912065960733	0.80897305666666675	                0	                1	0.13482884277777776	0.13482884277777776	0.13482884277777776	6.4546154420680679	6.4546154420680679	6.4546154420680679	                0	               60	               25	-16257.581995829963	2.2916666845655223e-006	1.3293864462766871	1.341645425192773	-4.4025776278554958e-011	1.3408364521361062	0.79067304554375129	0.018300011122915488	48.91995312202409	0.008413411367390532	5.5259999999179851e-005
               12	                0	                1	D	                1	               10	               10	47.857912065960733	0.80897305666666675	                0	                1	0.13482884277777776	0.13482884277777776	0.13482884277777776	6.4546154420680679	6.4546154420680679	6.4546154420680679	                0	                0	               25	                0	2.2916666845655223e-006	1.3293864462766871	1.341645425192773	-4.4025776278554958e-011	1.3408364521361062	0.79067304554375129	0.018300011122915488	48.91995312202409	0.008413411367390532	5.6839999994432823e-005
               13	                0	                2	C	               -1	               10	                0	48.028827139506198	-4.0216653266666667	                0	                1	                0	0.13482884277777776	0.13482884277777776	                0	6.4546154420680679	6.4546154420680679	                0	1.0000000000000001e-009	               25	                0	2.9200000274916723e-006	1.3341340872085055	1.3415624277412579	-4.4025776278554958e-011	1.3455840930679246	-4.0399653377895826	0.018300011122915488	48.91995312202409	0.0083948775299777772	5.9923333333244953e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	48.028827140557453	-4.0216653266666667	                0	                1	-1.1171292574074075e-012	0.13482884277666063	0.13482884277666063	-5.3654407997092488e-011	6.454615442014414	6.454615442014414	                0	1.0000000000000001e-009	               25	                0	3.0050000304981951e-006	1.334134087237707	1.3415624277612079	-2.4076558514298896e-011	1.3455840930878746	-4.0399653377747962	0.018300011108129267	48.919953122033817	0.0083948775299779281	6.1656666662202039e-005
