Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_25sd40cap_1_norm_25sd40cap_1____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:11:20 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |10.160188A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |24.814955A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |20.239346A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |10.363071A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |30.142264A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |21.484591A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |25.973801A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |29.117315A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |21.589439A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |6.6186214A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |6.5164666A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |23.896496A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |11.523986A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |0.0512072A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |18.947564A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |7.3260843A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |20.079539A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |13.782818A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |17.125055A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |11.901628A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |34.888205A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |9.8526531A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |8.4289578A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |20.746503A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |3.3729124A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |20.604888A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |12.803682A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |9.5308193A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |22.788179A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |7.7302954A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |20.244793A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |24.662359A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |10.484232A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |26.310362A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |6.5841104A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |3.8749160A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |11.101988A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |24.214128A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |15.978012A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |2.6402209A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |18.708236A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |39.031992A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |24.159415A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |12.591116A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |3.0631423A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.852866885126524	1.6933647083333332	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.311666661270768e-006	1.3292463023646257	1.342389672912462	                0	1.3406963082041288	1.6750646972422487	0.018300011091084565	               50	0.008580218289496221	1.2381666666290888e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.85286688468517	1.6933647083333332	                0	                1	4.7037908564814813e-013	4.7037908564814813e-013	4.7037908564814813e-013	2.250898777096456e-011	2.250898777096456e-011	2.250898777096456e-011	                0	1.0000000000000001e-009	               25	                0	1.6533333261274188e-006	1.3292463023523657	1.3423896729040379	-8.4239224487999363e-012	1.3406963081957046	1.6750646972361181	0.018300011097215178	49.999999999995858	0.0085802182894961568	4.1598333333089006e-005
                2	                0	                1	D	                1	                1	                1	47.852866884243703	1.6933647083333332	                0	                1	0.02822274513888889	0.02822274513888889	0.02822274513888889	1.3505392662454156	1.3505392662454156	1.3505392662454156	                0	59.999999999000003	               25	2.1232141168068788	1.8033333238539246e-006	1.3292463023401029	1.3423896728956108	-1.6847844896180628e-011	1.3406963081872776	1.6750646972299874	0.018300011103345792	49.774075035249979	0.0085802182894954455	4.4618333333801274e-005
                3	                0	                1	D	                1	                2	                2	47.846654440898646	1.6933647083333332	                0	                1	0.056445490277777774	0.056445490277777774	0.056445490277777774	2.7009908663819928	2.7009908663819928	2.7009908663819928	                0	               60	               25	-16354.576912295166	1.9216666601096221e-006	1.3290737344694068	1.3422171050287506	-2.5271961190693396e-011	1.3405237403204173	1.6750646972238568	0.018300011109476405	49.548150716662171	0.0085414485792041188	4.6848333333097496e-005
                4	                0	                1	D	                1	                3	                3	47.840433396662448	1.6933647083333332	                0	                1	0.084668235416666654	0.084668235416666654	0.084668235416666654	4.051267012942974	4.051267012942974	4.051267012942974	                0	               60	               25	-16331.96592764981	2.0299999922220497e-006	1.3289009276850681	1.3420442982482477	-3.369627133178373e-011	1.3403509335399144	1.6750646972177261	0.018300011115607018	49.322227044234353	0.0085026789797963357	4.89816666686238e-005
                5	                0	                1	D	                1	                4	                4	47.83420327385312	1.6933647083333332	                0	                1	0.11289098055555555	0.11289098055555555	0.11289098055555555	5.4013674564468506	5.4013674564468506	5.4013674564468506	                0	               60	               25	-16308.166886836432	2.1333333241576232e-006	1.3287278687181423	1.3418712392851577	-4.21207753188971e-011	1.3401778745768245	1.6750646972115955	0.018300011121737632	49.096304017964677	0.0084639094912724311	5.1075000002735274e-005
                6	                0	                1	D	                1	                5	                5	47.827963592088295	1.6933647083333332	                0	                1	0.14111372569444444	0.14111372569444444	0.14111372569444444	6.7512919338925137	6.7512919338925137	6.7512919338925137	                0	               60	               25	-16283.183394506146	2.2366666560931964e-006	1.3285545442246749	1.3416979147955261	-5.0545473151478994e-011	1.3400045500871929	1.6750646972054648	0.018300011127868245	48.870381637851295	0.0084251401136320823	5.3155000000515432e-005
                7	                0	                1	D	                1	                6	                6	47.82171386813399	1.6933647083333332	                0	                1	0.16933647083333334	0.16933647083333334	0.16933647083333334	8.1010401686809033	8.1010401686809033	8.1010401686809033	                0	               60	               25	-16257.019228827729	2.3383333200399646e-006	1.3283809407814997	1.3415243113561868	-5.8970364828974917e-011	1.3398309466478535	1.6750646971993344	0.018300011133998859	48.644459903892361	0.0083863708468749753	5.5225000001731438e-005
                8	                0	                1	D	                1	                7	                7	47.815453615751082	1.6933647083333332	                0	                1	0.19755921597222223	0.19755921597222223	0.19755921597222223	9.450611870532363	9.450611870532363	9.450611870532363	                0	               60	               25	-16229.678339708709	2.4399999877762943e-006	1.3282070448819745	1.3413504154604974	-6.7395450350830321e-011	1.3396570507521641	1.6750646971932037	0.018300011140129472	48.418538816086027	0.0083476016910007927	5.7323333336019763e-005
                9	                0	                1	D	                1	                8	                8	47.80918234553954	1.6933647083333332	                0	                1	0.22578196111111112	0.22578196111111112	0.22578196111111112	10.800006735399631	10.800006735399631	10.800006735399631	                0	               60	               25	-16201.164847435057	2.5449999877006727e-006	1.3280328429316539	1.3411762135140126	-7.5820729716490719e-011	1.3394828488056794	1.6750646971870731	0.018300011146260085	48.192618374430438	0.008308832646009217	5.9439999999237142e-005
               10	                0	                1	D	                1	                9	                9	47.802899564780162	1.6933647083333332	                0	                1	0.25400470624999999	0.25400470624999999	0.25400470624999999	12.149224445376392	12.149224445376392	12.149224445376392	                0	               60	               25	-16171.483040904846	2.6466666554370024e-006	1.3278583212438935	1.341001691830088	-8.4246202925401601e-011	1.3393083271217547	1.6750646971809424	0.018300011152390699	47.966698578923754	0.008270063711899929	6.1546666665890376e-005
               11	                0	                1	D	                1	               10	               10	47.796604777273842	1.6933647083333332	                0	                1	0.28222745138888888	0.28222745138888888	0.28222745138888888	13.498264668601339	13.498264668601339	13.498264668601339	                0	               60	               25	-16140.637376239994	2.7483333231733316e-006	1.3276834660353845	1.3408268366254148	-9.2671869977008459e-011	1.3391334719170815	1.6750646971748118	0.018300011158521312	47.740779429564121	0.0082312948886726165	6.3613333334918332e-005
               12	                0	                1	D	                1	               10	               10	47.796604777273842	1.6933647083333332	                0	                1	0.28222745138888888	0.28222745138888888	0.28222745138888888	13.498264668601339	13.498264668601339	13.498264668601339	                0	                0	               25	                0	2.7483333231733316e-006	1.3276834660353845	1.3408268366254148	-9.2671869977008459e-011	1.3391334719170815	1.6750646971748118	0.018300011158521312	47.740779429564121	0.0082312948886726165	6.5525000002253359e-005
               13	                0	                2	C	               -1	               10	                0	48.000148342339557	-4.1358258116666669	                0	                1	                0	0.28222745138888888	0.28222745138888888	                0	13.498264668601339	13.498264668601339	                0	1.0000000000000001e-009	               25	                0	3.5233333278483769e-006	1.3333374539538765	1.340651634023907	-9.2671869977008459e-011	1.3447874598355736	-4.1541258228251881	0.018300011158521312	47.740779429564121	0.008192526176327021	6.9286666666812385e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	48.000148343420527	-4.1358258116666669	                0	                1	-1.1488405032407408e-012	0.28222745138774002	0.28222745138774002	-5.5144514577864516e-011	13.498264668546193	13.498264668546193	                0	1.0000000000000001e-009	               25	                0	3.6249999955847065e-006	1.3333374539839036	1.340651634044421	-7.2158569548772615e-011	1.3447874598560876	-4.1541258228099842	0.018300011143317037	47.740779429574125	0.0081925261763271771	7.1398333333642464e-005
