Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_25sd40cap_2_norm_25sd40cap_2____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:11:24 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |6.5275958A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |39.974267A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |39.447965A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |24.523187A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |2.4642329A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |24.662012A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |21.290802A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |1.2166299A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |0.5918732A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |19.339783A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |13.494289A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |1.9707633A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |17.508250A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |0.4546789A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |14.019924A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |0.9098732A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |8.9457208A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |9.9530446A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |21.430989A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |9.4573359A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |12.862559A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |5.5001128A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |37.842102A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |7.6267499A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |33.362221A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |2.1290761A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |16.101674A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |15.932844A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |20.049130A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |1.6023000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |35.804398A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |36.905503A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |12.800286A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |37.152787A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |23.606122A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |15.518294A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |20.162876A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |14.241858A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |3.9722579A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |0.2959969A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.874662439610518	1.0879326393333333	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2550000064948109e-006	1.3298517344336256	1.342389672912462	                0	1.3413017402731287	1.0696326282422488	0.018300011091084565	               50	0.008580218289496221	1.2820000006286136e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.874662439328063	1.0879326393333333	                0	                1	3.0220351092592591e-013	3.0220351092592591e-013	3.0220351092592591e-013	1.4467891073601172e-011	1.4467891073601172e-011	1.4467891073601172e-011	                0	1.0000000000000001e-009	               25	                0	1.6033333395171211e-006	1.3298517344257794	1.3423896729070652	-5.3967621046366847e-012	1.3413017402677319	1.0696326282383342	0.018300011094999284	49.999999999997335	0.0085802182894961793	4.2326666668183556e-005
                2	                0	                1	D	                1	                1	                1	47.874662439045522	1.0879326393333333	                0	                1	0.018132210655555554	0.018132210655555554	0.018132210655555554	0.86807346441094801	0.86807346441094801	0.86807346441094801	                0	59.999999999000003	               25	1.3634761068450778	1.7483333370667726e-006	1.3298517344179313	1.3423896729016664	-1.0793524208690869e-011	1.3413017402623331	1.0696326282344193	0.018300011098914003	49.854799311116913	0.0085802182894957231	4.5313333339436211e-005
                3	                0	                1	D	                1	                2	                2	47.870670701922471	1.0879326393333333	                0	                1	0.036264421311111114	0.036264421311111114	0.036264421311111114	1.7361107393101363	1.7361107393101363	1.7361107393101363	                0	               60	               25	-16352.769821199669	1.8666666695329088e-006	1.3297408528311798	1.3422787913173644	-1.6190410897523136e-011	1.341190858678031	1.0696326282305046	0.018300011102828726	49.709599037518608	0.0085553012173681386	4.7543333334942875e-005
                4	                0	                1	D	                1	                3	                3	47.866675486529765	1.0879326393333333	                0	                1	0.054396631966666671	0.054396631966666671	0.054396631966666671	2.6040756036565686	2.6040756036565686	2.6040756036565686	                0	               60	               25	-16338.532955988268	1.976666673423703e-006	1.3296298746258268	1.3421678131144608	-2.1587422170777129e-011	1.3410798804751274	 1.06963262822659	0.018300011106743445	49.564399179203647	0.0085303842165047761	4.9686666670822888e-005
                5	                0	                1	D	                1	                4	                4	47.862676666439988	1.0879326393333333	                0	                1	0.072528842622222228	0.072528842622222228	0.072528842622222228	3.4719679932353227	3.4719679932353227	3.4719679932353227	                0	               60	               25	-16323.804746025748	2.0800000053592766e-006	1.3295187962899997	1.342056734781083	-2.698455802809648e-011	1.3409688021417496	1.0696326282226751	0.018300011110658165	49.419199736170846	0.0085054672869058507	5.1785000005111213e-005
                6	                0	                1	D	                1	                5	                5	47.85867411478403	1.0879326393333333	                0	                1	0.090661053277777792	0.090661053277777792	0.090661053277777792	4.3397878415350633	4.3397878415350633	4.3397878415350633	                0	               60	               25	-16308.586114768072	2.1833333448739722e-006	1.3294076142995563	1.341945552793089	-3.2381818469124833e-011	1.3408576201537556	1.0696326282187605	0.018300011114572887	49.274000708419017	0.0084805504285711576	5.3881666667621174e-005
                7	                0	                1	D	                1	                6	                6	 47.8546677042347	1.0879326393333333	                0	                1	0.10879326393333336	0.10879326393333336	0.10879326393333336	5.2075350797398841	5.2075350797398841	5.2075350797398841	                0	               60	               25	-16292.87801543842	2.2883333410087896e-006	1.3292963251176306	1.3418342636136127	-3.7779203493505824e-011	1.3407463309742793	1.0696326282148458	0.018300011118487607	49.128802095946973	0.0084556336415004905	5.5966666673157305e-005
                8	                0	                1	D	                1	                7	                7	47.850657306990271	1.0879326393333333	                0	                1	0.12692547458888892	0.12692547458888892	0.12692547458888892	6.0752096367208548	6.0752096367208548	6.0752096367208548	                0	               60	               25	-16276.681431168699	2.3900000087451188e-006	1.3291849251941743	1.3417228636926057	-4.3176713100883085e-011	1.3406349310532724	1.069632628210931	0.018300011122402326	48.983603898753529	0.008430716925693648	5.8063333335667265e-005
                9	                0	                1	D	                1	                8	                8	47.846642794757756	1.0879326393333333	                0	                1	0.14505768524444448	0.14505768524444448	0.14505768524444448	6.9428114390272615	6.9428114390272615	6.9428114390272615	                0	               60	               25	-16259.997374349696	2.4966666766583026e-006	1.3290734109654931	1.3416113494663739	-4.8574347290900269e-011	1.3405234168270406	1.0696326282070163	0.018300011126317049	48.83840611683749	0.0084058002811504273	6.0180000006463766e-005
               10	                0	                1	D	                1	                9	                9	47.842624038736041	1.0879326393333333	                0	                1	0.16318989590000005	0.16318989590000005	0.16318989590000005	7.8103404108775489	7.8103404108775489	7.8103404108775489	                0	               60	               25	-16242.826886551267	2.6033333445714863e-006	1.3289617788537789	1.341499717357109	-5.3972106063201015e-011	1.3404117847177757	1.0696326282031017	0.018300011130231768	48.69320875019767	0.0083808837078706219	6.2281666669150584e-005
               11	                0	                1	D	                1	               10	               10	47.838600909598959	1.0879326393333333	                0	                1	0.18132210655555561	0.18132210655555561	0.18132210655555561	8.6777964741499538	8.6777964741499538	8.6777964741499538	                0	               60	               25	-16225.171038718341	2.7066666765070599e-006	1.3288500252666378	1.3413879637724173	-5.9369989417428965e-011	1.3403000311330839	1.0696326281991868	0.01830001113414649	48.548011798832889	0.0083559672058540289	6.4361666666930742e-005
               12	                0	                1	D	                1	               10	               10	47.838600909598959	1.0879326393333333	                0	                1	0.18132210655555561	0.18132210655555561	0.18132210655555561	8.6777964741499538	8.6777964741499538	8.6777964741499538	                0	                0	               25	                0	2.7066666765070599e-006	1.3288500252666378	1.3413879637724173	-5.9369989417428965e-011	1.3403000311330839	1.0696326281991868	0.01830001113414649	48.548011798832889	0.0083559672058540289	6.62883333385859e-005
               13	                0	                2	D	                1	               10	                0	47.633893251976602	6.6623778000000007	                0	                1	                0	0.18132210655555561	0.18132210655555561	                0	8.6777964741499538	8.6777964741499538	                0	1.0000000000000001e-009	               25	                0	3.4583333444970777e-006	1.3231637014437945	1.3412760851102405	-5.9369989417428965e-011	1.3346137073102406	6.6440777888658538	0.01830001113414649	48.548011798832889	0.0083310507751004851	7.0005000005342791e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.633893250231104	6.6623778000000007	                0	                1	1.8506605000000004e-012	0.18132210655740627	0.18132210655740627	8.815416470103451e-011	8.6777964742381073	8.6777964742381073	                0	1.0000000000000001e-009	               25	                0	3.5633333482110176e-006	1.3231637013953084	1.3412760850769694	-9.2640223101910237e-011	1.3346137072769695	6.6440777888415363	0.01830001115846382	48.548011798816603	0.0083310507751002318	7.211000000400721e-005
