Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_25sd40cap_4_norm_25sd40cap_4____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:11:31 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |7.3053485A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |4.9146449A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |12.622321A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |6.6479790A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |14.890525A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |8.4171865A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |31.405523A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |6.8712870A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |34.965777A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |13.395166A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |11.631948A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |10.060776A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |13.283798A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |19.770465A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |10.541478A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |1.9371612A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |23.123063A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |11.968058A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |26.251593A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |30.445687A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |26.497816A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |3.2959452A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |32.154633A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |14.388465A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |7.9388213A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |16.917283A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |2.8901415A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |6.9963256A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |25.960494A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |17.111514A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |10.710495A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |33.707824A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |5.6692434A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |16.821097A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |5.8809235A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |20.923059A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |2.7507879A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |15.257444A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |20.703895A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |2.1135208A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.86999592344052	1.2175580884999999	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0533333428005183e-006	1.3297221089844589	1.342389672912462	                0	1.3411721148239619	1.1992580774089154	0.018300011091084565	               50	0.008580218289496221	1.049666667161849e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.869995923124037	1.2175580884999999	                0	                1	3.382105801388889e-013	3.382105801388889e-013	3.382105801388889e-013	1.6190139092459545e-011	1.6190139092459545e-011	1.6190139092459545e-011	                0	1.0000000000000001e-009	               25	                0	1.3683333463632153e-006	1.3297221089756677	1.3423896729064171	-6.0448893503217047e-012	1.341172114817917	1.1992580774045263	0.018300011095473766	49.999999999997023	0.0085802182894961759	3.4416666668827629e-005
                2	                0	                1	D	                1	                1	                1	47.869995922807476	1.2175580884999999	                0	                1	0.020292634808333335	0.020292634808333335	0.020292634808333335	0.97140834554114963	0.97140834554114963	0.97140834554114963	                0	59.999999999000003	               25	1.5260808759329012	1.4933333507845721e-006	1.3297221089668743	1.3423896729003699	-1.2089778699912599e-011	1.3411721148118698	1.1992580774001369	0.018300011099862967	49.837515917894635	0.0085802182894956641	3.6901666665774734e-005
                3	                0	                1	D	                1	                2	                2	47.865528815003003	1.2175580884999999	                0	                1	0.040585269616666669	0.040585269616666669	0.040585269616666669	1.9427713663854247	1.9427713663854247	1.9427713663854247	                0	               60	               25	-16353.642783559364	1.5900000107649248e-006	1.3295980226389723	1.3422655865752142	-1.8134807463661913e-011	1.3410480284867141	1.1992580773957477	0.018300011104252164	49.675032300505841	0.0085523353116355259	3.8744999998622612e-005
                4	                0	                1	D	                1	                3	                3	47.861057331251047	1.2175580884999999	                0	                1	0.060877904425000004	0.060877904425000004	0.060877904425000004	2.9140436934426219	2.9140436934426219	2.9140436934426219	                0	               60	               25	-16337.638547392082	1.6766666779706914e-006	1.3294738147569736	1.3421413786959617	-2.417997564117086e-011	1.3409238206074616	1.1992580773913586	0.018300011108641365	49.512549147832011	0.0085244524135222686	4.0496666671666995e-005
                5	                0	                1	D	                1	                4	                4	47.856581294276374	1.2175580884999999	                0	                1	0.081170539233333339	0.081170539233333339	0.081170539233333339	3.8852252361145467	3.8852252361145467	3.8852252361145467	                0	               60	               25	-16321.019179101801	1.7650000093757021e-006	1.329349480396566	1.3420170443383004	-3.022528323204066e-011	1.3407994862498003	1.1992580773869694	0.018300011113030566	49.350066459871819	0.0084965695951561299	4.2226666664646473e-005
                6	                0	                1	D	                1	                5	                5	47.852100526104699	1.2175580884999999	                0	                1	0.10146317404166667	0.10146317404166667	0.10146317404166667	4.8563159001985294	4.8563159001985294	4.8563159001985294	                0	               60	               25	-16303.785982905509	1.8466666764046144e-006	1.3292250146140194	1.3418925785585001	-3.6270730235872519e-011	    1.34067502047	1.1992580773825803	0.018300011117419763	49.187584236623941	0.0084686868565368775	4.3950000000828972e-005
                7	                0	                1	D	                1	                6	                6	47.847614848033857	1.2175580884999999	                0	                1	0.12175580885000001	0.12175580885000001	0.12175580885000001	5.8273155878729481	5.8273155878729481	5.8273155878729481	                0	               60	               25	-16285.940309638159	1.9300000076327707e-006	1.3291004124453849	1.3417679763926118	-4.2316316652267658e-011	1.3405504183041117	1.1992580773781909	0.018300011121808964	49.025102478087042	0.0084408041976642891	4.5655000000503303e-005
                8	                0	                1	D	                1	                7	                7	47.843124080604703	1.2175580884999999	                0	                1	0.14204844365833336	0.14204844365833336	0.14204844365833336	6.7982241976821625	6.7982241976821625	6.7982241976821625	                0	               60	               25	-16267.483556539413	2.0133333388609267e-006	1.3289756689056862	1.3416432328556593	-4.8362042480827292e-011	1.3404256747671592	1.1992580773738017	0.018300011126198164	48.862621184259794	0.0084129216185381325	4.7378333336685802e-005
                9	                0	                1	D	                1	                8	                8	47.838628043571724	1.2175580884999999	                0	                1	0.16234107846666668	0.16234107846666668	0.16234107846666668	7.7690416245208551	7.7690416245208551	7.7690416245208551	                0	               60	               25	-16248.41716697262	2.0966666700890831e-006	1.3288507789881034	1.3415183429408228	-5.440790772115265e-011	1.3403007848523227	1.1992580773694126	0.018300011130587362	48.700140355140874	0.008385039119158182	4.9115000001620503e-005
               10	                0	                1	D	                1	                9	                9	47.834126555873269	1.2175580884999999	                0	                1	   0.182633713275	   0.182633713275	   0.182633713275	8.7397677596177701	8.7397677596177701	8.7397677596177701	                0	               60	               25	-16228.742629924129	2.1800000088963619e-006	1.3287257376631463	1.3413933016186119	-6.0453912372844932e-011	1.3401757435301118	1.1992580773650234	0.018300011134976563	48.537659990728947	0.0083571566995242087	5.0846666666378346e-005
               11	                0	                1	D	                1	               10	               10	47.829619435601494	1.2175580884999999	                0	                1	0.20292634808333332	0.20292634808333332	0.20292634808333332	9.7104024905188489	9.7104024905188489	9.7104024905188489	                0	               60	               25	-16208.461479824149	2.2633333401245183e-006	1.3286005398778193	1.3412681038360312	-6.650005643550538e-011	1.3400505457475311	1.1992580773606343	0.018300011139365763	48.375180091022685	0.0083292743596359835	5.2550000001853427e-005
               12	                0	                1	D	                1	               10	               10	47.829619435601494	1.2175580884999999	                0	                1	0.20292634808333332	0.20292634808333332	0.20292634808333332	9.7104024905188489	9.7104024905188489	9.7104024905188489	                0	                0	               25	                0	2.2633333401245183e-006	1.3286005398778193	1.3412681038360312	-6.650005643550538e-011	1.3400505457475311	1.1992580773606343	0.018300011139365763	48.375180091022685	0.0083292743596359835	5.413000000468552e-005
               13	                0	                2	D	                1	               10	                0	47.839450721954591	0.81910748666666666	                0	                1	                0	0.20292634808333332	0.20292634808333332	                0	9.7104024905188489	9.7104024905188489	                0	1.0000000000000001e-009	               25	                0	2.8866666828738139e-006	1.3288736311654052	1.3411427445217836	-6.650005643550538e-011	1.340323637035117	0.80080747552730092	0.018300011139365763	48.375180091022685	0.0083013920994933262	5.718833333503426e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.839450721742622	0.81910748666666666	                0	                1	2.2752985740740744e-013	0.20292634808356086	0.20292634808356086	1.0884903401190908e-011	9.7104024905297344	9.7104024905297344	                0	1.0000000000000001e-009	               25	                0	2.9716666783012141e-006	1.3288736311595173	1.3411427445177295	-7.0554086902620684e-011	1.3403236370310629	0.80080747552436993	0.018300011142296745	48.375180091020674	0.008301392099493295	5.8928333335946569e-005
