Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_25sd40cap_5_norm_25sd40cap_5____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:11:38 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |23.344327A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |25.318451A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |36.128448A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |18.971362A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |19.315114A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |6.7633454A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |7.2957372A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |7.1566417A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |2.8774385A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |32.955595A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |4.0963069A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |37.802043A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |8.1773198A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |8.6605163A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |15.953546A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |16.951983A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |25.655989A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |22.649256A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |8.1775158A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |20.322851A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |27.365807A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |27.359364A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |23.845124A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |11.021859A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |3.8615092A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |4.1669639A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |29.626805A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |34.913737A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |1.7993995A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |3.4167095A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |25.669612A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |22.294523A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |14.570945A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |2.6989122A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |2.8247814A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |22.544968A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |23.006332A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |8.8766884A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |14.253191A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |28.703379A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |20.728317A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |25.366586A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |10.654558A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |16.141620A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.773762051186523	3.8907212066666665	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0949999932563515e-006	1.3270489458662924	1.342389672912462	                0	1.3384989517057955	3.8724211955755821	0.018300011091084565	               50	0.008580218289496221	1.0278333335615268e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.773762050168479	3.8907212066666665	                0	                1	1.0807558907407407e-012	1.0807558907407407e-012	1.0807558907407407e-012	5.1631774759116163e-011	5.1631774759116163e-011	5.1631774759116163e-011	                0	1.0000000000000001e-009	               25	                0	1.4183333253943905e-006	1.3270489458380132	1.3423896728930507	-1.9410704934350346e-011	1.3384989516863841	3.872421195561409	0.018300011105257551	49.999999999990486	0.0085802182894960735	3.6213333335884577e-005
                2	                0	                1	D	                1	                1	                1	47.773762049150186	3.8907212066666665	                0	                1	0.064845353444444448	0.064845353444444448	0.064845353444444448	3.0979064854809457	3.0979064854809457	3.0979064854809457	                0	59.999999999000003	               25	4.8864326857060201	1.5433333298157474e-006	1.3270489458097274	1.3423896728736326	-3.8821409861165186e-011	1.3384989516669661	3.8724211955472359	0.018300011119430533	49.481094168804553	0.0085802182894944394	3.8743333334423369e-005
                3	                0	                1	D	                1	                2	                2	47.759480365769164	3.8907212066666665	                0	                1	0.1296907068888889	0.1296907068888889	0.1296907068888889	6.1953499205255635	6.1953499205255635	6.1953499205255635	                0	               60	               25	-16345.64120852974	1.6399999973752225e-006	1.3266522323824768	1.3419929594552498	-5.8232560012974153e-011	1.3381022382485832	3.8724211955330627	0.018300011133603519	48.962189821718404	0.0084911717834290842	4.0581666667094396e-005
                4	                0	                1	D	                1	                3	                3	47.745149980792654	3.8907212066666665	                0	                1	0.19453606033333332	0.19453606033333332	0.19453606033333332	9.2918656757274718	9.2918656757274718	9.2918656757274718	                0	               60	               25	-16290.090795372746	1.7333333289570873e-006	1.3262541661331293	1.3415948932147701	-7.7644155388503331e-011	1.3377041720081035	3.8724211955188901	0.018300011147776504	48.443286958736451	0.00840212553204173	4.2339999996935758e-005
                5	                0	                1	D	                1	                4	                4	47.730765039448002	3.8907212066666665	                0	                1	0.25938141377777774	0.25938141377777774	0.25938141377777774	12.387450403187096	12.387450403187096	12.387450403187096	                0	               60	               25	-16228.308952180279	1.8199999961628541e-006	1.3258545844291112	1.3411953115196198	-9.7056195986478828e-011	1.3373045903129532	3.872421195504717	0.018300011161949487	47.924385579854437	0.0083130795353331365	4.4063333333118257e-005
                6	                0	                1	D	                1	                5	                5	47.716319600585919	3.8907212066666665	                0	                1	0.32422676722222216	0.32422676722222216	0.32422676722222216	15.482100372549496	15.482100372549496	15.482100372549496	                0	               60	               25	-16160.344772407903	1.9049999991693766e-006	1.3254533222384977	1.340794049337874	-1.1646868180562674e-010	1.3369033281312075	3.8724211954905439	0.018300011176122472	47.405485685068129	0.0082240337933025716	4.5781666669123905e-005
                7	                0	                1	D	                1	                6	                6	47.701807626517919	3.8907212066666665	                0	                1	0.38907212066666658	0.38907212066666658	0.38907212066666658	18.575811465073755	18.575811465073755	18.575811465073755	                0	               60	               25	-16086.252036155222	1.993333330574387e-006	1.3250502118477199	1.3403909389559641	-1.358816128446731e-010	1.3365002177492975	3.8724211954763708	0.018300011190295458	46.886587274373277	0.0081349883059493085	4.7491666668975087e-005
                8	                0	                1	D	                1	                7	                7	47.687222972460702	3.8907212066666665	                0	                1	0.453917474111111	0.453917474111111	0.453917474111111	21.668579167030604	21.668579167030604	21.668579167030604	                0	               60	               25	-16006.089104629218	2.0766666618025434e-006	1.3246450825683529	1.3399858096854649	-1.5529498910234408e-010	1.3360950884787983	3.8724211954621981	0.01830001120446844	46.367690347765631	0.0080459430732726187	4.9239999998462733e-005
                9	                0	                1	D	                1	                8	                8	47.672559375539535	3.8907212066666665	                0	                1	0.51876282755555547	0.51876282755555547	0.51876282755555547	24.760398562401289	24.760398562401289	24.760398562401289	                0	               60	               25	-15919.918806757365	2.16333332900831e-006	1.3242377604316538	1.3395784875576335	-1.7470881057736574e-010	1.335687766350967	3.872421195448025	0.018300011218641426	45.848794905240958	0.0079568980952717718	5.0991666663927994e-005
               10	                0	                1	D	                1	                9	                9	47.657810443298693	3.8907212066666665	                0	                1	0.58360818099999989	0.58360818099999989	0.58360818099999989	27.851264324847371	27.851264324847371	27.851264324847371	                0	               60	               25	-15827.808317782028	2.2483333244357103e-006	1.3238280678694081	1.3391687950042557	-1.9412307726846419e-010	1.3352780737975891	3.8724211954338519	0.018300011232814408	  45.329900946795	0.0078678533719460444	5.273000000064106e-005
               11	                0	                1	D	                1	               10	               10	47.642969641663555	3.8907212066666665	                0	                1	0.64845353444444431	0.64845353444444431	0.64845353444444431	30.941170708917696	30.941170708917696	30.941170708917696	                0	               60	               25	-15729.829030750036	2.3316666556638666e-006	1.3234158233795432	1.3387565505232586	-2.1353778917436557e-010	1.334865829316592	3.8724211954196792	0.018300011246987394	44.811008472423524	0.007778808903294702	5.4455000001022809e-005
               12	                0	                1	D	                1	               10	               10	47.642969641663555	3.8907212066666665	                0	                1	0.64845353444444431	0.64845353444444431	0.64845353444444431	30.941170708917696	30.941170708917696	30.941170708917696	                0	                0	               25	                0	2.3316666556638666e-006	1.3234158233795432	1.3387565505232586	-2.1353778917436557e-010	1.334865829316592	3.8724211954196792	0.018300011246987394	44.811008472423524	0.007778808903294702	5.6044999996629483e-005
               13	                0	                2	C	               -1	               10	                0	47.920006952572294	-4.2197418283333334	                0	                1	                0	0.64845353444444431	0.64845353444444431	                0	30.941170708917696	30.941170708917696	                0	1.0000000000000001e-009	               25	                0	2.9566666701915286e-006	1.3311113042381193	1.3383415683468347	-2.1353778917436557e-010	1.3425613101751681	-4.2380418395803208	0.018300011246987394	44.811008472423524	0.0076897646893171684	5.9134999999817714e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	47.920006953675056	-4.2197418283333334	                0	                1	-1.1721505078703704e-012	0.64845353444327214	0.64845353444327214	-5.6169460487255596e-011	30.941170708861527	30.941170708861527	                0	1.0000000000000001e-009	               25	                0	3.0400000014196849e-006	1.3311113042687515	1.3383415683677617	-1.926116182200565e-010	1.3425613101960951	-4.2380418395648096	0.018300011231476145	44.811008472433734	0.0076897646893173289	6.0880000000906874e-005
