Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_25sd40cap_6_norm_25sd40cap_6____0_NiMH_36s6p____1.out
The present date and time are: Wednesday, December 04, 2019, 02:12:03 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |2.2700487A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |3.7263849A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |23.633322A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |33.711322A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |19.984199A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |6.2995087A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |32.157301A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |5.7667317A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |15.576105A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |8.8789292A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |4.1391254A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |11.083803A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |11.574267A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |0.1185621A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |6.9233649A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |25.428488A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |21.313935A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |12.870711A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |9.1436765A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |29.467449A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |22.455776A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |28.775904A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |9.4455769A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |22.373159A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |27.166992A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |22.811204A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |8.6426861A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |35.526350A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |4.7802751A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |5.0963291A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |38.432327A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |1.4306680A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |38.035511A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |18.630003A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |23.130155A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |1.9246698A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |9.7169012A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |31.999039A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |9.4223808A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |0.8075713A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |15.802790A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |21.829419A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |2.3024672A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |2.3656008A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |12.712808A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |31.526325A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.927448306796521	-0.37834144916666662	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0716666717295689e-006	1.3313180085221257	1.342389672912462	                0	1.3427680143616287	-0.39664146025775121	0.018300011091084565	               50	0.008580218289496221	9.9950000048920625e-006
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.927448306898192	-0.37834144916666662	                0	                1	-1.0509484699074074e-013	-1.0509484699074074e-013	-1.0509484699074074e-013	-5.0369278464647593e-012	-5.0369278464647593e-012	-5.0369278464647593e-012	                0	1.0000000000000001e-009	               25	                0	1.3916666678899977e-006	1.3313180085249499	1.3423896729143778	1.9156912647490837e-012	1.3427680143635445	-0.39664146025629937	0.018300011089632737	50.000000000000917	0.0085802182894962348	3.410166667284405e-005
                2	                0	                1	C	               -1	                1	                1	47.927448306999892	-0.37834144916666662	                0	                1	-0.0063056908194444438	-0.0063056908194444438	-0.0063056908194444438	-0.30221567078852674	-0.30221567078852674	-0.30221567078852674	                0	59.999999999000003	               25	-0.47364271939147257	1.5150000005329882e-006	1.3313180085277747	1.3423896729162943	3.8313825294247705e-012	1.342768014365461	-0.39664146025484753	0.018300011088180908	50.049798067652013	0.0085802182894963944	3.6573333333459837e-005
                3	                0	                1	C	               -1	                2	                2	47.928816533284113	-0.37834144916666662	                0	                1	-0.012611381638888888	-0.012611381638888888	-0.012611381638888888	-0.60443565538333377	-0.60443565538333377	-0.60443565538333377	                0	               60	               25	-16591.17882165618	1.6133333322917072e-006	1.3313560148134476	1.3424276792010588	5.7471165218561368e-012	1.3428060206502255	-0.39664146025339569	0.01830001108672908	50.099595992877845	0.0085887638553132223	3.8416666673886844e-005
                4	                0	                1	C	               -1	                3	                3	47.930184365092394	-0.37834144916666662	                0	                1	-0.01891707245833333	-0.01891707245833333	-0.01891707245833333	-0.90666426634633845	-0.90666426634633845	-0.90666426634633845	                0	               60	               25	-16595.963635710305	1.7016666636967179e-006	1.3313940101414554	1.3424656745281582	7.6628932419209743e-012	1.3428440159773249	-0.39664146025194386	0.018300011085277252	50.149393775677986	0.008597309396689257	4.0180000003905057e-005
                5	                0	                1	C	               -1	                4	                4	47.931551807495168	-0.37834144916666662	                0	                1	-0.025222763277777775	-0.025222763277777775	-0.025222763277777775	-1.2089015012060838	-1.2089015012060838	-1.2089015012060838	                0	               60	               25	-16600.689655336282	1.7866666591241179e-006	1.3314319946526436	1.342503659038438	9.5787126894970737e-012	1.3428820004876048	-0.39664146025049202	0.01830001108382542	50.199191416052841	0.0086058549136244188	4.192666666919346e-005
                6	                0	                1	C	               -1	                5	                5	47.932918865557269	-0.37834144916666662	                0	                1	-0.031528454097222221	-0.031528454097222221	-0.031528454097222221	-1.5111473575230676	-1.5111473575230676	-1.5111473575230676	                0	               60	               25	-16605.356845715654	1.8716666621306406e-006	1.3314699684877018	1.3425416328725879	1.1494574864462227e-011	1.3429199743217546	-0.39664146024904018	0.018300011082373596	50.248988914002823	0.0086144004061187805	4.3655000005552817e-005
                7	                0	                1	C	               -1	                6	                6	47.934285544337946	-0.37834144916666662	                0	                1	-0.037834144916666666	-0.037834144916666666	-0.037834144916666666	-1.8134018328897077	-1.8134018328897077	-1.8134018328897077	                0	               60	               25	-16609.965173202898	1.9550000009379195e-006	1.3315079317871652	1.3425795961711429	1.3410479766694225e-011	1.3429579376203096	-0.3966414602475884	0.018300011080921764	50.298786269528335	0.0086229458741724115	4.537000000558085e-005
                8	                0	                1	C	               -1	                7	                7	47.935651848891013	-0.37834144916666662	                0	                1	-0.044139835736111112	-0.044139835736111112	-0.044139835736111112	-2.1156649249303063	-2.1156649249303063	-2.1156649249303063	                0	               60	               25	-16614.514603684012	2.0399999963653197e-006	1.331545884691417	1.3426175490744863	1.5326427396070856e-011	1.342995890523653	-0.39664146024613656	0.018300011079469936	50.348583482629792	0.0086314913177853829	4.7111666670692402e-005
                9	                0	                1	C	               -1	                8	                8	47.937017784264867	-0.37834144916666662	                0	                1	-0.050445526555555557	-0.050445526555555557	-0.050445526555555557	-2.4179366313010169	-2.4179366313010169	-2.4179366313010169	                0	               60	               25	-16619.005104128373	2.1283333277703302e-006	1.3315838273406908	1.3426554917228517	1.7242417752469918e-011	1.3430338331720184	-0.39664146024468472	0.018300011078018107	50.398380553307597	0.0086400367369577642	4.8865000000356913e-005
               10	                0	                1	C	               -1	                9	                9	47.93838335550258	-0.37834144916666662	                0	                1	-0.056751217375000003	-0.056751217375000003	-0.056751217375000003	-2.7202169496898092	-2.7202169496898092	-2.7202169496898092	                0	               60	               25	-16623.436641810273	2.2166666667544631e-006	1.3316217598750717	1.3426934242563242	1.9158450835769198e-011	1.3430717657054909	-0.39664146024323288	0.018300011076566279	50.448177481562155	0.0086485821316896246	5.0620000001799782e-005
               11	                0	                1	C	               -1	               10	               10	47.939748567641971	-0.37834144916666662	                0	                1	-0.063056908194444442	-0.063056908194444442	-0.063056908194444442	-3.0225058778164371	-3.0225058778164371	-3.0225058778164371	                0	               60	               25	-16627.809184393391	2.3016666621818634e-006	1.3316596824344993	1.3427313468148434	2.1074526645846495e-011	1.3431096882640101	-0.39664146024178104	0.018300011075114451	50.497974267393872	0.0086571275019810337	5.235333333833599e-005
               12	                0	                1	C	               -1	               10	               10	47.939748567641971	-0.37834144916666662	                0	                1	-0.063056908194444442	-0.063056908194444442	-0.063056908194444442	-3.0225058778164371	-3.0225058778164371	-3.0225058778164371	                0	                0	               25	                0	2.3016666621818634e-006	1.3316596824344993	1.3427313468148434	2.1074526645846495e-011	1.3431096882640101	-0.39664146024178104	0.018300011075114451	50.497974267393872	0.0086571275019810337	5.3948333334119522e-005
               13	                0	                2	C	               -1	               10	                0	47.949851443060012	-0.62106415599999998	                0	                1	                0	-0.063056908194444442	-0.063056908194444442	                0	-3.0225058778164371	-3.0225058778164371	                0	1.0000000000000001e-009	               25	                0	2.9566666626124061e-006	1.3319403178627782	1.342769259536289	2.1074526645846495e-011	1.3433903236922891	-0.63936416707511445	0.018300011075114451	50.497974267393872	0.0086656728478320486	5.7086666667297926e-005
