Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_25sd40cap_7_norm_25sd40cap_7____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:11:47 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |28.733946A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |8.5978888A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |9.2568986A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |22.377861A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |9.0888030A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |39.685939A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |9.2923062A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |1.1583837A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |3.8649990A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |2.7951378A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |19.293643A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |29.723623A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |3.7948995A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |10.865565A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |36.540826A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |20.578497A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |5.1358261A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |17.467717A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |2.6619078A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |13.341195A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |23.501097A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |0.5024445A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |19.224968A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |13.020114A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |4.7519925A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |9.4360993A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |39.523978A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |26.100001A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |4.5494200A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |15.719764A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |11.863855A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |19.248703A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |7.2907668A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |34.179391A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |15.547354A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |32.547821A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |15.614940A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |17.962797A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |9.4174396A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |39.240003A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	48.086231692666523	-4.7889910566666662	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.3399999867639659e-006	1.3357286581296257	1.342389672912462	                0	1.3471786639691288	-4.8072910677577507	0.018300011091084565	               50	0.008580218289496221	1.2656666672228312e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	48.08623169391781	-4.7889910566666662	                0	                1	-1.3302752935185184e-012	-1.3302752935185184e-012	-1.3302752935185184e-012	-6.3967925979993711e-011	-6.3967925979993711e-011	-6.3967925979993711e-011	                0	1.0000000000000001e-009	               25	                0	1.6866666555870325e-006	1.3357286581643837	1.3423896729362113	2.3748406810667741e-011	1.347178663992878	-4.8072910677401559	0.018300011073489792	50.000000000011582	0.0085802182894964014	4.2131666668865363e-005
                2	                0	                1	C	               -1	                1	                1	48.086231695169388	-4.7889910566666662	                0	                1	-0.079816517611111096	-0.079816517611111096	-0.079816517611111096	-3.8380755588995079	-3.8380755588995079	-3.8380755588995079	                0	59.999999999000003	               25	-5.9755038659865782	1.8383333175127822e-006	1.3357286581991497	1.3423896729599685	4.7496813610055757e-011	1.3471786640166352	-4.8072910677225611	0.018300011055895019	50.632003815843944	0.0085802182894983894	4.5150000005378388e-005
                3	                0	                1	C	               -1	                2	                2	48.103568669893193	-4.7889910566666662	                0	                1	-0.15963303522222222	-0.15963303522222222	-0.15963303522222222	-7.6768430063231481	-7.6768430063231481	-7.6768430063231481	                0	               60	               25	-16573.794908143645	1.9566666499789184e-006	1.3362102408303664	1.3428712555801765	7.1245762671232971e-011	1.3476602466368433	-4.8072910677049663	0.01830001103830025	51.264005824109937	0.0086886729034911132	4.7381666672663417e-005
                4	                0	                1	C	               -1	                3	                3	48.120852165641786	-4.7889910566666662	                0	                1	-0.23944955283333333	-0.23944955283333333	-0.23944955283333333	-11.516992096442371	-11.516992096442371	-11.516992096442371	                0	               60	               25	-16625.077911300887	2.0666666462905899e-006	1.3366903379344941	1.3433513526732954	9.4995253992647678e-011	1.3481403437299622	-4.8072910676873715	0.018300011020705477	51.896006024804201	0.0087971272072975577	4.9521666672565821e-005
                5	                0	                1	C	               -1	                4	                4	48.138092367520969	-4.7889910566666662	                0	                1	-0.31926607044444444	-0.31926607044444444	-0.31926607044444444	-15.358518967221446	-15.358518967221446	-15.358518967221446	                0	               60	               25	-16666.827071610795	2.1733333066246511e-006	1.3371692324311379	1.3438302471589305	1.1874528757274818e-010	1.3486192382155973	-4.8072910676697767	0.018300011003110708	52.528004417931903	0.0089055812009168032	5.1626666671230241e-005
                6	                0	                1	C	               -1	                5	                5	48.155299361384792	-4.7889910566666662	                0	                1	-0.39908258805555552	-0.39908258805555552	-0.39908258805555552	-19.20142056560336	-19.20142056560336	-19.20142056560336	                0	               60	               25	-16698.992611609996	2.2816666463162012e-006	1.3376472044829109	1.3443082191996947	1.4249586340998276e-010	1.3490972102563614	-4.8072910676521818	0.018300010985515935	53.160001003498216	0.009014034884349733	5.3723333333740202e-005
                7	                0	                1	C	               -1	                6	                6	48.172483157274272	-4.7889910566666662	                0	                1	-0.4788991056666666	-0.4788991056666666	-0.4788991056666666	-23.045694640523276	-23.045694640523276	-23.045694640523276	                0	               60	               25	-16721.536105763076	2.3849999782517748e-006	1.3381245321465076	1.3447855468522827	1.6624698150279972e-010	1.3495745379089494	-4.807291067634587	0.018300010967921162	53.791995781508305	0.0091224882575972385	5.5810000003475582e-005
                8	                0	                1	C	               -1	                7	                7	48.189653712422356	-4.7889910566666662	                0	                1	-0.55871562327777768	-0.55871562327777768	-0.55871562327777768	-26.891339737775496	-26.891339737775496	-26.891339737775496	                0	               60	               25	-16734.430594811718	2.4899999819657142e-006	1.3386014920117322	1.3452625067064985	1.8999864184964736e-010	1.3500514977631652	-4.8072910676169922	0.018300010950326392	54.423988751967343	0.0092309413206602027	5.7930000002670569e-005
                9	                0	                1	C	               -1	                8	                8	48.206820953958008	-4.7889910566666662	                0	                1	-0.63853214088888877	-0.63853214088888877	-0.63853214088888877	-30.738355196704582	-30.738355196704582	-30.738355196704582	                0	               60	               25	-16737.660666290514	2.5933333139012878e-006	1.3390783598321669	1.3457393745159245	2.1375084444897397e-010	1.3505283655725913	-4.8072910675993974	0.01830001093273162	55.055979914880503	0.0093393940735395174	6.0043333337489455e-005
               10	                0	                1	C	               -1	                9	                9	48.223994801439332	-4.7889910566666662	                0	                1	-0.71834865849999985	-0.71834865849999985	-0.71834865849999985	-34.586741148701826	-34.586741148701826	-34.586741148701826	                0	               60	               25	-16731.222500518546	2.6983333176152277e-006	1.3395554111510926	1.3462164258238414	2.3750358929922786e-010	1.3510054168805081	-4.8072910675818035	0.018300010915136847	55.68796927025295	0.0094478465162360671	6.2148333336153888e-005
               11	                0	                1	C	               -1	               10	               10	48.241185189343675	-4.7889910566666662	                0	                1	-0.79816517611111093	-0.79816517611111093	-0.79816517611111093	-38.436498517498492	-38.436498517498492	-38.436498517498492	                0	               60	               25	-16715.123881957978	2.8033333137500451e-006	1.3400329219262133	1.3466939365879533	2.6125687639885741e-010	1.3514829276446201	-4.8072910675642087	0.018300010897542077	56.319956818089857	0.0095562986487507384	6.4236666670088505e-005
               12	                0	                1	C	               -1	               10	               10	48.241185189343675	-4.7889910566666662	                0	                1	-0.79816517611111093	-0.79816517611111093	-0.79816517611111093	-38.436498517498492	-38.436498517498492	-38.436498517498492	                0	                0	               25	                0	2.8033333137500451e-006	1.3400329219262133	1.3466939365879533	2.6125687639885741e-010	1.3514829276446201	-4.8072910675642087	0.018300010897542077	56.319956818089857	0.0095562986487507384	6.6163333334164534e-005
               13	                0	                2	D	                1	               10	                0	48.03441107734097	1.4329814724999999	                0	                1	                0	-0.79816517611111093	-0.79816517611111093	                0	-38.436498517498492	-38.436498517498492	                0	1.0000000000000001e-009	               25	                0	3.5766666314884786e-006	1.3342891965928048	1.3471721837837116	2.6125687639885741e-010	1.3457392023112116	1.4146814616024577	0.018300010897542077	56.319956818089857	0.0096647504710842391	6.9906666666004943e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	48.034411076968141	1.4329814724999999	                0	                1	3.980504090277778e-013	-0.79816517611071292	-0.79816517611071292	1.9120116976669791e-011	-38.436498517479372	-38.436498517479372	                0	1.0000000000000001e-009	               25	                0	3.6833332994016623e-006	1.3342891965824484	1.3471721837765949	2.5414029275254064e-010	1.3457392023040948	1.4146814615972798	0.018300010902719828	56.319956818086347	0.0096647504710841853	7.2021666672602194e-005
