Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_30sd40cap_1_norm_30sd40cap_1____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:05:23 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |1.9972938A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |5.4265931A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |39.531246A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |11.942435A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |29.658999A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |9.5125868A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |6.6716720A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |25.128105A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |33.696221A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |0.6908959A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |32.324839A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |2.6464318A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |11.980528A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |9.9791856A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |21.005562A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |20.758800A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |29.274465A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |35.532391A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |6.0394856A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |36.598205A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |11.201396A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |28.529043A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |12.290353A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |13.286107A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |18.727948A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |8.8442843A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |10.659076A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |9.0422915A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |4.0915238A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |16.328164A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |34.102671A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |4.8313130A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |19.765256A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |25.387440A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |8.0806176A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |26.888753A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |38.203826A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |9.9323206A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |0.7504207A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |24.150317A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |28.595796A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |28.213763A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.901844252042522	0.33288229399999997	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	0.00038375833332793263	1.3306067847789589	1.342389672912462	                0	1.3420567906184619	0.31458228290891538	0.018300011091084565	               50	0.008580218289496221	0.00078963833333697646
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.901844251958209	0.33288229399999997	                0	                1	9.246730388888888e-014	9.246730388888888e-014	9.246730388888888e-014	4.4293543892879432e-012	4.4293543892879432e-012	4.4293543892879432e-012	                0	1.0000000000000001e-009	               25	                0	0.00038408833332823631	1.330606784776617	1.3423896729108404	-1.6215103784999329e-012	1.3420567906168404	0.31458228290776413	0.018300011092235807	49.99999999999919	0.0085802182894962088	0.00082208333333634684
                2	                0	                1	D	                1	                1	                1	47.901844251873889	0.33288229399999997	                0	                1	0.0055480382333333335	0.0055480382333333335	0.0055480382333333335	0.26576126335680877	0.26576126335680877	0.26576126335680877	                0	59.999999999000003	               25	0.41695550456568875	0.00038421333332886814	1.3306067847742746	1.3423896729092184	-3.2430207569472808e-012	1.3420567906152183	0.31458228290661294	0.01830001109338705	49.955472690495036	0.00858021828949607	0.00082477000000077776
                3	                0	                1	D	                1	                2	                2	47.900620507367655	0.33288229399999997	                0	                1	0.011096076466666667	0.011096076466666667	0.011096076466666667	0.53151913202272949	0.53151913202272949	0.53151913202272949	                0	               60	               25	-16321.166336808323	0.00038430999999642762	1.3305727918713237	1.3423556800069878	-4.864569340745577e-012	1.3420227977129877	0.3145822829054617	0.018300011094538292	49.910945508341484	0.008572577208788278	0.00082906833333709076
                4	                0	                1	D	                1	                3	                3	47.899396446413689	0.33288229399999997	                0	                1	     0.0166441147	     0.0166441147	     0.0166441147	0.79727021042950974	0.79727021042950974	0.79727021042950974	                0	               60	               25	-16316.946942296601	0.00038448999999521523	1.330538790178158	1.3423216783145424	-6.4861561297855477e-012	1.3419887960205423	0.31458228290431045	0.018300011095689534	49.866418453538913	0.0085649361499344056	0.00083113666667031791
                5	                0	                1	D	                1	                4	                4	47.898172065380777	0.33288229399999997	                0	                1	0.022192152933333334	0.022192152933333334	0.022192152933333334	1.0630144968114124	1.0630144968114124	1.0630144968114124	                0	               60	               25	-16312.6813492775	0.00038458999999496277	1.3305047795939104	1.3422876677310152	-8.1077811239579199e-012	1.3419547854370151	0.3145822829031592	0.018300011096840776	49.821891526086958	0.0085572951129345171	0.00083293166666938612
                6	                0	                1	D	                1	                5	                5	47.896947360634002	0.33288229399999997	                0	                1	0.027740191166666667	0.027740191166666667	0.027740191166666667	1.3287519893825437	1.3287519893825437	1.3287519893825437	                0	               60	               25	-16308.369582619833	0.00038467999999435655	1.3304707600176111	1.3422536481554361	-9.7294443231534193e-012	1.341920765861436	0.31458228290200796	0.018300011097992019	49.777364725985258	0.0085496540977885501	0.00083467833333467447
                7	                0	                1	D	                1	                6	                6	47.89572232853476	0.33288229399999997	                0	                1	0.033288229400000001	0.033288229400000001	0.033288229400000001	1.5944826863368333	1.5944826863368333	1.5944826863368333	                0	               60	               25	-16304.011668229286	0.00038476833332576159	1.3304367313481877	1.3422196194867331	-1.1351145727262773e-011	1.341886737192733	0.31458228290085671	0.018300011099143261	49.732838053233444	0.0085420131044964438	0.00083640833333523308
                8	                0	                1	D	                1	                7	                7	47.894496965440666	0.33288229399999997	                0	                1	0.038836267633333331	0.038836267633333331	0.038836267633333331	1.8602065858480132	1.8602065858480132	1.8602065858480132	                0	               60	               25	-16299.607631629688	0.00038485833332894498	1.3304026934844631	1.3421855816237287	-1.297288533617671e-011	1.3418526993297286	0.31458228289970547	0.018300011100294503	49.688311507831152	0.0085343721330581324	0.00083815000000034463
                9	                0	                1	D	                1	                8	                8	47.893271267705579	0.33288229399999997	                0	                1	0.044384305866666661	0.044384305866666661	0.044384305866666661	2.1259236860695969	2.1259236860695969	2.1259236860695969	                0	               60	               25	-16295.157499477244	0.00038494666666413953	1.3303686463251549	1.3421515344651409	-1.4594663149785957e-011	1.3418186521711408	0.31458228289855422	0.018300011101445746	49.643785089778021	0.0085267311834735567	0.00083991500000214119
               10	                0	                1	D	                1	                9	                9	47.892045231679482	0.33288229399999997	                0	                1	0.049932344099999991	0.049932344099999991	0.049932344099999991	2.3916339851348583	2.3916339851348583	2.3916339851348583	                0	               60	               25	-16290.661297765435	0.00038503499999933413	1.3303345897688745	1.3421174779095808	-1.6216479167981241e-011	1.3417845956155807	0.31458228289740298	0.018300011102596988	49.599258799073688	0.008519090255742651	0.00084167500000376094
               11	                0	                1	D	                1	               10	               10	47.89081885370851	0.33288229399999997	                0	                1	0.055480382333333321	0.055480382333333321	0.055480382333333321	2.6573374811568096	2.6573374811568096	2.6573374811568096	                0	               60	               25	-16286.119053621473	0.00038511999999855104	1.3303005237141252	1.3420834118555518	-1.7838333390653293e-011	1.3417505295615517	0.31458228289625173	0.01830001110374823	49.554732635717784	0.0085114493498653562	0.00084340500000052994
               12	                0	                1	D	                1	               10	               10	47.89081885370851	0.33288229399999997	                0	                1	0.055480382333333321	0.055480382333333321	0.055480382333333321	2.6573374811568096	2.6573374811568096	2.6573374811568096	                0	                0	               25	                0	0.00038511999999855104	1.3303005237141252	1.3420834118555518	-1.7838333390653293e-011	1.3417505295615517	0.31458228289625173	0.01830001110374823	49.554732635717784	0.0085114493498653562	0.00084499333333572701
               13	                0	                2	D	                1	               10	                0	47.869016334197156	0.90443218349999999	                0	                1	                0	0.055480382333333321	0.055480382333333321	                0	2.6573374811568096	2.6573374811568096	                0	1.0000000000000001e-009	               25	                0	0.00038575499999827422	1.3296948981721433	1.3420493362030697	-1.7838333390653293e-011	1.3411449040195698	0.88613217239625175	0.01830001110374823	49.554732635717784	0.0085038084658416203	0.00084810500000003235
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.869016333962833	0.90443218349999999	                0	                1	2.5123116208333336e-013	0.055480382333584551	0.055480382333584551	1.2026188601396983e-011	2.6573374811688359	2.6573374811688359	                0	1.0000000000000001e-009	               25	                0	0.00038584166666547998	1.3296948981656342	1.3420493361985899	-2.2317975263824553e-011	 1.34114490401509	0.88613217239300845	0.018300011106991511	49.554732635715574	0.0085038084658415856	0.00084984500000094456
