Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_30sd40cap_2_norm_30sd40cap_2____0_NiMH_36s6p.out
The present date and time are: Tuesday, December 03, 2019, 11:51:13 AM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |8.5933499A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |1.8421372A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |6.1702003A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |13.562149A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |4.5229097A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |31.882832A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |14.301310A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |13.300082A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |31.400127A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |33.626054A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |34.156139A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |9.1149019A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |31.081028A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |21.601024A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |5.3808406A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |10.053641A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |7.0129575A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |9.9946224A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 |  Charge  |  Current |8.4675370A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |23.351413A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |12.169207A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |19.680355A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |39.818546A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |17.616593A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |16.549979A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |20.980663A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |23.730812A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |27.036862A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |3.0672497A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |28.748163A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |16.602270A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |18.014446A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |19.036128A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |4.3282388A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |33.347640A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |15.931995A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |4.2132590A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |4.4465789A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |25.768667A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |32.330908A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |1.7638820A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |14.527711A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.965388114188521	-1.4322249878333333	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.3083334730860467e-006	1.3323718920607923	1.342389672912462	                0	1.3438218979002954	-1.4505249989244178	0.018300011091084565	               50	0.008580218289496221	1.1405000016869356e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.965388114564888	-1.4322249878333333	                0	                1	-3.9784027439814816e-013	-3.9784027439814816e-013	-3.9784027439814816e-013	-1.9082563169037305e-011	-1.9082563169037305e-011	-1.9082563169037305e-011	                0	1.0000000000000001e-009	               25	                0	1.6533334322351341e-006	1.3323718920712468	1.3423896729195948	7.132414780205056e-012	1.3438218979074281	-1.4505249989191087	0.018300011085775506	50.00000000000346	0.0085802182894962747	3.6716666606177266e-005
                2	                0	                1	C	               -1	                1	                1	47.965388114941327	-1.4322249878333333	                0	                1	-0.023870416463888888	-0.023870416463888888	-0.023870416463888888	-1.144953790151223	-1.144953790151223	-1.144953790151223	                0	59.999999999000003	               25	-1.7915731039774343	1.7800002145425727e-006	1.3323718920817036	1.3423896729267297	1.4264829559392686e-011	1.3438218979145631	-1.4505249989137998	0.018300011080466447	50.188910694756466	0.008580218289496868	3.9266666620581719e-005
                3	                0	                1	C	               -1	                2	                2	47.97057647531004	-1.4322249878333333	                0	                1	-0.047740832927777775	-0.047740832927777775	-0.047740832927777775	-2.2899695044683215	-2.2899695044683215	-2.2899695044683215	                0	               60	               25	-16562.746833893347	1.8833336071111261e-006	1.3325160132030567	1.342533794044761	2.139740642706262e-011	1.3439660190325944	-1.4505249989084907	0.018300011075157392	50.377820849214288	0.0086126361894608931	4.1146666626445948e-005
                4	                0	                1	C	               -1	                3	                3	47.975759403708807	-1.4322249878333333	                0	                1	-0.071611249391666659	-0.071611249391666659	-0.071611249391666659	-3.4351090022764939	-3.4351090022764939	-3.4351090022764939	                0	               60	               25	-16580.105426584643	1.9750002441772571e-006	1.3326599834363557	1.3426777642747383	2.8530145382751197e-011	1.3441099892625716	-1.4505249989031817	0.018300011069848333	50.566730463375322	0.0086450539967079035	4.2936666674601534e-005
                5	                0	                1	C	               -1	                4	                4	47.98093717557574	-1.4322249878333333	                0	                1	-0.09548166585555555	-0.09548166585555555	-0.09548166585555555	-4.5803721571997658	-4.5803721571997658	-4.5803721571997658	                0	               60	               25	-16596.617517817587	2.0650003231518592e-006	1.3328038104326594	1.3428215912677202	3.5663046425994762e-011	1.3442538162555535	-1.4505249988978726	0.018300011064539275	50.755639537241116	0.0086774717112376287	4.4701666653660746e-005
                6	                0	                1	C	               -1	                5	                5	47.98611006528408	-1.4322249878333333	                0	                1	-0.11935208231944444	-0.11935208231944444	-0.11935208231944444	-5.7257588494242775	-5.7257588494242775	-5.7257588494242775	                0	               60	               25	-16612.281358220607	2.1566670814839501e-006	1.3329475018134467	1.3429652826451857	4.2796109556329665e-011	1.344397507633019	-1.4505249988925635	0.018300011059230216	50.944548070813212	0.0087098893330503288	4.6459999915290003e-005
                7	                0	                1	C	               -1	                6	                6	47.991278346200637	-1.4322249878333333	                0	                1	-0.14322249878333332	-0.14322249878333332	-0.14322249878333332	-6.8712689656735595	-6.8712689656735595	-6.8712689656735595	                0	               60	               25	-16627.095287081964	2.2483337185500813e-006	1.3330910651722399	1.3431088460006571	4.992933477329225e-011	1.3445410709884904	-1.4505249988872544	0.018300011053921157	51.133456064093153	0.0087423068621462728	4.8204999984591268e-005
                8	                0	                1	C	               -1	                7	                7	47.996442290743722	-1.4322249878333333	                0	                1	-0.1670929152472222	-0.1670929152472222	-0.1670929152472222	-8.0169023991852022	-8.0169023991852022	-8.0169023991852022	                0	               60	               25	-16641.057732711539	2.3383336762587231e-006	1.3332345080762145	1.3432522889013099	5.706272207641887e-011	1.3446845138891432	-1.4505249988819453	0.018300011048612098	51.322363517082493	0.0087747242985257243	4.9988333315316899e-005
                9	                0	                1	C	               -1	                8	                8	48.00160217044067	-1.4322249878333333	                0	                1	-0.19096333171111107	-0.19096333171111107	-0.19096333171111107	-9.162659049688898	-9.162659049688898	-9.162659049688898	                0	               60	               25	-16654.167212627424	2.4300003133248539e-006	1.3333778380677963	1.3433956188895699	6.4196271465245869e-011	1.3448278438774033	-1.4505249988766362	0.018300011043303043	51.511270429782769	0.0088071416421889506	5.1764999928612575e-005
               10	                0	                1	C	               -1	                9	                9	48.00675825598482	-1.4322249878333333	                0	                1	-0.21483374817499995	-0.21483374817499995	-0.21483374817499995	-10.308538823385861	-10.308538823385861	-10.308538823385861	                0	               60	               25	-16666.422334184317	2.5216669503909846e-006	1.333521062666245	1.3435388434846969	7.1329982939309601e-011	1.3449710684725302	-1.4505249988713274	0.018300011037993984	51.700176802195529	0.0088395588931362134	5.3546666701246672e-005
               11	                0	                1	C	               -1	               10	               10	48.011910817292176	-1.4322249878333333	                0	                1	-0.23870416463888883	-0.23870416463888883	-0.23870416463888883	-11.454541632929587	-11.454541632929587	-11.454541632929587	                0	               60	               25	-16677.821794635067	2.608333670650609e-006	1.3336641893692271	1.3436819701843572	7.8463856498146411e-011	1.3451141951721906	-1.4505249988660183	0.018300011032684926	51.889082634322321	0.00887197605136778	5.5293333328639464e-005
               12	                0	                1	C	               -1	               10	               10	48.011910817292176	-1.4322249878333333	                0	                1	-0.23870416463888883	-0.23870416463888883	-0.23870416463888883	-11.454541632929587	-11.454541632929587	-11.454541632929587	                0	                0	               25	                0	2.608333670650609e-006	1.3336641893692271	1.3436819701843572	7.8463856498146411e-011	1.3451141951721906	-1.4505249988660183	0.018300011032684926	51.889082634322321	0.00887197605136778	5.6893333263966878e-005
               13	                0	                2	D	                1	               10	                0	 47.9544472002151	0.30702287233333331	                0	                1	                0	-0.23870416463888883	-0.23870416463888883	                0	-11.454541632929587	-11.454541632929587	                0	1.0000000000000001e-009	               25	                0	3.276666999833348e-006	1.3320679777837527	1.3438250064590496	7.8463856498146411e-011	1.3435179835867161	0.28872286130064839	0.018300011032684929	51.889082634322321	0.008904393116883862	6.0060000032535753e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.954447200137622	0.30702287233333331	                0	                1	8.52841312037037e-014	-0.23870416463880353	-0.23870416463880353	4.0897533668209225e-012	-11.454541632925498	-11.454541632925498	                0	1.0000000000000001e-009	               25	                0	3.3683336368994787e-006	1.3320679777816007	1.3438250064575588	7.697326409976945e-011	1.3435179835852253	0.28872286129959157	0.018300011033741771	51.889082634321568	0.0089043931168838516	6.1819999973522496e-005
