Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_30sd40cap_3_norm_30sd40cap_3____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:05:44 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |38.487979A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |19.911923A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |37.323518A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |32.941783A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |17.066985A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |13.544828A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |39.220957A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |5.7069230A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |21.249631A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |19.890102A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |29.093561A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |8.1195052A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |31.646305A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |33.803675A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |37.980040A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |11.615142A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |5.9598325A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |7.5788053A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |12.548013A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |36.794236A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |19.017806A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |8.5132353A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |10.288496A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |6.8200611A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |10.064118A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |15.749338A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |12.324953A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |8.7778862A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |11.545502A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |32.292772A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |10.174623A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |9.9522471A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |36.155949A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |28.216128A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |39.791140A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |11.373693A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |25.898890A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |38.003568A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |26.613675A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |6.5541494A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |24.427245A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |0.1745951A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |18.500023A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	48.144755889706524	-6.414663196666667	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2000000045494137e-006	1.3373543302696256	1.342389672912462	                0	1.3488043361091286	-6.4329632077577514	0.018300011091084565	               50	0.008580218289496221	1.22666666660128e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	48.144755891381536	-6.414663196666667	                0	                1	-1.7818508879629631e-012	-1.7818508879629631e-012	-1.7818508879629631e-012	-8.5786776034325987e-011	-8.5786776034325987e-011	-8.5786776034325987e-011	                0	1.0000000000000001e-009	               25	                0	1.563333338102287e-006	1.3373543303161537	1.3423896729442586	3.1795483894728426e-011	1.3488043361409252	-6.4329632077342067	0.018300011067539815	50.000000000015525	0.0085802182894964638	4.4126666667428555e-005
                2	                0	                1	C	               -1	                1	                1	48.144755893056939	-6.414663196666667	                0	                1	-0.10691105327777778	-0.10691105327777778	-0.10691105327777778	-5.1472065622386562	-5.1472065622386562	-5.1472065622386562	                0	59.999999999000003	               25	-7.9942204432090538	1.7133333358287928e-006	1.3373543303626927	1.342389672976066	6.3590967769237819e-011	1.3488043361727327	-6.432963207710662	0.018300011043995066	50.846592538324671	0.0085802182894991284	4.7188333333754902e-005
                3	                0	                1	C	               -1	                2	                2	48.167966750619492	-6.414663196666667	                0	                1	-0.21382210655555556	-0.21382210655555556	-0.21382210655555556	-10.295653873181619	-10.295653873181619	-10.295653873181619	                0	               60	               25	-16581.885902438156	1.831666668294929e-006	1.3379990764060969	1.3430344190047387	9.5387178018404399e-011	1.3494490822014054	-6.4329632076871173	0.018300011020450316	51.693182655331668	0.0087254972651181519	4.9441666665946592e-005
                4	                0	                1	C	               -1	                3	                3	48.191087884265997	-6.414663196666667	                0	                1	-0.32073315983333334	-0.32073315983333334	-0.32073315983333334	-15.446577885114891	-15.446577885114891	-15.446577885114891	                0	               60	               25	-16646.233601014465	1.9400000004073564e-006	1.3386413301184998	1.3436766727024101	1.2718411464014924e-010	1.3500913358990767	-6.4329632076635725	0.018300010996905567	52.539770351029325	0.0088707758252311551	5.156999999750648e-005
                5	                0	                1	C	               -1	                4	                4	48.214143651946664	-6.414663196666667	                0	                1	-0.42764421311111112	-0.42764421311111112	-0.42764421311111112	-20.59997030762716	-20.59997030762716	-20.59997030762716	                0	               60	               25	-16693.427741412244	2.0466666645309791e-006	1.3392817681096296	1.3443171106788083	1.5898177763239345e-010	1.3507317738754749	-6.4329632076400278	0.018300010973360818	53.386355625424578	0.0090160539698369048	5.3896666664362176e-005
                6	                0	                1	C	               -1	                5	                5	48.237158143404528	-6.414663196666667	                0	                1	-0.53455526638888884	-0.53455526638888884	-0.53455526638888884	-25.755825440104068	-25.755825440104068	-25.755825440104068	                0	               60	               25	-16723.36720994455	2.1699999971739694e-006	1.3399210595390147	1.3449564020934619	1.9078016699305808e-010	1.3513710652901285	-6.4329632076164831	0.018300010949816068	54.232938478524346	0.0091613316989365909	5.6073333333491367e-005
                7	                0	                1	C	               -1	                6	                6	48.260155279734391	-6.414663196666667	                0	                1	-0.64146631966666656	-0.64146631966666656	-0.64146631966666656	-30.914140148375882	-30.914140148375882	-30.914140148375882	                0	               60	               25	-16735.987745579059	2.2716666649102991e-006	1.3405598688815108	1.3455952114212264	2.2257928272006425e-010	1.352009874617893	-6.4329632075929384	0.018300010926271322	55.079518910335551	0.0093066090125314034	5.8169999999790892e-005
                8	                0	                1	C	               -1	                7	                7	48.283158911215736	-6.414663196666667	                0	                1	-0.74837737294444429	-0.74837737294444429	-0.74837737294444429	-36.074913851916833	-36.074913851916833	-36.074913851916833	                0	               60	               25	-16731.262284049695	2.3749999968458722e-006	1.3411988586448815	1.3462342011698656	2.5437912481133301e-010	1.3526488643665322	-6.4329632075693937	0.018300010902726569	55.92609692086512	0.0094518859106225237	6.028499999880902e-005
                9	                0	                1	C	               -1	                8	                8	48.306192914423264	-6.414663196666667	                0	                1	-0.85528842622222201	-0.85528842622222201	-0.85528842622222201	-41.238148521465291	-41.238148521465291	-41.238148521465291	                0	               60	               25	-16709.201102925097	2.4849999969471051e-006	1.3418386920673129	1.3468740345775654	2.8617969326478557e-010	1.353288697774232	-6.4329632075458489	0.01830001087918182	56.772672510119982	0.009597162393211147	6.2444999999418843e-005
               10	                0	                1	C	               -1	                9	                9	48.329281289605504	-6.414663196666667	                0	                1	-0.96219947949999973	-0.96219947949999973	-0.96219947949999973	-46.403848687040409	-46.403848687040409	-46.403848687040409	                0	               60	               25	-16669.851765751373	2.5899999968714836e-006	1.3424800358223752	1.3475153783178961	3.1798098807834295e-010	1.3539300415145628	-6.4329632075223042	0.018300010855637074	57.619245678107056	0.0097424384602984582	6.4569999998790681e-005
               11	                0	                1	C	               -1	               10	               10	48.352448259326891	-6.414663196666667	                0	                1	-1.0691105327777775	-1.0691105327777775	-1.0691105327777775	-51.572021456437213	-51.572021456437213	-51.572021456437213	                0	               60	               25	-16613.298865957608	2.6899999966190079e-006	1.3431235627590803	1.3481589052398697	3.4978300924992624e-010	1.3545735684365363	-6.4329632074987595	0.018300010832092324	58.465816424833271	0.0098877141118856489	6.6684999997808817e-005
               12	                0	                1	C	               -1	               10	               10	48.352448259326891	-6.414663196666667	                0	                1	-1.0691105327777775	-1.0691105327777775	-1.0691105327777775	-51.572021456437213	-51.572021456437213	-51.572021456437213	                0	                0	               25	                0	2.6899999966190079e-006	1.3431235627590803	1.3481589052398697	3.4978300924992624e-010	1.3545735684365363	-6.4329632074987595	0.018300010832092324	58.465816424833271	0.0098877141118856489	6.8626666666204977e-005
               13	                0	                2	D	                1	               10	                0	48.025318953317765	3.3186538699999999	                0	                1	                0	-1.0691105327777775	-1.0691105327777775	                0	-51.572021456437213	-51.572021456437213	                0	1.0000000000000001e-009	               25	                0	3.5150000068521575e-006	1.3340366375921602	1.3488052971396163	3.4978300924992624e-010	1.3454866432696162	3.3003538591679074	0.018300010832092324	58.465816424833271	0.010032989347973659	7.2898333333644885e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	48.025318952450114	3.3186538699999999	                0	                1	9.2184829722222227e-013	-1.0691105327768555	-1.0691105327768555	4.4272058500270173e-011	-51.572021456392939	-51.572021456392939	                0	1.0000000000000001e-009	               25	                0	3.6350000035175376e-006	1.3340366375680588	1.3488052971230726	3.3323990473640966e-010	1.3454866432530725	3.3003538591558281	0.018300010844171495	58.465816424825157	0.010032989347973533	7.5168333330566378e-005
