Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_30sd40cap_4_norm_30sd40cap_4____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:05:55 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |31.844416A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |12.121676A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |35.301824A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |30.162429A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |24.065605A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |6.0584781A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |8.2041042A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |5.7280454A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |36.358843A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |39.320737A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |30.276676A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |22.955621A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |24.583029A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |6.0117988A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |17.371677A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |34.550521A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |30.320635A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |10.529319A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |10.729929A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |2.3746128A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |19.211006A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |13.065856A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |13.533848A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |4.3203911A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |24.668136A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |22.999661A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |2.6326467A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |26.004737A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |23.004538A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |0.9457063A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |11.315897A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |6.5213860A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |31.816059A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |34.232176A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |12.305541A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |0.6344242A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |24.877031A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |13.952712A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |28.935633A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |30.699037A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |5.3826152A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |7.6942870A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |24.980918A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |24.864719A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.722761519586527	5.3074026400000003	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2416666663739306e-006	1.325632264432959	1.342389672912462	                0	1.3370822702724621	5.2891026289089158	0.018300011091084565	               50	0.008580218289496221	1.2014999996760405e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.72276151819667	5.3074026400000003	                0	                1	1.4742785111111112e-012	1.4742785111111112e-012	1.4742785111111112e-012	7.0356641798182151e-011	7.0356641798182151e-011	7.0356641798182151e-011	                0	1.0000000000000001e-009	               25	                0	1.5799999990425325e-006	1.3256322643943519	1.342389672885967	-2.6494112094513763e-011	1.337082270245967	5.289102628889558	0.018300011110442754	49.999999999987025	0.0085802182894960197	4.1503333329728774e-005
                2	                0	                1	D	                1	                1	                1	47.722761516806493	5.3074026400000003	                0	                1	0.088456710666666674	0.088456710666666674	0.088456710666666674	4.2213985077679723	4.2213985077679723	4.2213985077679723	                0	59.999999999000003	               25	6.6727940352434629	1.7233333323929401e-006	1.3256322643557359	1.3423896728594631	-5.2988224174988771e-011	1.3370822702194631	5.2891026288702001	0.018300011129800942	49.292203311026149	0.0085802182894937924	4.4861666663109648e-005
                3	                0	                1	D	                1	                2	                2	47.703269254655282	5.3074026400000003	                0	                1	0.17691342133333332	0.17691342133333332	0.17691342133333332	8.441934904777785	8.441934904777785	8.441934904777785	                0	               60	               25	-16336.95237267383	1.8449999970471253e-006	1.3250908126293135	1.3418482211451528	-7.9482943546433334e-011	1.3365408185051528	5.2891026288508414	0.018300011149159127	48.58440864640351	0.008458757287576453	4.7096666666372285e-005
                4	                0	                1	D	                1	                3	                3	47.683682401975247	5.3074026400000003	                0	                1	0.26537013199999998	0.26537013199999998	0.26537013199999998	12.660742896810728	12.660742896810728	12.660742896810728	                0	               60	               25	-16258.056544458846	1.9516666649603093e-006	1.3245467333882013	1.3413041419161527	-1.0597827020710954e-010	1.3359967392761527	5.2891026288314835	0.018300011168517316	47.876616006125111	0.0083372966330443922	4.9219999997755322e-005
                5	                0	                1	D	                1	                4	                4	47.663985980766682	5.3074026400000003	                0	                1	0.35382684266666664	0.35382684266666664	0.35382684266666664	16.87781345424747	16.87781345424747	16.87781345424747	                0	               60	               25	-16167.615173741835	2.0516666647078332e-006	1.3239996105768523	1.3407570191169158	-1.3247420415527949e-010	1.3354496164769158	5.2891026288121248	0.018300011187875505	47.16882539018517	0.0082158363258986421	5.1314999999855597e-005
                6	                0	                1	D	                1	                5	                5	47.644164688256552	5.3074026400000003	                0	                1	0.4422835533333333	0.4422835533333333	0.4422835533333333	21.093136208199901	21.093136208199901	21.093136208199901	                0	               60	               25	-16065.761515665567	2.1533333286546014e-006	1.3234490191182375	1.3402064276704131	-1.5897074538920531e-010	1.3348990250304131	5.2891026287927669	0.018300011207233693	46.461036798577886	0.0080943763661382086	5.3384999997282039e-005
                7	                0	                1	D	                1	                6	                6	47.62420284718926	5.3074026400000003	                0	                1	0.53074026399999996	0.53074026399999996	0.53074026399999996	25.306699419584195	25.306699419584195	25.306699419584195	                0	               60	               25	-15952.644714808876	2.256666660590175e-006	1.3228945235330349	1.3396519320973226	-1.854678939071491e-010	1.3343445294573226	5.2891026287734091	0.018300011226591882	45.753250231297478	0.0079729167537620962	5.5453333330509244e-005
                8	                0	                1	D	                1	                7	                7	47.604084353240971	5.3074026400000003	                0	                1	0.61919697466666657	0.61919697466666657	0.61919697466666657	29.518489943669543	29.518489943669543	29.518489943669543	                0	               60	               25	-15828.429266052948	2.3583333283265042e-006	1.3223356764789158	1.3390930850553155	-2.1196564970737297e-010	1.3337856824153156	5.2891026287540504	0.018300011245950071	45.045465688338155	0.0078514574887693141	5.7549999996808762e-005
                9	                0	                1	D	                1	                8	                8	47.583792619093224	5.3074026400000003	                0	                1	0.70765368533333328	0.70765368533333328	0.70765368533333328	33.72849318982756	33.72849318982756	33.72849318982756	                0	               60	               25	-15693.294426260358	2.464999996239688e-006	1.321772017197034	1.3385294257855458	-2.3846401278813907e-010	1.3332220231455458	5.2891026287346925	0.018300011265308256	44.337683169694124	0.0077299985711588685	5.9669999999793313e-005
               10	                0	                1	D	                1	                9	                9	47.563310514650937	5.3074026400000003	                0	                1	      0.796110396	      0.796110396	      0.796110396	37.936693076164111	37.936693076164111	37.936693076164111	                0	               60	               25	-15547.433580240089	2.5699999961640668e-006	1.321203069851415	1.3379604784520389	-2.6496298314770949e-010	1.332653075812039	5.2891026287153338	0.018300011284666445	43.629902675359595	0.0076085400009297637	6.1788333330999493e-005
               11	                0	                1	D	                1	               10	               10	47.542620302830969	5.3074026400000003	                0	                1	0.88456710666666671	0.88456710666666671	0.88456710666666671	42.143071978667116	42.143071978667116	42.143071978667116	                0	               60	               25	-15391.053565371099	2.6699999959115908e-006	1.3206283417453046	1.3373857503580406	-2.9146256078434638e-010	1.3320783477180407	5.2891026286959759	0.018300011304024633	42.922124205328778	0.0074870817780810072	6.3869999996768451e-005
               12	                0	                1	D	                1	               10	               10	47.542620302830969	5.3074026400000003	                0	                1	0.88456710666666671	0.88456710666666671	0.88456710666666671	42.143071978667116	42.143071978667116	42.143071978667116	                0	                0	               25	                0	2.6699999959115908e-006	1.3206283417453046	1.3373857503580406	-2.9146256078434638e-010	1.3320783477180407	5.2891026286959759	0.018300011304024633	42.922124205328778	0.0074870817780810072	6.5793333332446008e-005
               13	                0	                2	C	               -1	               10	                0	47.952770066706854	-6.666666666666667	                0	                1	                0	0.88456710666666671	0.88456710666666671	                0	42.143071978667116	42.143071978667116	                0	1.0000000000000001e-009	               25	                0	3.4383333210522931e-006	1.332021390741857	1.3368047300479264	-2.9146256078434638e-010	1.343471396714593	-6.6849666779706913	0.018300011304024633	42.922124205328778	0.0073656239026118082	6.9554999997005021e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	47.952770068447336	-6.666666666666667	                0	                1	-1.8518518518518521e-012	0.88456710666481486	0.88456710666481486	-8.8801426051068699e-011	42.143071978578313	42.143071978578313	                0	1.0000000000000001e-009	               25	                0	3.5416666529878662e-006	1.3320213907902039	1.3368047300809647	-2.5842573249408196e-010	1.3434713967476313	-6.6849666779462247	0.018300011279557542	42.922124205344907	0.0073656239026120606	7.1663333331647056e-005
