Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_30sd40cap_6_norm_30sd40cap_6____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:06:12 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |2.0778590A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |18.449907A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |13.517493A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |9.7244087A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |25.638584A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |13.973827A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |6.4227451A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |5.0493995A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |32.760213A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |0.8653238A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |0.0110285A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |9.3736659A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |10.718597A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |0.8116176A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |0.6872969A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |19.221669A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |23.556669A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |9.4933117A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |3.7304121A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |13.266403A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |19.057492A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |5.7674710A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |9.1141287A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |27.522426A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |23.734234A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |10.248279A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |26.945143A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |21.842179A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |24.168413A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |  Charge  |  Current |39.482859A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |17.849601A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |29.932035A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |0.7742479A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |2.2311113A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |40.000000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.926295168734526	-0.34630983633333329	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.316666672816306e-006	1.3312859769092924	1.342389672912462	                0	1.3427359827487955	-0.36460984742441788	0.018300011091084565	               50	0.008580218289496221	1.2513333335088343e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.926295168827842	-0.34630983633333329	                0	                1	-9.619717675925926e-014	-9.619717675925926e-014	-9.619717675925926e-014	-4.6103742877676761e-012	-4.6103742877676761e-012	-4.6103742877676761e-012	                0	1.0000000000000001e-009	               25	                0	1.6633333416393726e-006	1.3312859769118845	1.3423896729142193	1.7571347812357305e-012	1.3427359827505527	-0.3646098474230835	0.018300011089750202	50.000000000000838	0.0085802182894962348	4.1738333334251368e-005
                2	                0	                1	C	               -1	                1	                1	47.926295168921179	-0.34630983633333329	                0	                1	-0.0057718306055555548	-0.0057718306055555548	-0.0057718306055555548	-0.27662245726659923	-0.27662245726659923	-0.27662245726659923	                0	59.999999999000003	               25	-0.43355302358376335	1.8050000107905362e-006	1.3312859769144771	1.342389672915977	3.5142695624097108e-012	1.3427359827523104	-0.36460984742174912	0.018300011088415839	50.045569894757996	0.0085802182894963788	4.4646666666873594e-005
                3	                0	                1	C	               -1	                2	                2	47.927547239329904	-0.34630983633333329	                0	                1	-0.01154366121111111	-0.01154366121111111	-0.01154366121111111	-0.55324852790262047	-0.55324852790262047	-0.55324852790262047	                0	               60	               25	-16595.384760476369	1.9250000112454777e-006	1.3313207566480529	1.3424244526487179	5.2714434434863804e-012	1.3427707624850513	-0.36460984742041475	0.018300011087081475	50.091139659182701	0.0085880382823852949	4.6883333334335474e-005
                4	                0	                1	C	               -1	                3	                3	47.928798978741405	-0.34630983633333329	                0	                1	-0.017315491816666664	-0.017315491816666664	-0.017315491816666664	-0.8298818243217172	-0.8298818243217172	-0.8298818243217172	                0	               60	               25	-16599.773075041983	2.0333333471474663e-006	1.3313555271872612	1.3424592231870913	7.0286564243539069e-012	1.3428055330234248	-0.36460984741908037	0.018300011085747116	50.136709293274563	0.0085958582529085913	4.9010000001696126e-005
                5	                0	                1	C	               -1	                4	                4	47.93005039104191	-0.34630983633333329	                0	                1	-0.023087322422222219	-0.023087322422222219	-0.023087322422222219	-1.1065223446246448	-1.1065223446246448	-1.1065223446246448	                0	               60	               25	-16604.112147226973	2.1366666828726009e-006	1.331390288640053	1.3424939846390482	8.7859085049004567e-012	1.3428402944753817	-0.36460984741774605	0.018300011084412753	50.182278797033959	0.0086036782010662054	5.1108333335984452e-005
                6	                0	                1	C	               -1	                5	                5	47.931301480113703	-0.34630983633333329	                0	                1	-0.028859153027777775	-0.028859153027777775	-0.028859153027777775	-1.383170086934578	-1.383170086934578	-1.383170086934578	                0	               60	               25	-16608.401950322128	2.2383333506089306e-006	1.3314250411142696	1.3425287371124299	1.0543199685014199e-011	1.3428750469487634	-0.36460984741641167	0.018300011083078393	50.227848170461257	0.008611498126858198	5.3203333334295169e-005
                7	                0	                1	C	               -1	                6	                6	47.93255224983519	-0.34630983633333329	                0	                1	-0.034630983633333327	-0.034630983633333327	-0.034630983633333327	-1.6598250493970881	-1.6598250493970881	-1.6598250493970881	                0	               60	               25	-16612.642457713057	2.3450000185221143e-006	1.3314597847176441	1.3425634807149696	1.23005299645833e-011	1.342909790551303	-0.36460984741507729	0.01830001108174403	50.273417413556828	0.0086193180302846333	5.5298333336395444e-005
                8	                0	                1	C	               -1	                7	                7	47.933802704080861	-0.34630983633333329	                0	                1	-0.040402814238888883	-0.040402814238888883	-0.040402814238888883	-1.9364872301801206	-1.9364872301801206	-1.9364872301801206	                0	               60	               25	-16616.833644200437	2.4483333504576875e-006	1.3314945195578016	1.3425982155542922	1.4057899343495929e-011	1.3429445253906256	-0.36460984741374292	0.018300011080409666	50.318986526321048	0.0086271379113455754	5.741666666760163e-005
                9	                0	                1	C	               -1	                8	                8	47.935052846721433	-0.34630983633333329	                0	                1	-0.046174644844444439	-0.046174644844444439	-0.046174644844444439	-2.2131566274739733	-2.2131566274739733	-2.2131566274739733	                0	               60	               25	-16620.97548363993	2.5500000181940171e-006	1.3315292457422621	1.3426329417379177	1.5815307821640256e-011	1.3429792515742511	-0.36460984741240859	0.018300011079075303	50.364555508754293	0.0086349577700410903	5.9540000002774225e-005
               10	                0	                1	C	               -1	                9	                9	47.936302681623843	-0.34630983633333329	                0	                1	-0.051946475449999995	-0.051946475449999995	-0.051946475449999995	-2.4898332394912739	-2.4898332394912739	-2.4898332394912739	                0	               60	               25	-16625.067950922759	2.6516666821407854e-006	1.3315639633784402	1.3426676593732609	1.7572755398904446e-011	1.3430139692095944	-0.36460984741107422	0.01830001107774094	50.410124360856933	0.0086427776063712387	6.1663333334157269e-005
               11	                0	                1	C	               -1	               10	               10	47.937552212651319	-0.34630983633333329	                0	                1	-0.05771830605555555	-0.05771830605555555	-0.05771830605555555	-2.7665170644669588	-2.7665170644669588	-2.7665170644669588	                0	               60	               25	-16629.111020936212	2.7550000140763585e-006	1.3315986725736477	1.3427023685676336	1.9330242075176675e-011	1.343048678403967	-0.36460984740973984	0.01830001107640658	50.455693082629338	0.0086505974203360866	6.3744999999926227e-005
               12	                0	                1	C	               -1	               10	               10	47.937552212651319	-0.34630983633333329	                0	                1	-0.05771830605555555	-0.05771830605555555	-0.05771830605555555	-2.7665170644669588	-2.7665170644669588	-2.7665170644669588	                0	                0	               25	                0	2.7550000140763585e-006	1.3315986725736477	1.3427023685676336	1.9330242075176675e-011	1.343048678403967	-0.36460984740973984	0.01830001107640658	50.455693082629338	0.0086505974203360866	6.5674999999979872e-005
               13	                0	                2	C	               -1	               10	                0	48.037033731282058	-3.0749844950000003	                0	                1	                0	-0.05771830605555555	-0.05771830605555555	                0	-2.7665170644669588	-2.7665170644669588	                0	1.0000000000000001e-009	               25	                0	3.5150000106417186e-006	1.3343620480911682	1.3427370694264875	1.9330242075176675e-011	1.3458120539214875	-3.0932845060764067	0.01830001107640658	50.455693082629338	0.0086584172119356841	6.9405000003068079e-005
