Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_5sd40cap_1_norm_5sd40cap_1____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:20 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |1.3414851A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |0.4265161A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |5.5520698A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |6.5133140A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |1.7325897A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |4.8849360A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |1.5577054A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |5.3671821A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |9.3248268A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |0.5704983A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |9.1980120A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |4.7901964A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |0.4516091A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |7.0223306A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |11.261424A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |2.0670364A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |0.7371385A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |3.6087831A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |  Charge  |  Current |3.9420584A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |0.5480078A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |8.9882818A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |0.5842709A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |5.2846377A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |5.1163103A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |4.3043778A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |7.8125058A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |1.5093814A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |5.6755854A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |14.241243A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |0.7100566A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |0.6007414A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |6.9145511A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |0.2867581A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |9.4283080A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |2.5594679A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |0.4370972A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |0.3679642A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |2.5818965A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |2.7753248A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |8.7806583A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |0.7800132A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |10.101350A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |0.3283622A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |5.6901181A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |1.8372097A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |2.1588201A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |0.6587483A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |3.6404871A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |4.0415658A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |7.7043208A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.905779104176524	0.22358084583333335	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0616666637967378e-006	1.3307160862271257	1.342389672912462	                0	1.3421660920666287	0.20528083474224879	0.018300011091084565	               50	0.008580218289496221	1.1298333333797927e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.905779104120903	0.22358084583333335	                0	                1	6.2105790509259268e-014	6.2105790509259268e-014	6.2105790509259268e-014	2.97522628122511e-012	2.97522628122511e-012	2.97522628122511e-012	                0	1.0000000000000001e-009	               25	                0	1.3983333246869734e-006	1.3307160862255807	1.3423896729113871	-1.0750031376960731e-012	1.3421660920655538	0.2052808347414975	0.018300011091835853	49.999999999999453	0.0085802182894962123	3.6901666665774734e-005
                2	                0	                1	D	                1	                1	                1	47.90577910406526	0.22358084583333335	                0	                1	0.0037263474305555557	0.0037263474305555557	0.0037263474305555557	0.1785135768732993	0.1785135768732993	0.1785135768732993	                0	59.999999999000003	               25	0.28002572968567047	1.5249999933075743e-006	1.330716086224035	1.3423896729103115	-2.1500062753690335e-012	1.3421660920644782	0.20528083474074621	0.018300011092587141	49.970046216917297	0.0085802182894961186	3.9484999994480556e-005
                3	                0	                1	D	                1	                2	                2	47.904955918982182	0.22358084583333335	                0	                1	0.0074526948611111114	0.0074526948611111114	0.0074526948611111114	0.3570256200096853	0.3570256200096853	0.3570256200096853	                0	               60	               25	-16296.27531616166	1.6249999968446597e-006	1.3306932199717272	1.3423668066584737	-3.2250351140186238e-012	1.3421432258126405	0.20528083473999492	0.018300011093338429	49.940092519504645	0.0085750780895472965	4.1341666663659758e-005
                4	                0	                1	D	                1	                3	                3	47.90413259200443	0.22358084583333335	                0	                1	0.011179042291666667	0.011179042291666667	0.011179042291666667	0.53553459540807768	0.53553459540807768	0.53553459540807768	                0	               60	               25	-16293.466766542324	1.7150000000280367e-006	1.3306703497779009	1.3423439364651175	-4.3000896535713352e-012	1.3421203556192842	0.20528083473924363	0.01830001109408972	49.910138907761748	0.0085699379042997355	4.3105000001257093e-005
                5	                0	                1	D	                1	                4	                4	47.903309122027565	0.22358084583333335	                0	                1	0.014905389722222223	0.014905389722222223	0.014905389722222223	0.71404050253766982	0.71404050253766982	0.71404050253766982	                0	               60	               25	-16290.637335766833	1.8000000030345594e-006	1.3306474756118769	1.3423210622995636	-5.3751698939536598e-012	1.3420974814537303	0.20528083473849235	0.018300011094841005	49.880185381688356	0.0085647977337534788	4.4830000001638835e-005
                6	                0	                1	D	                1	                5	                5	47.90248550794638	0.22358084583333335	                0	                1	0.018631737152777779	0.018631737152777779	0.018631737152777779	0.89254334086353815	0.89254334086353815	0.89254334086353815	                0	               60	               25	-16287.787030918289	1.8850000060410821e-006	1.3306245974429549	1.3422981841311117	-6.4502758350920892e-012	1.3420746032852784	0.20528083473774106	0.018300011095592296	49.850231941284228	0.0085596575779084815	4.6533333329534801e-005
                7	                0	                1	D	                1	                6	                6	47.901661748654874	0.22358084583333335	                0	                1	0.022358084583333333	0.022358084583333333	0.022358084583333333	1.0710431098466393	1.0710431098466393	1.0710431098466393	                0	               60	               25	-16284.915858691604	1.9700000090476046e-006	1.3306017152404133	1.3422753019290401	-7.5254074769131166e-012	1.3420517210832068	0.20528083473698977	0.018300011096343584	49.820278586549122	0.0085545174367647036	4.8245000001164348e-005
                8	                0	                1	D	                1	                7	                7	47.900837843046382	0.22358084583333335	                0	                1	0.026084432013888888	0.026084432013888888	0.026084432013888888	1.2495398089438072	1.2495398089438072	1.2495398089438072	                0	               60	               25	-16282.023828624044	2.0533333478548835e-006	1.3305788289735105	1.3422524156626074	-8.6005648193432335e-012	1.3420288348167742	0.20528083473623848	0.018300011097094872	49.79032531748279	0.0085493773103221069	4.99866666662759e-005
                9	                0	                1	D	                1	                8	                8	47.900013790013404	0.22358084583333335	                0	                1	0.029810779444444442	0.029810779444444442	0.029810779444444442	1.4280334376077504	1.4280334376077504	1.4280334376077504	                0	               60	               25	-16279.110946914254	2.1383333432822837e-006	1.3305559386114834	1.3422295253010503	-9.6757478623089324e-012	1.342005944455217	0.20528083473548719	0.01830001109784616	49.760372134084989	0.0085442371985806429	5.1736666667541918e-005
               10	                0	                1	D	                1	                9	                9	47.899189588447719	0.22358084583333335	                0	                1	0.033537126874999997	0.033537126874999997	0.033537126874999997	1.6065239952870491	1.6065239952870491	1.6065239952870491	                0	               60	               25	-16276.177222321774	2.2250000104880503e-006	1.3305330441235477	1.3422066308135847	-1.0750956605736707e-011	1.3419830499677514	0.20528083473473591	0.018300011098597448	49.730419036355471	0.0085390971015402752	5.3473333332476612e-005
               11	                0	                1	D	                1	               10	               10	47.898365237240327	0.22358084583333335	                0	                1	0.037263474305555551	0.037263474305555551	0.037263474305555551	1.7850114814261531	1.7850114814261531	1.7850114814261531	                0	               60	               25	-16273.222662515758	2.3083333417162067e-006	1.3305101454788979	1.342183732169405	-1.1826191049553051e-011	1.3419601513235717	0.20528083473398462	0.018300011099348736	49.700466024293988	0.0085339570192009568	5.5198333332858361e-005
               12	                0	                1	D	                1	               10	               10	47.898365237240327	0.22358084583333335	                0	                1	0.037263474305555551	0.037263474305555551	0.037263474305555551	1.7850114814261531	1.7850114814261531	1.7850114814261531	                0	                0	               25	                0	2.3083333417162067e-006	1.3305101454788979	1.342183732169405	-1.1826191049553051e-011	1.3419601513235717	0.20528083473398462	0.018300011099348736	49.700466024293988	0.0085339570192009568	5.6778333328111333e-005
               13	                0	                2	D	                1	               10	                0	47.903030549433097	0.071086009833333338	                0	                1	                0	0.037263474305555551	0.037263474305555551	                0	1.7850114814261531	1.7850114814261531	                0	1.0000000000000001e-009	               25	                0	2.9400000130408445e-006	1.3306397374842527	1.3421608293387599	-1.1826191049553051e-011	1.3420897433289265	0.052785998733984596	0.018300011099348739	49.700466024293988	0.0085288169515626566	5.9863333331122706e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.903030549417487	0.071086009833333338	                0	                1	1.9746113842592595e-014	0.037263474305575299	0.037263474305575299	9.4589869463414287e-013	1.785011481427099	1.785011481427099	                0	1.0000000000000001e-009	               25	                0	3.0283333520249775e-006	1.330639737483819	1.342160829338447	-1.2138977013885967e-011	1.3420897433286136	0.052785998733791542	0.018300011099541796	49.70046602429381	0.0085288169515626532	6.1598333331858157e-005
