Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_5sd40cap_2_norm_5sd40cap_2____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:36 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |0.6296348A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |10.512147A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |0.3582073A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |2.9627194A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |3.4523432A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |3.4954934A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |  Charge  |  Current |4.7355896A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |1.7301349A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |  Charge  |  Current |1.3331423A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |0.8925208A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |3.3484964A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |0.0315870A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |0.5691171A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |2.6777634A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |2.9623177A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |1.1226871A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |6.0987350A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |0.5381792A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |2.9854963A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |4.6742197A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |4.7023460A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |0.7721767A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |6.5256692A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |6.6020136A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |0.3491790A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |0.4133317A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |5.3015980A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |3.6974852A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |1.8869073A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |1.1569368A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 | Discharge|  Current |0.7798875A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |9.7606704A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |2.2242000A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |1.1138365A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |1.1679247A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |2.0178712A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |3.5329141A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |5.0492438A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |13.117709A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |0.5676959A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |4.3938138A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |3.7930079A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |2.7703470A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |3.2531131A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |10.600666A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |0.6390998A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |  Charge  |  Current |6.1506595A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |8.4035830A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |5.1362965A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |0.4169225A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.910050205706519	0.10493913666666667	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.3400000019222109e-006	1.3308347279362922	1.342389672912462	                0	1.3422847337757953	0.086639125575582107	0.018300011091084565	               50	0.008580218289496221	2.0581666664535684e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.910050205682026	0.10493913666666667	                0	                1	2.9149760185185186e-014	2.9149760185185186e-014	2.9149760185185186e-014	1.3965664739561703e-012	1.3965664739561703e-012	1.3965664739561703e-012	                0	1.0000000000000001e-009	               25	                0	1.6900000067228879e-006	1.3308347279356119	1.3423896729119802	-4.8179459188120981e-013	1.3422847337753134	0.086639125575264847	0.018300011091401832	49.999999999999744	0.0085802182894962175	5.0440000003012149e-005
                2	                0	                1	D	                1	                1	                1	47.910050205657534	0.10493913666666667	                0	                1	0.0017489856111111114	0.0017489856111111114	0.0017489856111111114	0.083793988437327369	0.083793988437327369	0.083793988437327369	                0	59.999999999000003	               25	0.1314201962399853	1.8366666684717833e-006	1.3308347279349315	1.3423896729114984	-9.6358918375777722e-013	1.3422847337748316	0.086639125574947573	0.018300011091719096	49.985865111472911	0.0085802182894961741	5.3546666670930183e-005
                3	                0	                1	D	                1	                2	                2	47.909661770814182	0.10493913666666667	                0	                1	0.0034979712222222223	0.0034979712222222223	0.0034979712222222223	0.16758763719115738	0.16758763719115738	0.16758763719115738	                0	               60	               25	-16209.535029535611	1.9533333367386756e-006	1.3308239380781717	1.342378883054937	-1.4453959036726075e-012	1.3422739439182703	0.086639125574630313	0.018300011092036363	49.971730263372649	0.0085777926809150144	5.5783333330812941e-005
                4	                0	                1	D	                1	                3	                3	47.909273305090359	0.10493913666666667	                0	                1	0.0052469568333333334	0.0052469568333333334	0.0052469568333333334	0.25138060655103078	0.25138060655103078	0.25138060655103078	                0	               60	               25	-16208.246478052108	2.064999997249591e-006	1.3308131473636211	1.342368092340585	-1.9272147515910134e-012	1.3422631532039182	0.086639125574313053	0.01830001109235363	49.957595455699085	0.0085753670792712323	5.7936666667046663e-005
                5	                0	                1	D	                1	                4	                4	47.908884808370232	0.10493913666666667	                0	                1	0.0069959424444444446	0.0069959424444444446	0.0069959424444444446	0.33517289646283677	0.33517289646283677	0.33517289646283677	                0	               60	               25	-16206.953299211225	2.1700000009635309e-006	1.3308023557880619	1.3423573007652243	-2.4090457274783075e-012	1.3422523616285575	0.086639125573995779	0.018300011092670897	49.943460688452099	0.0085729414845648472	6.0050000001865556e-005
                6	                0	                1	D	                1	                5	                5	47.908496280537896	0.10493913666666667	                0	                1	0.0087449280555555557	0.0087449280555555557	0.0087449280555555557	0.41896450687226183	0.41896450687226183	0.41896450687226183	                0	               60	               25	-16205.655492313374	2.2716666611207376e-006	1.330791563348275	1.3423465083256358	-2.8908888312998024e-012	1.3422415691889691	0.086639125573678519	0.01830001109298816	49.929325961631577	0.0085705158967958415	6.2148333336153888e-005
                7	                0	                1	D	                1	                6	                6	47.908107721477435	0.10493913666666667	                0	                1	0.010493913666666667	0.010493913666666667	0.010493913666666667	0.50275543772478992	0.50275543772478992	0.50275543772478992	                0	               60	               25	-16204.353059038995	2.3750000006354337e-006	1.3307807700410399	1.3423357150185993	-3.3727440630208115e-012	1.3422307758819325	0.086639125573361245	0.018300011093305427	49.915191275237397	0.008568090315964191	6.4239999998486991e-005
                8	                0	                1	D	                1	                7	                7	47.907719131072888	0.10493913666666667	                0	                1	0.012242899277777778	0.012242899277777778	0.012242899277777778	0.58654568896570203	0.58654568896570203	0.58654568896570203	                0	               60	               25	-16203.045999891363	2.4766666607926404e-006	1.3307699758631357	1.3423249208408936	-3.8546114226066469e-012	1.3422199817042268	0.086639125573043985	0.018300011093622694	49.901056629269455	0.0085656647420698801	6.6340000004553681e-005
                9	                0	                1	D	                1	                8	                8	47.907330509208265	0.10493913666666667	                0	                1	0.013991884888888889	0.013991884888888889	0.013991884888888889	0.67033526054007631	0.67033526054007631	0.67033526054007631	                0	               60	               25	-16201.734315974902	2.5783333285289701e-006	1.3307591808113406	1.342314125789297	-4.3364909100226227e-012	1.3422091866526302	0.086639125572726711	0.018300011093939958	49.886922023727628	0.0085632391751128845	6.8463333332147161e-005
               10	                0	                1	D	                1	                9	                9	47.906941855767514	0.10493913666666667	                0	                1	     0.0157408705	     0.0157408705	     0.0157408705	0.75412415239278807	0.75412415239278807	0.75412415239278807	                0	               60	               25	-16200.418006921444	2.6816666604645432e-006	1.3307483848824309	1.3423033298605858	-4.8183825252340519e-012	1.342198390723919	0.086639125572409451	0.018300011094257225	49.872787458611796	0.0085608136150931886	7.0586666667319756e-005
               11	                0	                1	D	                1	               10	               10	47.906553170634574	0.10493913666666667	                0	                1	0.017489856111111111	0.017489856111111111	0.017489856111111111	0.8379123644685097	0.8379123644685097	0.8379123644685097	                0	               60	               25	-16199.097074741139	2.7816666564225065e-006	1.3307375880731827	1.3422925330515361	-5.300286268206247e-012	1.3421875939148693	0.08663912557209219	0.018300011094574492	49.858652933921853	0.0085583880620107699	7.2663333336701427e-005
               12	                0	                1	D	                1	               10	               10	47.906553170634574	0.10493913666666667	                0	                1	0.017489856111111111	0.017489856111111111	0.017489856111111111	0.8379123644685097	0.8379123644685097	0.8379123644685097	                0	                0	               25	                0	2.7816666564225065e-006	1.3307375880731827	1.3422925330515361	-5.300286268206247e-012	1.3421875939148693	0.08663912557209219	0.018300011094574492	49.858652933921853	0.0085583880620107699	7.4593333336755072e-005
               13	                0	                2	C	               -1	               10	                0	47.973015143197863	-1.7520244600000001	                0	                1	                0	0.017489856111111111	0.017489856111111111	                0	0.8379123644685097	0.8379123644685097	                0	1.0000000000000001e-009	               25	                0	3.5466666455855982e-006	1.3325837539777183	1.342281735359405	-5.300286268206247e-012	1.344033759819405	-1.7703244710945747	0.018300011094574489	49.858652933921853	0.0085559625158656144	7.8336666668595481e-005
               14	                0	                2	C	               -1	10.000000000016666	1.6666666666666667e-011	47.973015143657562	-1.7520244600000001	                0	                1	-4.8667346111111111e-013	0.017489856110624438	0.017489856110624438	-2.3347193319787712e-011	0.83791236444516248	0.83791236444516248	                0	1.0000000000000001e-009	               25	                0	3.6499999775211713e-006	1.3325837539904879	1.3422817353681205	3.4150146207778248e-012	1.3440337598281205	-1.7703244710880952	0.018300011088095026	49.858652933926088	0.0085559625158656803	8.0441666667259901e-005
