Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_5sd40cap_4_norm_5sd40cap_4____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:42 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |  Charge  |  Current |0.3874340A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |1.3284567A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  | Discharge|  Current |3.2352245A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |6.9988665A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |2.3287986A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |1.0246566A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |0.3964846A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |1.1867803A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |2.8483947A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |2.8254557A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |5.1067592A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |1.5781982A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |6.9613760A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |2.5308129A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |  Charge  |  Current |4.6000843A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |1.8349100A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |  Charge  |  Current |3.8640556A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |8.8047111A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |3.2603837A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |2.3424010A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |4.2498455A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |5.1503751A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |  Charge  |  Current |2.3310610A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |4.6365934A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |3.8013435A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |9.2893364A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 | Discharge|  Current |8.0487681A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |8.4936148A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |6.8214885A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |3.9952701A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |6.3070542A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |7.7992306A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |4.0961906A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |2.2421722A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |5.6684839A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |8.0316322A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |1.4850658A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |8.9367663A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |5.8438263A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |7.7542544A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |3.6197392A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |8.3999366A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |1.3371574A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |5.8134100A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |0.5893291A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |0.4905179A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |2.3086999A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |1.5469588A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |4.2649352A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |0.5853328A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	C	               -1	                0	                0	47.916152618398527	-0.064572326999999999	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.2433333343627357e-006	1.331004239399959	1.342389672912462	                0	1.3424542452394621	-0.08287233809108456	0.018300011091084565	               50	0.008580218289496221	1.3073333335948216e-005
                1	                0	                1	C	               -1	1.6666666666666667e-011	1.6666666666666667e-011	47.916152618418415	-0.064572326999999999	                0	                1	-1.7936757500000004e-014	-1.7936757500000004e-014	-1.7936757500000004e-014	-8.5946040984938302e-013	-8.5946040984938302e-013	-8.5946040984938302e-013	                0	1.0000000000000001e-009	               25	                0	1.7133333358287928e-006	1.3310042394005115	1.3423896729128246	3.6253411009485248e-013	1.3424542452398247	-0.082872338090781136	0.018300011090781141	50.000000000000156	0.0085802182894962244	4.6008333333702468e-005
                2	                0	                1	C	               -1	                1	                1	47.916152618438304	-0.064572326999999999	                0	                1	-0.0010762054500000002	-0.0010762054500000002	-0.0010762054500000002	-0.051567624590984372	-0.051567624590984372	-0.051567624590984372	                0	59.999999999000003	               25	-0.080856650799725691	1.8816666624843492e-006	1.3310042394010639	1.3423896729131872	7.2506822018707651e-013	1.3424542452401873	-0.082872338090477712	0.018300011090477714	50.008380543525874	0.0085802182894962505	4.9264999999347009e-005
                3	                0	                1	C	               -1	                2	                2	47.916382905526731	-0.064572326999999999	                0	                1	-0.0021524109000000003	-0.0021524109000000003	-0.0021524109000000003	-0.10313537310008926	-0.10313537310008926	-0.10313537310008926	                0	               60	               25	-16823.955031302074	2.031666660210855e-006	1.3310106362646315	1.3423960697765649	1.0876095209659552e-012	1.342460642103565	-0.082872338090174288	0.01830001109017429	50.016761063082768	0.0085816564273529551	5.1890000001246032e-005
                4	                0	                1	C	               -1	                3	                3	47.916613180775649	-0.064572326999999999	                0	                1	-0.0032286163500000005	-0.0032286163500000005	-0.0032286163500000005	-0.15470336943904289	-0.15470336943904289	-0.15470336943904289	                0	               60	               25	-16824.820028285609	2.1616666572299437e-006	1.3310170327993236	1.3424024663110672	1.4501580124109228e-012	1.3424670386380673	-0.082872338089870864	0.018300011089870866	50.025141558670761	0.0085830945610965072	5.4230000000643488e-005
                5	                0	                1	C	               -1	                4	                4	47.916843444209348	-0.064572326999999999	                0	                1	-0.0043048218000000006	-0.0043048218000000006	-0.0043048218000000006	-0.20627161359511662	-0.20627161359511662	-0.20627161359511662	                0	               60	               25	-16825.683339062383	2.2749999895192258e-006	1.3310234290058152	1.3424088625173689	1.812713694501413e-012	1.342473434844369	-0.082872338089567441	0.018300011089567438	50.03352203028993	0.0085845326907268895	5.6588333336549113e-005
                6	                0	                1	C	               -1	                5	                5	47.917073695852096	-0.064572326999999999	                0	                1	-0.0053810272500000008	-0.0053810272500000008	-0.0053810272500000008	-0.25784010555560788	-0.25784010555560788	-0.25784010555560788	                0	               60	               25	-16826.544965176581	2.3816666498532866e-006	1.3310298248847805	1.3424152583961444	2.1752765672168601e-012	1.3424798307231445	-0.082872338089264017	0.018300011089264014	50.04190247794034	0.0085859708162441175	5.8856666669271362e-005
                7	                0	                1	C	               -1	                6	                6	47.917303935728185	-0.064572326999999999	                0	                1	-0.0064572327000000009	-0.0064572327000000009	-0.0064572327000000009	-0.3094088453078403	-0.3094088453078403	-0.3094088453078403	                0	               60	               25	-16827.404904019724	2.5083333108947651e-006	1.331036220436894	1.342421653948068	2.5378466305366985e-012	1.3424862262750681	-0.082872338088960593	0.018300011088960587	50.050282901622062	0.0085874089376482016	6.1054999999517656e-005
                8	                0	                1	C	               -1	                7	                7	47.917534163861852	-0.064572326999999999	                0	                1	-0.0075334381500000011	-0.0075334381500000011	-0.0075334381500000011	-0.36097783283916351	-0.36097783283916351	-0.36097783283916351	                0	               60	               25	-16828.263159215792	2.6183333072064365e-006	1.3310426156628292	1.3424280491738134	2.9004238844403616e-012	1.3424926215008135	-0.082872338088657169	0.018300011088657163	50.058663301335159	0.0085888470549391558	6.3341666668748081e-005
                9	                0	                1	C	               -1	                8	                8	47.917764380277376	-0.064572326999999999	                0	                1	-0.0086096436000000012	-0.0086096436000000012	-0.0086096436000000012	-0.41254706813695335	-0.41254706813695335	-0.41254706813695335	                0	               60	               25	-16829.119727119592	2.7399999756501834e-006	1.3310490105632604	1.3424344440740548	3.2630083289072842e-012	1.3424990164010548	-0.082872338088353745	0.018300011088353735	50.067043677079702	0.0085902851681169869	6.5643333330929937e-005
               10	                0	                1	C	               -1	                9	                9	47.917994584999022	-0.064572326999999999	                0	                1	-0.0096858490500000005	-0.0096858490500000005	-0.0096858490500000005	-0.46411655118861178	-0.46411655118861178	-0.46411655118861178	                0	               60	               25	-16829.974608241384	2.8466666435633671e-006	1.3310554051388617	1.3424408386494662	3.6255999639169008e-012	1.3425054109764663	-0.082872338088050307	0.018300011088050312	50.075424028855764	0.0085917232771817106	6.7815000003671841e-005
               11	                0	                1	C	               -1	               10	               10	47.918224778051027	-0.064572326999999999	                0	                1	    -0.0107620545	    -0.0107620545	    -0.0107620545	-0.51568628198156674	-0.51568628198156674	-0.51568628198156674	                0	               60	               25	-16830.827804131834	2.9533333114765509e-006	1.3310617993903062	1.3424472329007209	3.9881987894486453e-012	1.342511805227721	-0.082872338087746883	0.018300011087746888	50.083804356663407	0.0085931613821333391	6.9960000003751097e-005
               12	                0	                1	C	               -1	               10	               10	47.918224778051027	-0.064572326999999999	                0	                1	    -0.0107620545	    -0.0107620545	    -0.0107620545	-0.51568628198156674	-0.51568628198156674	-0.51568628198156674	                0	                0	               25	                0	2.9533333114765509e-006	1.3310617993903062	1.3424472329007209	3.9881987894486453e-012	1.342511805227721	-0.082872338087746883	0.018300011087746888	50.083804356663407	0.0085931613821333391	7.1921666669065118e-005
               13	                0	                2	D	                1	               10	                0	47.908159615441754	0.22140945066666665	                0	                1	                0	    -0.0107620545	    -0.0107620545	                0	-0.51568628198156674	-0.51568628198156674	                0	1.0000000000000001e-009	               25	                0	3.7283333161515961e-006	1.3307822115400487	1.3424536268281302	3.9881987894486453e-012	1.3422322173774635	0.20310943957891975	0.018300011087746884	50.083804356663407	0.0085945994829718774	7.572000000285091e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.908159615386701	0.22140945066666665	                0	                1	6.1502625185185177e-014	-0.010762054499938497	-0.010762054499938497	2.9464775841388465e-012	-0.51568628197862021	-0.51568628197862021	                0	1.0000000000000001e-009	               25	                0	3.833333319865536e-006	1.3307822115385195	1.3424536268270661	2.9241245334679413e-012	1.3422322173763994	0.20310943957817629	0.018300011088490366	50.08380435666286	0.0085945994829718687	7.7846666666422004e-005
