Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_5sd40cap_5_norm_5sd40cap_5____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:44 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |0.8578886A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |0.6729115A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |2.5676608A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |2.9910644A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  | Discharge|  Current |5.9661241A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |3.0026957A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |2.2224764A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |4.4671721A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |4.5058148A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |2.0841340A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |  Charge  |  Current |4.6821245A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |1.2868916A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |  Charge  |  Current |7.9671399A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |3.8885372A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |0.0143660A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 |  Charge  |  Current |0.5282107A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |2.4989783A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 |  Charge  |  Current |8.7226805A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |3.2023349A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |5.1703053A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |  Charge  |  Current |1.5570656A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |1.7541303A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |4.7710178A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |2.9290675A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |  Charge  |  Current |0.7877357A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |6.6481420A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |5.3594081A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |4.1867698A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 | Discharge|  Current |4.5250655A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |5.0715663A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |4.5934126A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |12.235850A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 | Discharge|  Current |8.6350192A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 |  Charge  |  Current |1.8002265A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |  Charge  |  Current |2.0251230A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |1.9024992A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |  Charge  |  Current |10.736990A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |5.4357376A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |  Charge  |  Current |3.2217306A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 |  Charge  |  Current |4.7057071A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |  Charge  |  Current |0.3821367A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |0.7193760A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |0.3604821A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |4.6267181A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 | Discharge|  Current |8.2785985A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |6.1646799A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |3.7828350A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 | Discharge|  Current |2.2927436A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |  Charge  |  Current |4.6237450A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 | Discharge|  Current |1.3433519A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.908680683260521	0.14298142683333334	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0966666801929629e-006	1.3307966856461255	1.342389672912462	                0	1.3422466914856286	0.12468141574224878	0.018300011091084565	               50	0.008580218289496221	1.2085000003025926e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.908680683226052	0.14298142683333334	                0	                1	3.9717063009259263e-014	3.9717063009259263e-014	3.9717063009259263e-014	1.9027920893868557e-012	1.9027920893868557e-012	1.9027920893868557e-012	                0	1.0000000000000001e-009	               25	                0	1.4166666763533916e-006	1.3307966856451681	1.3423896729117901	-6.7200604271015372e-013	1.3422466914849567	0.1246814157417924	0.018300011091540946	49.999999999999645	0.0085802182894962158	3.7543333337453075e-005
                2	                0	                1	D	                1	                1	                1	47.908680683191562	0.14298142683333334	                0	                1	0.0023830237805555557	0.0023830237805555557	0.0023830237805555557	0.11416752536312919	0.11416752536312919	0.11416752536312919	                0	59.999999999000003	               25	0.17906745682660519	1.541666673195626e-006	1.3307966856442102	1.3423896729111178	-1.3440120854112761e-012	1.3422466914842843	0.12468141574133602	0.018300011091997324	49.980792806117329	0.008580218289496155	4.0026666670200936e-005
                3	                0	                1	D	                1	                2	                2	47.908152850692922	0.14298142683333334	                0	                1	0.0047660475611111114	0.0047660475611111114	0.0047660475611111114	0.22833442180751906	0.22833442180751906	0.22833442180751906	                0	               60	               25	-16253.04548714569	1.6383333407551012e-006	1.3307820236303589	1.3423750108975521	-2.0160346082949895e-012	1.3422320294707186	0.12468141574087963	0.018300011092453706	49.961585667168663	0.0085769222511713761	4.1873333331447307e-005
                4	                0	                1	D	                1	                3	                3	47.90762496055568	0.14298142683333334	                0	                1	0.0071490713416666671	0.0071490713416666671	0.0071490713416666671	0.34250006034583547	0.34250006034583547	0.34250006034583547	                0	               60	               25	-16251.270870146722	1.7283333439384782e-006	1.3307673600154355	1.3423603472829142	-2.688073611314159e-012	1.3422173658560808	0.12468141574042325	0.018300011092910087	49.942378583153811	0.0085736262222734505	4.3630000004668548e-005
                5	                0	                1	D	                1	                4	                4	47.907097012488919	0.14298142683333334	                0	                1	0.0095320951222222228	0.0095320951222222228	0.0095320951222222228	0.45666444084037761	0.45666444084037761	0.45666444084037761	                0	               60	               25	-16249.487686604134	1.8133333393658782e-006	1.3307526947913588	1.3423456820591231	-3.3601290944216499e-012	1.3422027006322896	0.12468141573996688	0.018300011093366465	49.923171554072617	0.0085703302028024078	4.5358333333448776e-005
                6	                0	                1	D	                1	                5	                5	47.906569006201615	0.14298142683333334	                0	                1	0.011915118902777778	0.011915118902777778	0.011915118902777778	0.57082756315275129	0.57082756315275129	0.57082756315275129	                0	               60	               25	-16247.695939005291	1.8966666705940346e-006	1.3307380279500449	1.3423310152180947	-4.0322010575703266e-012	1.3421880337912613	0.1246814157395105	0.018300011093822847	49.903964579924924	0.0085670341927582203	4.7078333333653667e-005
                7	                0	                1	D	                1	                6	                6	47.906040941402608	0.14298142683333334	                0	                1	0.014298142683333334	0.014298142683333334	0.014298142683333334	0.68498942714386857	0.68498942714386857	0.68498942714386857	                0	               60	               25	-16245.895628991828	1.9800000018221907e-006	1.3307233594834058	1.3423163467517412	-4.7042895007130548e-012	1.3421733653249077	0.12468141573905411	0.018300011094279228	49.884757660710576	0.0085637381921408635	4.8793333333681707e-005
                8	                0	                1	D	                1	                7	                7	47.905512817800606	0.14298142683333334	                0	                1	0.01668116646388889	0.01668116646388889	0.01668116646388889	0.79915003267394769	0.79915003267394769	0.79915003267394769	                0	               60	               25	-16244.086758234815	2.0633333330503471e-006	1.3307086893833502	1.3423016766519711	-5.3763944238027001e-012	1.3421586952251376	0.12468141573859773	0.018300011094735606	49.865550796429417	0.0085604422009503064	5.0543333334947725e-005
                9	                0	                1	D	                1	                8	                8	47.904984635104199	0.14298142683333334	                0	                1	0.019064190244444446	0.019064190244444446	0.019064190244444446	0.91330937960251246	0.91330937960251246	0.91330937960251246	                0	               60	               25	-16242.269329090257	2.1483333284777474e-006	1.3306940176417834	1.3422870049106899	-6.048515826792127e-012	1.3421440234838564	0.12468141573814134	0.018300011095191988	49.846343987081283	0.0085571462191865247	5.2288333336036885e-005
               10	                0	                1	D	                1	                9	                9	47.90445639302186	0.14298142683333334	                0	                1	0.021447214025000001	0.021447214025000001	0.021447214025000001	1.0274674677883922	1.0274674677883922	1.0274674677883922	                0	               60	               25	-16240.443343724541	2.2316666597059037e-006	1.3306793442506073	1.3422723315197993	-6.7206537096342022e-012	1.3421293500929659	0.12468141573768497	0.018300011095648369	49.827137232666026	0.0085538502468494905	5.4033333337126045e-005
               11	                0	                1	D	                1	               10	               10	47.903928091261932	0.14298142683333334	                0	                1	0.023830237805555557	0.023830237805555557	0.023830237805555557	1.1416242970897212	1.1416242970897212	1.1416242970897212	                0	               60	               25	-16238.608804114676	2.3149999909340597e-006	1.3306646692017203	1.3422576564711979	-7.3928080722817904e-012	1.3421146750443644	0.12468141573722859	0.018300011096104747	49.80793053318348	0.0085505542839391779	5.5758333337507794e-005
               12	                0	                1	D	                1	               10	               10	47.903928091261932	0.14298142683333334	                0	                1	0.023830237805555557	0.023830237805555557	0.023830237805555557	1.1416242970897212	1.1416242970897212	1.1416242970897212	                0	                0	               25	                0	2.3149999909340597e-006	1.3306646692017203	1.3422576564711979	-7.3928080722817904e-012	1.3421146750443644	0.12468141573722859	0.018300011096104747	49.80793053318348	0.0085505542839391779	5.7353333333291326e-005
               13	                0	                2	D	                1	               10	                0	47.904509591681091	0.11215192366666667	                0	                1	                0	0.023830237805555557	0.023830237805555557	                0	1.1416242970897212	1.1416242970897212	                0	1.0000000000000001e-009	               25	                0	2.9483333264579414e-006	1.3306808219911415	1.3422429797574522	-7.3928080722817904e-012	1.3421308278337856	0.093851912570561913	0.018300011096104747	49.80793053318348	0.0085472583304555642	6.0448333336656408e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.904509591654708	0.11215192366666667	                0	                1	3.1153312129629633e-014	0.023830237805586709	0.023830237805586709	1.4923841397260667e-012	1.1416242970912136	1.1416242970912136	                0	1.0000000000000001e-009	               25	                0	3.0333333294644641e-006	1.3306808219904085	1.3422429797569342	-7.9108313988808862e-012	1.3421308278332675	0.093851912570218396	0.018300011096448274	49.807930533183203	0.008547258330455559	6.218833333756871e-005
               15	                0	                2	D	                1	               11	1.0000000000000002	47.904509591628312	0.11215192366666667	                0	                1	0.001869198727777778	0.025699436533333335	0.025699436533333335	0.089543048383514692	1.2311673454732359	1.2311673454732359	                0	59.999999999000011	               25	11571.988271960065	3.1183333324709868e-006	1.3306808219896753	1.3422429797564159	-8.4288547254746149e-012	1.3421308278327493	0.093851912569874865	0.018300011096791802	 49.7928344890557	0.0085472583304555105	6.3926666666702661e-005
               16	                0	                2	D	                1	               12	                2	47.904094267567736	0.11215192366666667	                0	                1	0.003738397455555556	0.027568635261111113	0.027568635261111113	0.17908570860540185	1.3207100056951231	1.3207100056951231	                0	               60	               25	-16202.084248786043	3.2183333360080722e-006	1.3306692852102149	1.3422314429771705	-8.9468910047983671e-012	1.3421192910535038	0.093851912569531334	0.018300011097135329	49.777738488103729	0.0085446677833770739	6.6278333338232184e-005
               17	                0	                2	D	                1	               13	                3	47.903678906392322	0.11215192366666667	                0	                1	0.005607596183333334	0.029437833988888891	0.029437833988888891	0.26862759246939588	1.4102518895591172	1.4102518895591172	                0	               60	               25	-16200.636502201996	3.3050000032138388e-006	1.3306577473997867	1.3422199051669572	-9.4649402368150957e-012	1.3421077532432906	0.093851912569187804	0.018300011097478856	49.762642530327419	0.008542077243707747	6.8055000004581714e-005
               18	                0	                2	D	                1	               14	                4	47.903263507960304	0.11215192366666667	                0	                1	0.0074767949111111121	0.031307032716666669	0.031307032716666669	0.35816869990598926	1.4997929969957104	1.4997929969957104	                0	               60	               25	-16199.183485851989	3.3900000062203615e-006	1.3306462085544528	1.3422083663218383	-9.9830024214877551e-012	1.3420962143981716	0.093851912568844273	0.018300011097822384	49.747546615726641	0.0085394867114475526	6.9785000005140321e-005
               19	                0	                2	D	                1	               15	                5	47.902848072129871	0.11215192366666667	                0	                1	0.0093459936388888901	0.033176231444444447	0.033176231444444447	0.44770903084540947	1.5893333279351307	1.5893333279351307	                0	               60	               25	-16197.725200979106	3.4733333374485179e-006	1.3306346686702741	1.3421968264378745	-1.0501077558779299e-011	1.3420846745142079	0.093851912568500756	0.018300011098165911	49.732450744301282	0.0085368961865964661	7.1516666669898157e-005
               20	                0	                2	D	                1	               16	                6	47.902432598759134	0.11215192366666667	                0	                1	0.011215192366666668	0.035045430172222225	0.035045430172222225	0.53724858521761876	 1.67887288230734	 1.67887288230734	                0	               60	               25	-16196.261647452426	3.5566666762557968e-006	1.3306231277433094	1.3421852855111247	-1.1019165648652682e-011	1.3420731335874581	0.093851912568157225	0.018300011098509438	49.717354916051214	0.0085343056691544704	7.3233333334125447e-005
               21	                0	                2	D	                1	               17	                7	47.902017087706191	0.11215192366666667	                0	                1	0.013084391094444446	0.036914628900000003	0.036914628900000003	0.6267873629523143	1.7684116600420356	1.7684116600420356	                0	               60	               25	-16194.79282764542	3.6566666722137597e-006	1.3306115857696164	1.3421737435376466	-1.1537266691070859e-011	 1.34206159161398	0.093851912567813695	0.018300011098852965	49.702259130976309	0.0085317151591215463	7.5593333334230314e-005
               22	                0	                2	D	                1	               18	                8	47.901601538829063	0.11215192366666667	                0	                1	0.014953589822222224	0.038783827627777781	0.038783827627777781	0.71632536397892788	1.8579496610686492	1.8579496610686492	                0	               60	               25	-16193.318741449693	3.7400000110210385e-006	1.3306000427452518	1.342162200513497	-1.2055380685996783e-011	1.3420500485898303	0.093851912567470178	0.018300011099196493	49.687163389076453	0.0085291246564976643	7.7351666671650798e-005
               23	                0	                2	D	                1	               19	                9	47.901185951985738	0.11215192366666667	                0	                1	0.016822788550000002	0.040653026355555559	0.040653026355555559	0.80586258822662582	1.9474868853163472	1.9474868853163472	                0	               60	               25	-16191.839390706657	3.8250000140275608e-006	1.3305884986662706	1.3421506564347307	-1.2573507633393409e-011	1.3420385045110641	0.093851912567126647	0.01830001109954002	49.672067690351511	0.0085265341612828123	7.9120000001845856e-005
               24	                0	                2	D	                1	               20	               10	47.900770327034152	0.11215192366666667	                0	                1	0.01869198727777778	0.042522225083333337	0.042522225083333337	0.895399035624309	2.0370233327140301	2.0370233327140301	                0	               60	               25	-16190.354776161101	3.9083333452557172e-006	1.3305769535287264	1.3421391112974015	-1.3091647533223693e-011	1.3420269593737348	0.093851912566783116	0.018300011099883547	49.65697203480137	0.0085239436734769625	8.0893333332217784e-005
               25	                0	                2	D	                1	               20	               10	47.900770327034152	0.11215192366666667	                0	                1	0.01869198727777778	0.042522225083333337	0.042522225083333337	0.895399035624309	2.0370233327140301	2.0370233327140301	                0	                0	               25	                0	3.9083333452557172e-006	1.3305769535287264	1.3421391112974015	-1.3091647533223693e-011	1.3420269593737348	0.093851912566783116	0.018300011099883547	49.65697203480137	0.0085239436734769625	8.2505000000310241e-005
               26	                0	                3	C	               -1	               20	                0	47.919798097790569	-0.42794346333333338	                0	                1	                0	0.042522225083333337	0.042522225083333337	                0	2.0370233327140301	2.0370233327140301	                0	1.0000000000000001e-009	               25	                0	4.5400000241594775e-006	1.3311055027164047	1.3421275650980797	-1.3091647533223693e-011	1.3425555085614131	-0.44624347443321694	0.018300011099883547	49.65697203480137	0.0085213531930801029	8.5669999998572171e-005
               27	                0	                3	C	               -1	20.000000000016666	1.6666666666666667e-011	47.919798097905151	-0.42794346333333338	                0	                1	-1.1887318425925929e-013	0.042522225083214467	0.042522225083214467	-5.6963789889519712e-012	2.0370233327083338	2.0370233327083338	                0	1.0000000000000001e-009	               25	                0	4.6266666913652445e-006	1.3311055027195875	1.3421275651002407	-1.0930720623285883e-011	1.3425555085635741	-0.44624347443158374	0.018300011098250375	49.656972034802401	0.0085213531930801185	8.7421666671616555e-005
               28	                0	                3	C	               -1	               21	1.0000000000000002	47.919798098019761	-0.42794346333333338	                0	                1	-0.0071323910555555576	0.035389834027777782	0.035389834027777782	-0.34178273933793568	1.6952405933760946	1.6952405933760946	                0	59.999999999000011	               25	-1349.4280448819586	4.7116666867926447e-006	1.3311055027227712	1.3421275651024025	-8.7697937134414633e-012	1.3425555085657359	-0.44624347442995055	0.018300011096617202	49.713318549408335	0.0085213531930802954	8.9166666665126593e-005
               29	                0	                3	C	               -1	               22	                2	47.921349414746679	-0.42794346333333338	                0	                1	-0.014264782111111114	0.028257442972222227	0.028257442972222227	-0.68357101097505368	1.3534523217389767	1.3534523217389767	                0	               60	               25	-16551.492905653959	4.796666689799167e-006	1.3311485948540744	1.3421706572326839	-6.6088184571509142e-012	1.3425986006960173	-0.44624347442831741	0.018300011094984026	49.769664902860079	0.008531022500983719	9.147833333524128e-005
               30	                0	                3	C	               -1	               23	                3	47.922900182974125	-0.42794346333333338	                0	                1	-0.021397173166666672	0.021125051916666672	0.021125051916666672	-1.0253703452536627	1.0116529874603675	1.0116529874603675	                0	               60	               25	-16557.347091310203	4.9350000229727204e-006	1.3311916717492813	1.342213734126869	-4.4477948545525161e-012	1.3426416775902024	-0.44624347442668422	0.018300011093350853	49.826011095157149	0.0085406917812323804	9.3376666670034561e-005
               31	                0	                3	C	               -1	               24	                4	47.924450410103745	-0.42794346333333338	                0	                1	-0.028529564222222227	0.013992660861111115	0.013992660861111115	-1.3671807382880456	0.66984259442598448	0.66984259442598448	                0	               60	               25	-16563.1263376838	5.0316666905321956e-006	1.3312347336139929	1.3422567959905587	-2.2867229057845494e-012	1.3426847394538921	-0.44624347442505102	0.018300011091717677	49.882357126300008	0.0085503610338261964	9.5260000004297282e-005
               32	                0	                3	C	               -1	               25	                5	47.926000103527173	-0.42794346333333338	                0	                1	-0.035661955277777782	0.0068602698055555585	0.0068602698055555585	-1.7090021862452414	0.32802114646878866	0.32802114646878866	                0	               60	               25	-16568.830590508136	5.1166666935387187e-006	1.3312777806535325	1.3422998430290765	-1.2560261098529425e-013	1.3427277864924099	-0.44624347442341789	0.018300011090084504	49.938702996289123	0.0085600302587652468	9.7111666665720498e-005
               33	                0	                3	C	               -1	               26	                6	47.92754927062613	-0.42794346333333338	                0	                1	-0.042794346333333337	-0.0002721212499999983	-0.0002721212499999983	-2.0508346853449733	-0.013811352630943297	-0.013811352630943297	                0	               60	               25	-16574.459796672363	5.2000000247668743e-006	1.3313208130729481	1.3423428754474702	2.0355660297069696e-012	1.3427708189108036	-0.44624347442178469	0.018300011088451331	49.995048705124951	0.0085696994560496096	9.8850000002433563e-005
               34	                0	                3	C	               -1	               27	                7	47.929097918772619	-0.42794346333333338	                0	                1	-0.049926737388888892	-0.0074045123055555551	-0.0074045123055555551	-2.3926782318595796	-0.35565489914554949	-0.35565489914554949	                0	               60	               25	-16580.013903230345	5.3066666926800584e-006	1.3313638310770173	1.3423858934505175	4.1967830161539641e-012	1.3428138369138509	-0.4462434744201515	0.018300011086818155	50.051394252807945	0.0085793686256793664	0.000100649999997889
               35	                0	                3	C	               -1	               28	                8	47.930646055328999	-0.42794346333333338	                0	                1	-0.057059128444444447	-0.014536903361111112	-0.014536903361111112	-2.7345328221139438	-0.69750948939991353	-0.69750948939991353	                0	               60	               25	-16585.49285861323	5.4233333609469508e-006	1.3314068348702499	1.3424288972427283	6.3580483482174086e-012	1.3428568407060617	-0.44624347441851836	0.018300011085184982	50.107739639338575	0.0085890377676545917	0.0001025849999981195
               36	                0	                3	C	               -1	               29	                9	47.932193687648166	-0.42794346333333338	                0	                1	-0.064191519500000002	-0.021669294416666669	-0.021669294416666669	-3.0763984524854266	-1.0393751197713965	-1.0393751197713965	                0	               60	               25	-16590.896611561726	5.5533333655451619e-006	1.3314498246568935	1.3424718870283501	8.5193620257590248e-012	1.3428998304916835	-0.44624347441688517	0.018300011083551806	50.164084864717303	0.0085987068819753688	0.00010461833333768785
               37	                0	                3	C	               -1	               30	               10	47.93374082307372	-0.42794346333333338	                0	                1	-0.071323910555555564	-0.028801685472222227	-0.028801685472222227	-3.4182751194038006	-1.3812517866897702	-1.3812517866897702	                0	               60	               25	-16596.225111197509	5.6866666985418608e-006	1.3314928006409366	1.3425148630113712	1.0680724048640537e-011	1.3429428064747047	-0.44624347441525197	0.018300011081918633	50.220429928944583	0.0086083759686417759	0.00010670499999984409
               38	                0	                3	C	               -1	               30	               10	47.93374082307372	-0.42794346333333338	                0	                1	-0.071323910555555564	-0.028801685472222227	-0.028801685472222227	-3.4182751194038006	-1.3812517866897702	-1.3812517866897702	                0	                0	               25	                0	5.6866666985418608e-006	1.3314928006409366	1.3425148630113712	1.0680724048640537e-011	1.3429428064747047	-0.44624347441525197	0.018300011081918633	50.220429928944583	0.0086083759686417759	0.0001085033333311003
               39	                0	                4	D	                1	               30	                0	47.901935117973444	0.49851072699999999	                0	                1	                0	-0.028801685472222227	-0.028801685472222227	                0	-1.3812517866897702	-1.3812517866897702	                0	1.0000000000000001e-009	               25	                0	6.3650000280783088e-006	1.3306093088325956	1.3425578253933637	1.0680724048640537e-011	1.3420593146663637	0.48021071591808134	0.018300011081918633	50.220429928944583	0.0086180450276538752	0.00011185333333590582
               40	                0	                4	D	                1	30.000000000016666	1.6666666666666667e-011	47.901935117845667	0.49851072699999999	                0	                1	1.3847520194444443e-013	-0.028801685472083751	-0.028801685472083751	6.6332301389822007e-012	-1.3812517866831371	-1.3812517866831371	                0	1.0000000000000001e-009	               25	                0	6.4883333607212986e-006	1.3306093088290463	1.3425578253909141	8.231260638375564e-012	1.3420593146639141	0.48021071591632358	0.018300011083676373	50.220429928943361	0.0086180450276538544	0.0001140250000010686
