Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\norm_5sd40cap_6_norm_5sd40cap_6____0_NiMH_36s6p.out
The present date and time are: Wednesday, December 04, 2019, 02:34:47 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  | Discharge|  Current |0.9015132A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  | Discharge|  Current |9.6100618A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |  Charge  |  Current |0.1704136A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  | Discharge|  Current |3.9709828A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |  Charge  |  Current |10.162055A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  | Discharge|  Current |5.3183758A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  | Discharge|  Current |6.3800117A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  | Discharge|  Current |15.588197A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  | Discharge|  Current |1.9055335A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 | Discharge|  Current |5.5854354A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 | Discharge|  Current |1.8399547A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 | Discharge|  Current |3.8603895A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 | Discharge|  Current |5.2049629A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 | Discharge|  Current |12.397978A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 | Discharge|  Current |0.9475708A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |10.179584A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 | Discharge|  Current |0.9488295A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |3.3124221A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 | Discharge|  Current |6.0222819A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 |  Charge  |  Current |14.886776A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 | Discharge|  Current |2.3300676A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 |  Charge  |  Current |0.6752025A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 | Discharge|  Current |9.9185310A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |6.4261467A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 | Discharge|  Current |2.3970979A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 |  Charge  |  Current |6.4256121A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |  Charge  |  Current |8.1676882A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 |  Charge  |  Current |7.5831122A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |  Charge  |  Current |8.4084636A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 |  Charge  |  Current |5.2648319A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |  Charge  |  Current |1.5092346A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 |  Charge  |  Current |4.0533799A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |  Charge  |  Current |4.7306384A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |5.9472890A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 | Discharge|  Current |1.2204078A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 |  Charge  |  Current |3.0632768A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 | Discharge|  Current |7.1616945A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 |  Charge  |  Current |0.4989872A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 | Discharge|  Current |6.0314324A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |2.9704926A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 | Discharge|  Current |4.0370991A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 |  Charge  |  Current |2.3177848A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 | Discharge|  Current |1.4866192A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 | Discharge|  Current |5.4919818A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |  Charge  |  Current |0.8359989A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 | Discharge|  Current |8.9796613A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 | Discharge|  Current |6.3027929A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |2.2679687A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 | Discharge|  Current |0.2422643A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |6.8316785A|   Time   |600.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	D	                1	                0	                0	47.908418935702521	0.15025219233333334	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	1.0350000062923452e-006	1.3307894148806256	1.342389672912462	                0	1.3422394207201287	0.13195218124224878	0.018300011091084565	               50	0.008580218289496221	1.0288333335968976e-005
                1	                0	                1	D	                1	1.6666666666666667e-011	1.6666666666666667e-011	47.908418935666141	0.15025219233333334	                0	                1	4.1736720092592591e-014	4.1736720092592591e-014	4.1736720092592591e-014	1.9995402711973194e-012	1.9995402711973194e-012	1.9995402711973194e-012	                0	1.0000000000000001e-009	               25	                0	1.3516666740542861e-006	1.3307894148796151	1.3423896729117537	-7.0835987020915018e-013	1.3422394207194204	0.13195218124176578	0.018300011091567561	49.999999999999631	0.0085802182894962158	3.4151666667033473e-005
                2	                0	                1	D	                1	                1	                1	47.908418935629754	0.15025219233333334	                0	                1	0.0025042032055555556	0.0025042032055555556	0.0025042032055555556	0.11997241627174807	0.11997241627174807	0.11997241627174807	                0	59.999999999000003	               25	0.188174265403385	1.4733333424980325e-006	1.3307894148786044	1.3423896729110452	-1.4167197404082653e-012	1.3422394207187118	0.13195218124128277	0.018300011092050556	49.979823370717327	0.0085802182894961516	3.6609999998897065e-005
                3	                0	                1	D	                1	                2	                2	47.907864460531137	0.15025219233333334	                0	                1	0.0050084064111111113	0.0050084064111111113	0.0050084064111111113	0.2399441382842909	0.2399441382842909	0.2399441382842909	                0	               60	               25	-16258.857363437677	1.5700000100575076e-006	1.3307740127925316	1.3423742708252746	-2.1250969225857027e-012	1.3422240186329413	0.13195218124079977	0.018300011092533555	49.959646799141318	0.0085767558918243836	3.8465000003877017e-005
                4	                0	                1	D	                1	                3	                3	47.907309921732498	0.15025219233333334	                0	                1	0.0075126096166666673	0.0075126096166666673	0.0075126096166666673	0.35991447169875546	0.35991447169875546	0.35991447169875546	                0	               60	               25	-16256.989704110285	1.6583333414625183e-006	1.3307586089370138	1.342358866970059	-2.8334914166919485e-012	1.3422086147777257	0.1319521812403168	0.018300011093016551	49.939470285271767	0.0085732935040552672	4.0225000005496744e-005
                5	                0	                1	D	                1	                4	                4	47.906755318896572	0.15025219233333334	                0	                1	0.010016812822222223	0.010016812822222223	0.010016812822222223	0.47988341635520171	0.47988341635520171	0.47988341635520171	                0	               60	               25	-16255.112588712227	1.7400000084914306e-006	1.3307432033026825	1.3423434613360299	-3.5419032226774884e-012	1.3421932091436966	0.13195218123983379	0.018300011093499546	49.919293829108518	0.0085698311261888319	4.1959999998653073e-005
                6	                0	                1	D	                1	                5	                5	47.906200651685943	0.15025219233333334	                0	                1	0.012521016027777778	0.012521016027777778	0.012521016027777778	0.59985097209284477	0.59985097209284477	0.59985097209284477	                0	               60	               25	-16253.226019570446	1.8233333472987093e-006	1.3307277958801651	1.3423280539138147	-4.2503323404928088e-012	1.3421778017214814	0.13195218123935079	0.018300011093982542	49.899117430651401	0.00856636875822505	4.3676666670459478e-005
                7	                0	                1	D	                1	                6	                6	47.905645919763053	0.15025219233333334	                0	                1	0.015025219233333333	0.015025219233333333	0.015025219233333333	0.7198171387500546	0.7198171387500546	0.7198171387500546	                0	               60	               25	-16251.329999255488	1.9066666861059881e-006	1.3307123866600847	1.3423126446940365	-4.9587787700883955e-012	1.3421623925017032	0.13195218123886779	0.018300011094465538	49.878941089900252	0.0085629064001638902	4.5389999998709146e-005
                8	                0	                1	D	                1	                7	                7	47.905091122790175	0.15025219233333334	                0	                1	0.01752942243888889	0.01752942243888889	0.01752942243888889	0.83978191616435571	0.83978191616435571	0.83978191616435571	                0	               60	               25	-16249.424529540704	1.9916666891125106e-006	1.3306969756330604	1.3422972336673145	-5.6672425114147348e-012	1.3421469814749811	0.13195218123838479	0.018300011094948537	49.858764806854907	0.0085594440520053282	4.7134999999798313e-005
                9	                0	                1	D	                1	                8	                8	47.904536260429452	0.15025219233333334	                0	                1	0.020033625644444445	0.020033625644444445	0.020033625644444445	0.95974530417242665	0.95974530417242665	0.95974530417242665	                0	               60	               25	-16247.509613483831	2.075000020340667e-006	1.3306815627897071	1.3422818208242633	-6.3757235644223131e-012	1.3421315686319299	0.13195218123790181	0.018300011095431532	49.838588581515197	0.0085559817137493346	4.8875000000710615e-005
               10	                0	                1	D	                1	                9	                9	47.903981332342866	0.15025219233333334	                0	                1	    0.02253782885	    0.02253782885	    0.02253782885	1.0797073026100998	1.0797073026100998	1.0797073026100998	                0	               60	               25	-16245.585253137375	2.1583333591479459e-006	1.3306661481206352	1.3422664061554936	-7.0842219290616173e-012	1.3421161539631603	0.13195218123741881	0.018300011095914528	49.818412413880957	0.0085525193853958782	5.0620000001799782e-005
               11	                0	                1	D	                1	               10	               10	47.903426338192233	0.15025219233333334	                0	                1	0.025042032055555555	0.025042032055555555	0.025042032055555555	1.1996679113123607	1.1996679113123607	1.1996679113123607	                0	               60	               25	-16243.651450589647	2.2416666903761023e-006	1.3306507316164509	1.3422509896516115	-7.7927376052831347e-012	1.3421007374592782	0.13195218123693581	0.018300011096397523	49.798236303952031	0.0085490570669449328	5.2348333338159139e-005
               12	                0	                1	D	                1	               10	               10	47.903426338192233	0.15025219233333334	                0	                1	0.025042032055555555	0.025042032055555555	0.025042032055555555	1.1996679113123607	1.1996679113123607	1.1996679113123607	                0	                0	               25	                0	2.2416666903761023e-006	1.3306507316164509	1.3422509896516115	-7.7927376052831347e-012	1.3421007374592782	0.13195218123693581	0.018300011096397523	49.798236303952031	0.0085490570669449328	5.3941666669743428e-005
               13	                0	                2	D	                1	               10	                0	47.850619985679614	       1.60167697	                0	                1	                0	0.025042032055555555	0.025042032055555555	                0	1.1996679113123607	1.1996679113123607	                0	1.0000000000000001e-009	               25	                0	2.8666666973246417e-006	1.3291838884911005	1.3422355713039278	-7.7927376052831347e-012	1.3406338943339278	1.5833769589036024	0.018300011096397527	49.798236303952031	0.0085455947583964794	5.7033333337130895e-005
               14	                0	                2	D	                1	10.000000000016666	1.6666666666666667e-011	47.850619985262313	       1.60167697	                0	                1	4.449102694444445e-013	0.025042032056000467	0.025042032056000467	2.1289232230819607e-011	1.1996679113336499	1.1996679113336499	                0	1.0000000000000001e-009	               25	                0	2.9500000361319206e-006	1.3291838884795086	1.3422355712959619	-1.5758394478980633e-011	1.3406338943259619	1.5833769588978073	0.018300011102192777	49.798236303948116	0.008545594758396417	5.8780000002419305e-005
