Original filename = C:\Users\Bonedancer\Desktop\CEE_292X\cee292x-soc-est-error-master\cee292x-soc-est-error\bds-workspace\NiMH_pulse\Results\pulse_100pct_pulse_100pct____0_NiMH_36s6p.out
The present date and time are: Monday, December 02, 2019, 08:54:08 PM

|-------------------------------------------------------------------------------------------------------------------|
|      Step      |  Control Condition  |    End Condition    |   Limit Condition   |        Report       |          |
|-------------------------------------------------------------------------------------------------------------------|
|  #  |   Type   |   Type   |   Value  |   Type   |   Value  |   Type   |   Value  | Volts(V) |   Time   |  Temp(C) |
|-------------------------------------------------------------------------------------------------------------------|
|  1  |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  2  |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  3  |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  4  |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  5  |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  6  |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  7  |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  8  |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  9  |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  10 |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  11 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  12 |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  13 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  14 |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  15 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  16 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  17 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  18 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  19 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  20 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  21 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  22 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  23 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  24 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  25 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  26 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  27 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  28 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  29 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  30 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  31 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  32 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  33 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  34 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  35 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  36 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  37 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  38 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  39 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  40 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  41 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  42 | Discharge|  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  43 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  44 |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  45 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  46 |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  47 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  48 |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  49 |   Rest   |          |          |   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|  50 |  Charge  |  Current |40.000000A|   Time   |360.00000s|          |          |0.10000000|60.0000000|25.0000000|
|-------------------------------------------------------------------------------------------------------------------|
Heat-transfer Coeff = 100 W/m2-K
Convection Mode     = Forced


Rec#	Cyc#	Step	StepType	Mode	Test(min)	Step(min)	Volts	Amps	T(C)	Pressure(atm)	StepCapacity(Ah)	CycleCapacity(Ah)	CumCapacity(Ah)	StepEnergy(Wh)	CycleEnergy(Wh)	CumEnergy(Wh)	HeatGen(W)	tStep(S)	Tamb(C)	dQdV(C/V)	SimTime(min)	V2	Voc	Vh	V1	I1	I2	Q	Sd	RTime(min)
                0	                0	                1	R	                0	                0	                0	47.913828014626525	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	4.600000162705934e-007	1.330939667072959	1.342389672912462	                0	1.342389672912462	-0.018300011091084565	0.018300011091084565	               50	0.008580218289496221	1.0349999987132227e-005
                1	                0	                1	R	                0	1.6666666666666667e-011	1.6666666666666667e-011	47.913828014629573	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	8.5833335106144659e-007	1.3309396670730438	1.3423896729125049	4.2901091447444295e-014	1.3423896729125049	-0.018300011091017494	0.018300011091017494	               50	0.008580218289496221	3.9514999995541683e-005
                2	                0	                1	R	                0	                1	                1	47.913828014632635	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	59.999999999000003	               25	                0	1.0133333489648067e-006	1.3309396670731288	1.342389672912548	8.5802182894851786e-014	1.342389672912548	-0.018300011090950419	0.018300011090950419	49.999856996361842	0.008580218289496221	4.2368333318639391e-005
                3	                0	                1	R	                0	                2	                2	47.913824084973754	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	               60	               25	               -0	1.1366666816077972e-006	1.3309395579159375	1.3423895637553147	1.2870315164197931e-013	1.3423895637553147	-0.018300011090883347	0.018300011090883347	49.999713993132687	0.0085801937494475889	4.4503333325944067e-005
                4	                0	                1	R	                0	                3	                3	47.913820155322853	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	               60	               25	               -0	1.2433333419418582e-006	1.3309394487589681	1.3423894545983033	1.7160399768917779e-013	1.3423894545983033	-0.018300011090816273	0.018300011090816273	49.999570990312527	0.0085801692094691455	4.6555000002020584e-005
                5	                0	                1	R	                0	                4	                4	47.913816225679923	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	               60	               25	               -0	1.3550000100318963e-006	 1.33093933960222	1.3423893454415132	2.1450472103679817e-013	1.3423893454415132	-0.018300011090749201	0.018300011090749201	49.99942798790137	0.0085801446695608855	4.8581666669633704e-005
                6	                0	                1	R	                0	                5	                5	47.913812296044966	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	               60	               25	               -0	1.4616667006824477e-006	1.3309392304456935	1.3423892362849448	2.5740532168519137e-013	1.3423892362849448	-0.018300011090682126	0.018300011090682126	49.999284985899209	0.0085801201297228125	5.0586666657181925e-005
                7	                0	                1	R	                0	                6	                6	47.913808366417989	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	               60	               25	               -0	1.5683333610165088e-006	1.3309391212893886	1.3423891271285979	3.0030579963470834e-013	1.3423891271285979	-0.018300011090615055	0.018300011090615055	49.999141984306043	0.0085800955899549246	5.2589999995689141e-005
                8	                0	                1	R	                0	                6	                6	47.913808366417989	                0	                0	                1	                0	                0	                0	                0	                0	                0	                0	                0	               25	                0	1.5683333610165088e-006	1.3309391212893886	1.3423891271285979	3.0030579963470834e-013	1.3423891271285979	-0.018300011090615055	0.018300011090615055	49.999141984306043	0.0085800955899549246	5.4471666650594368e-005
                9	                0	                2	C	               -1	                6	                0	48.15380443679593	-6.666666666666667	                0	                1	                0	                0	                0	                0	                0	                0	                0	1.0000000000000001e-009	               25	                0	2.3716667480281708e-006	1.3376056787998869	1.3423890179724296	3.0030579963470834e-013	1.3490556846390962	-6.6849666777572816	0.018300011090615055	49.999141984306043	0.0085800710502572219	5.832999998650242e-005
               10	                0	                2	C	               -1	6.0000000000166667	1.6666666666666667e-011	48.153804438536625	-6.666666666666667	                0	                1	-1.8518518518518521e-012	-1.8518518518518521e-012	-1.8518518518518521e-012	-8.917371192160424e-011	-8.917371192160424e-011	-8.917371192160424e-011	                0	1.0000000000000001e-009	               25	                0	2.4800000877197209e-006	1.3376056788482396	1.3423890180054736	3.3343206132850881e-011	1.3490556846721402	-6.6849666777328149	0.018300011066147964	49.999141984322172	0.0085800710502574734	6.0501666666823439e-005
               11	                0	                2	C	               -1	                7	1.0000000000000002	48.153804440277725	-6.666666666666667	                0	                1	-0.11111111111111113	-0.11111111111111113	-0.11111111111111113	-5.3504227154896871	-5.3504227154896871	-5.3504227154896871	                0	59.999999999000011	               25	-1666.6939319478658	2.5850000990127833e-006	1.3376056788966035	1.3423890180385289	6.6386106444230398e-011	1.3490556847051955	-6.6849666777083483	0.018300011041680872	50.878998983124802	0.008580071050260242	6.2643333330925094e-005
               12	                0	                2	C	               -1	                8	                2	48.177925418810716	-6.666666666666667	                0	                1	-0.22222222222222224	-0.22222222222222224	-0.22222222222222224	-10.702185485439045	-10.702185485439045	-10.702185485439045	                0	               60	               25	-16583.075162265926	2.6933334387043334e-006	1.3382757060780754	1.3430590452046922	9.9429761670282581e-011	1.3497257118713588	-6.6849666776838808	0.01830001101721378	51.758853465487057	0.0087310583525255937	6.4776666658872276e-005
               13	                0	                2	C	               -1	                9	                3	48.201950497807843	-6.666666666666667	                0	                1	-0.33333333333333337	-0.33333333333333337	-0.33333333333333337	-16.056623036362296	-16.056623036362296	-16.056623036362296	                0	               60	               25	-16649.268876403399	2.8033334274368828e-006	1.3389430693835511	1.3437264084948592	1.3247417180884677e-010	1.3503930751615258	-6.6849666776594141	0.018300010992746689	52.638705431401469	0.0088820452229587885	6.6898333322266498e-005
               14	                0	                2	C	               -1	               10	                4	48.225907001338527	-6.666666666666667	                0	                1	-0.44444444444444448	-0.44444444444444448	-0.44444444444444448	-21.413726230759316	-21.413726230759316	-21.413726230759316	                0	               60	               25	-16696.927391247769	2.9116667368119425e-006	1.339608527814959	1.3443918669109585	1.6551933685776227e-010	1.3510585335776251	-6.6849666776349466	0.018300010968279597	53.518554880875243	0.0090330316615585497	6.9018333336619736e-005
               15	                0	                2	C	               -1	               11	                5	48.249821949646964	-6.666666666666667	                0	                1	-0.55555555555555558	-0.55555555555555558	-0.55555555555555558	-26.77348895025851	-26.77348895025851	-26.77348895025851	                0	               60	               25	-16725.94039682177	3.0183333971460038e-006	1.340272831934638	1.3450561710153288	1.9856525681486849e-010	1.3517228376819954	-6.6849666776104799	0.018300010943812506	54.398401813915569	0.0091840176683261106	7.11316666638595e-005
               16	                0	                2	C	               -1	               12	                6	48.273722179632244	-6.666666666666667	                0	                1	-0.66666666666666674	-0.66666666666666674	-0.66666666666666674	-32.135908068551799	-32.135908068551799	-32.135908068551799	                0	               60	               25	-16736.240623891823	3.1383334013905068e-006	1.3409367272120067	1.3457200662773889	2.3161193167800474e-010	1.3523867329440555	-6.6849666775860133	0.018300010919345414	55.278246230529646	0.0093350032432627066	7.387166666982618e-005
