Test(s),Current(A)
0,-6.527595836
600,-39.9742668
1200,-39.44796502
1800,40
2400,-24.52318718
3000,2.464232933
3600,24.66201233
4200,40
4800,21.29080173
5400,1.216629948
6000,0.591873219
6600,19.33978349
7200,-40
7800,40
8400,13.4942894
9000,-1.97076333
9600,17.5082504
10200,-0.454678896
10800,-14.01992396
11400,-0.909873217
12000,-8.94572076
12600,-40
13200,9.953044625
13800,-21.430989
14400,9.457335854
15000,12.86255912
15600,5.500112753
16200,37.84210153
16800,-7.62674995
17400,-33.36222118
18000,2.129076093
18600,-16.10167356
19200,15.93284428
19800,-40
20400,20.04912987
21000,-1.602300041
21600,35.80439832
22200,36.90550343
22800,-12.80028634
23400,37.15278708
24000,-23.60612156
24600,15.5182936
25200,40
25800,-40
26400,20.1628757
27000,40
27600,-14.24185813
28200,-3.972257852
28800,-0.295996885
29400,40
30000,-22.84080279
30600,-26.65665413
31200,-16.58108975
31800,40
32400,28.05846484
33000,-9.981837206
