Test(s),Current(A)
0,-7.664071394
600,-36.32960935
1200,5.752213627
1800,21.41755924
2400,21.6271483
3000,-6.644629876
3600,-10.40086876
4200,-4.013847198
4800,13.0445014
5400,-19.69943163
6000,-15.39234237
6600,11.32412212
7200,-15.05932346
7800,9.513475198
8400,10.61894837
9000,-4.850866543
9600,-28.15364658
10200,2.220478016
10800,-10.48140359
11400,26.1613399
12000,-13.18127023
12600,-12.77623235
13200,-8.755852919
13800,15.70773628
14400,40
15000,0.526373791
15600,-6.920442822
16200,-6.045822177
16800,-7.398008646
17400,-9.319911994
18000,11.07716759
18600,-15.43181634
19200,25.74091218
19800,-1.695692431
20400,-10.01733773
21000,-0.852562047
21600,4.278986636
22200,6.515221159
22800,-16.83169524
23400,-0.721964905
24000,12.55394536
24600,-16.77923074
25200,-1.570104169
25800,7.975076749
26400,-8.641837958
27000,-4.679184028
27600,17.94954485
28200,-33.80787507
28800,-4.895008525
29400,5.450577029
30000,-2.726255607
30600,-14.25527409
31200,-0.479639451
31800,-15.04406685
32400,3.852951412
33000,32.62353274
