Test(s),Current(A)
0,0
360,40
720,0
1080,40
1440,0
1800,40
2160,0
2520,40
2880,0
3240,40
3600,0
3960,40
4320,0
4680,40
5040,0
5400,-40
5760,0
6120,-40
6480,0
6840,-40
7200,0
7560,-40
7920,0
8280,-40
8640,0
9000,-40
9360,0
9720,-40
10080,0
10440,-40
10800,0
11160,-40
11520,0
11880,-40
12240,0
12600,-40
12960,0
13320,-40
13680,0
14040,-40
14400,0
14760,-40
15120,0
15480,40
15840,0
16200,40
16560,0
16920,40
17280,0
17640,40
18000,0
18360,40
18720,0
19080,40
19440,0
19800,40
