Test(s),Current(A)
0,0
1800,4
3600,0
5400,4
7200,0
9000,4
10800,0
12600,4
14400,0
16200,4
18000,0
19800,4
21600,0
23400,4
25200,0
27000,4
28800,0
30600,4
32400,0
34200,4
36000,0
37800,4
39600,0
41400,4
43200,0
45000,4
46800,0
48600,4
50400,0
52200,-4
54000,0
55800,-4
57600,0
59400,-4
61200,0
63000,-4
64800,0
66600,-4
68400,0
70200,-4
72000,0
73800,-4
75600,0
77400,-4
79200,0
81000,-4
82800,0
84600,-4
86400,0
88200,-4
90000,0
91800,-4
93600,0
95400,-4
97200,0
99000,-4
